entry(00000,begin_of_process,bored,video2100512064,start,1).
entry(00001,begin_of_activity,bored,video2100512064,au04,1).
entry(00002,begin_of_activity,bored,video2100512064,au11,1).
entry(00003,begin_of_activity,bored,video2100512064,au17,1).
entry(00100,end_of_activity,bored,video2100512064,au04,1).
entry(00101,begin_of_activity,bored,video2100512064,au07,1).
entry(00102,end_of_activity,bored,video2100512064,au11,1).
entry(00103,end_of_activity,bored,video2100512064,au17,1).
entry(00200,end_of_activity,bored,video2100512064,au07,1).
entry(00400,begin_of_activity,bored,video2100512064,au04,2).
entry(00401,begin_of_activity,bored,video2100512064,au15,1).
entry(00500,end_of_activity,bored,video2100512064,au04,2).
entry(00501,end_of_activity,bored,video2100512064,au15,1).
entry(00502,begin_of_activity,bored,video2100512064,au17,2).
entry(00600,begin_of_activity,bored,video2100512064,au04,3).
entry(00601,begin_of_activity,bored,video2100512064,au11,2).
entry(00602,end_of_activity,bored,video2100512064,au17,2).
entry(00700,end_of_activity,bored,video2100512064,au04,3).
entry(00701,end_of_activity,bored,video2100512064,au11,2).
entry(00702,begin_of_activity,bored,video2100512064,au17,3).
entry(00800,begin_of_activity,bored,video2100512064,au04,4).
entry(00801,end_of_activity,bored,video2100512064,au17,3).
entry(00802,begin_of_activity,bored,video2100512064,au25,1).
entry(00900,begin_of_activity,bored,video2100512064,au01,1).
entry(00901,end_of_activity,bored,video2100512064,au04,4).
entry(00902,begin_of_activity,bored,video2100512064,au15,2).
entry(00903,end_of_activity,bored,video2100512064,au25,1).
entry(01000,end_of_activity,bored,video2100512064,au01,1).
entry(01001,begin_of_activity,bored,video2100512064,au04,5).
entry(01002,begin_of_activity,bored,video2100512064,au07,2).
entry(01003,end_of_activity,bored,video2100512064,au15,2).
entry(01004,begin_of_activity,bored,video2100512064,au17,4).
entry(01100,end_of_activity,bored,video2100512064,au04,5).
entry(01101,end_of_activity,bored,video2100512064,au07,2).
entry(01102,begin_of_activity,bored,video2100512064,au15,3).
entry(01103,end_of_activity,bored,video2100512064,au17,4).
entry(01104,begin_of_activity,bored,video2100512064,au25,2).
entry(01200,begin_of_activity,bored,video2100512064,au04,6).
entry(01201,begin_of_activity,bored,video2100512064,au07,3).
entry(01202,end_of_activity,bored,video2100512064,au15,3).
entry(01203,end_of_activity,bored,video2100512064,au25,2).
entry(01300,end_of_activity,bored,video2100512064,au04,6).
entry(01301,end_of_activity,bored,video2100512064,au07,3).
entry(01302,begin_of_activity,bored,video2100512064,au17,5).
entry(01400,begin_of_activity,bored,video2100512064,au04,7).
entry(01401,begin_of_activity,bored,video2100512064,au15,4).
entry(01402,end_of_activity,bored,video2100512064,au17,5).
entry(01500,end_of_activity,bored,video2100512064,au04,7).
entry(01501,end_of_activity,bored,video2100512064,au15,4).
entry(01502,begin_of_activity,bored,video2100512064,au23,1).
entry(01600,begin_of_activity,bored,video2100512064,au04,8).
entry(01601,end_of_activity,bored,video2100512064,au23,1).
entry(01700,end_of_activity,bored,video2100512064,au04,8).
entry(01701,begin_of_activity,bored,video2100512064,au07,4).
entry(01702,begin_of_activity,bored,video2100512064,au17,6).
entry(01800,end_of_activity,bored,video2100512064,au07,4).
entry(01801,begin_of_activity,bored,video2100512064,au11,3).
entry(01802,end_of_activity,bored,video2100512064,au17,6).
entry(01900,begin_of_activity,bored,video2100512064,au04,9).
entry(01901,end_of_activity,bored,video2100512064,au11,3).
entry(02000,end_of_activity,bored,video2100512064,au04,9).
entry(02001,begin_of_activity,bored,video2100512064,au17,7).
