entry(00000,begin_of_process,bored,video2100601074,start,1).
entry(00001,begin_of_activity,bored,video2100601074,au10,1).
entry(00002,begin_of_activity,bored,video2100601074,au17,1).
entry(00003,begin_of_activity,bored,video2100601074,au24,1).
entry(00100,begin_of_activity,bored,video2100601074,au04,1).
entry(00101,end_of_activity,bored,video2100601074,au10,1).
entry(00102,end_of_activity,bored,video2100601074,au17,1).
entry(00103,end_of_activity,bored,video2100601074,au24,1).
entry(00200,end_of_activity,bored,video2100601074,au04,1).
entry(00201,begin_of_activity,bored,video2100601074,au24,2).
entry(00300,begin_of_activity,bored,video2100601074,au17,2).
entry(00301,end_of_activity,bored,video2100601074,au24,2).
entry(00400,begin_of_activity,bored,video2100601074,au14,1).
entry(00401,end_of_activity,bored,video2100601074,au17,2).
entry(00402,begin_of_activity,bored,video2100601074,au24,3).
entry(00500,end_of_activity,bored,video2100601074,au14,1).
entry(00501,begin_of_activity,bored,video2100601074,au17,3).
entry(00502,end_of_activity,bored,video2100601074,au24,3).
entry(00600,end_of_activity,bored,video2100601074,au17,3).
entry(00601,begin_of_activity,bored,video2100601074,au24,4).
entry(00700,begin_of_activity,bored,video2100601074,au17,4).
entry(00701,end_of_activity,bored,video2100601074,au24,4).
entry(00800,begin_of_activity,bored,video2100601074,au14,2).
entry(00801,end_of_activity,bored,video2100601074,au17,4).
entry(00802,begin_of_activity,bored,video2100601074,au24,5).
entry(00900,end_of_activity,bored,video2100601074,au14,2).
entry(00901,begin_of_activity,bored,video2100601074,au17,5).
entry(00902,end_of_activity,bored,video2100601074,au24,5).
entry(01000,end_of_activity,bored,video2100601074,au17,5).
entry(01001,begin_of_activity,bored,video2100601074,au24,6).
entry(01100,begin_of_activity,bored,video2100601074,au04,2).
entry(01101,begin_of_activity,bored,video2100601074,au17,6).
entry(01102,end_of_activity,bored,video2100601074,au24,6).
entry(01200,end_of_activity,bored,video2100601074,au04,2).
entry(01201,begin_of_activity,bored,video2100601074,au05,1).
entry(01202,end_of_activity,bored,video2100601074,au17,6).
entry(01203,begin_of_activity,bored,video2100601074,au24,7).
entry(01300,end_of_activity,bored,video2100601074,au05,1).
entry(01301,begin_of_activity,bored,video2100601074,au17,7).
entry(01302,end_of_activity,bored,video2100601074,au24,7).
entry(01400,end_of_activity,bored,video2100601074,au17,7).
entry(01401,begin_of_activity,bored,video2100601074,au24,8).
entry(01500,begin_of_activity,bored,video2100601074,au17,8).
entry(01501,end_of_activity,bored,video2100601074,au24,8).
entry(01600,end_of_activity,bored,video2100601074,au17,8).
entry(01601,begin_of_activity,bored,video2100601074,au24,9).
entry(01602,begin_of_activity,bored,video2100601074,au28,1).
entry(01700,begin_of_activity,bored,video2100601074,au17,9).
entry(01701,end_of_activity,bored,video2100601074,au24,9).
entry(01702,end_of_activity,bored,video2100601074,au28,1).
entry(01800,end_of_activity,bored,video2100601074,au17,9).
entry(01801,begin_of_activity,bored,video2100601074,au24,10).
entry(01900,begin_of_activity,bored,video2100601074,au17,10).
entry(01901,end_of_activity,bored,video2100601074,au24,10).
entry(02000,end_of_activity,bored,video2100601074,au17,10).
entry(02001,begin_of_activity,bored,video2100601074,au24,11).
entry(02100,begin_of_activity,bored,video2100601074,au17,11).
entry(02101,end_of_activity,bored,video2100601074,au24,11).
entry(02200,end_of_activity,bored,video2100601074,au17,11).
entry(02201,begin_of_activity,bored,video2100601074,au24,12).
entry(02300,end_of_activity,bored,video2100601074,au24,12).
entry(02400,begin_of_activity,bored,video2100601074,au17,12).
entry(02401,begin_of_activity,bored,video2100601074,au24,13).
entry(02500,end_of_activity,bored,video2100601074,au17,12).
entry(02501,end_of_activity,bored,video2100601074,au24,13).
entry(02600,begin_of_activity,bored,video2100601074,au17,13).
entry(02601,begin_of_activity,bored,video2100601074,au24,14).
entry(02700,end_of_activity,bored,video2100601074,au17,13).
entry(02701,end_of_activity,bored,video2100601074,au24,14).
entry(02800,begin_of_activity,bored,video2100601074,au17,14).
entry(02801,begin_of_activity,bored,video2100601074,au24,15).
entry(02900,begin_of_activity,bored,video2100601074,au07,1).
entry(02901,end_of_activity,bored,video2100601074,au17,14).
entry(02902,end_of_activity,bored,video2100601074,au24,15).
entry(03000,end_of_activity,bored,video2100601074,au07,1).
entry(03001,begin_of_activity,bored,video2100601074,au10,2).
entry(03002,begin_of_activity,bored,video2100601074,au17,15).
entry(03003,begin_of_activity,bored,video2100601074,au24,16).
entry(03100,end_of_activity,bored,video2100601074,au10,2).
entry(03101,end_of_activity,bored,video2100601074,au17,15).
entry(03102,end_of_activity,bored,video2100601074,au24,16).
entry(03200,begin_of_activity,bored,video2100601074,au17,16).
entry(03201,begin_of_activity,bored,video2100601074,au24,17).
entry(03300,end_of_activity,bored,video2100601074,au17,16).
entry(03301,end_of_activity,bored,video2100601074,au24,17).
entry(03400,begin_of_activity,bored,video2100601074,au17,17).
entry(03401,begin_of_activity,bored,video2100601074,au24,18).
entry(03500,end_of_activity,bored,video2100601074,au17,17).
entry(03501,end_of_activity,bored,video2100601074,au24,18).
entry(03600,begin_of_activity,bored,video2100601074,au17,18).
entry(03601,begin_of_activity,bored,video2100601074,au24,19).
entry(03700,begin_of_activity,bored,video2100601074,au07,2).
entry(03701,end_of_activity,bored,video2100601074,au17,18).
entry(03702,end_of_activity,bored,video2100601074,au24,19).
entry(03800,end_of_activity,bored,video2100601074,au07,2).
entry(03801,begin_of_activity,bored,video2100601074,au17,19).
entry(03802,begin_of_activity,bored,video2100601074,au24,20).
entry(03900,begin_of_activity,bored,video2100601074,au07,3).
entry(03901,end_of_activity,bored,video2100601074,au17,19).
entry(03902,end_of_activity,bored,video2100601074,au24,20).
entry(04000,end_of_activity,bored,video2100601074,au07,3).
entry(04001,begin_of_activity,bored,video2100601074,au17,20).
entry(04002,begin_of_activity,bored,video2100601074,au24,21).
entry(04100,end_of_activity,bored,video2100601074,au17,20).
entry(04101,end_of_activity,bored,video2100601074,au24,21).
entry(04200,begin_of_activity,bored,video2100601074,au07,4).
entry(04201,begin_of_activity,bored,video2100601074,au17,21).
entry(04202,begin_of_activity,bored,video2100601074,au24,22).
