entry(00000,begin_of_process,confused,video1100161038,start,1).
entry(00001,begin_of_activity,confused,video1100161038,au04,1).
entry(00002,begin_of_activity,confused,video1100161038,au23,1).
entry(00100,end_of_activity,confused,video1100161038,au04,1).
entry(00101,end_of_activity,confused,video1100161038,au23,1).
entry(00200,begin_of_activity,confused,video1100161038,au04,2).
entry(00201,begin_of_activity,confused,video1100161038,au07,1).
entry(00202,begin_of_activity,confused,video1100161038,au17,1).
entry(00203,begin_of_activity,confused,video1100161038,au23,2).
entry(00300,end_of_activity,confused,video1100161038,au04,2).
entry(00301,end_of_activity,confused,video1100161038,au07,1).
entry(00302,end_of_activity,confused,video1100161038,au17,1).
entry(00303,end_of_activity,confused,video1100161038,au23,2).
entry(00400,begin_of_activity,confused,video1100161038,au04,3).
entry(00500,end_of_activity,confused,video1100161038,au04,3).
entry(00501,begin_of_activity,confused,video1100161038,au07,2).
entry(00600,begin_of_activity,confused,video1100161038,au04,4).
entry(00601,end_of_activity,confused,video1100161038,au07,2).
entry(00700,end_of_activity,confused,video1100161038,au04,4).
entry(00800,begin_of_activity,confused,video1100161038,au04,5).
entry(00801,begin_of_activity,confused,video1100161038,au17,2).
entry(00900,end_of_activity,confused,video1100161038,au04,5).
entry(00901,end_of_activity,confused,video1100161038,au17,2).
entry(00902,begin_of_activity,confused,video1100161038,au23,3).
entry(01000,begin_of_activity,confused,video1100161038,au04,6).
entry(01001,begin_of_activity,confused,video1100161038,au07,3).
entry(01002,end_of_activity,confused,video1100161038,au23,3).
entry(01100,end_of_activity,confused,video1100161038,au04,6).
entry(01101,end_of_activity,confused,video1100161038,au07,3).
entry(01102,begin_of_activity,confused,video1100161038,au15,1).
entry(01103,begin_of_activity,confused,video1100161038,au17,3).
entry(01104,begin_of_activity,confused,video1100161038,au23,4).
entry(01200,begin_of_activity,confused,video1100161038,au04,7).
entry(01201,end_of_activity,confused,video1100161038,au15,1).
entry(01202,end_of_activity,confused,video1100161038,au17,3).
entry(01203,end_of_activity,confused,video1100161038,au23,4).
entry(01300,end_of_activity,confused,video1100161038,au04,7).
entry(01301,begin_of_activity,confused,video1100161038,au23,5).
entry(01400,begin_of_activity,confused,video1100161038,au04,8).
entry(01401,end_of_activity,confused,video1100161038,au23,5).
entry(01402,begin_of_activity,confused,video1100161038,au24,1).
entry(01500,begin_of_activity,confused,video1100161038,au02,1).
entry(01501,end_of_activity,confused,video1100161038,au04,8).
entry(01502,begin_of_activity,confused,video1100161038,au07,4).
entry(01503,begin_of_activity,confused,video1100161038,au23,6).
entry(01504,end_of_activity,confused,video1100161038,au24,1).
entry(01600,end_of_activity,confused,video1100161038,au02,1).
entry(01601,begin_of_activity,confused,video1100161038,au04,9).
entry(01602,end_of_activity,confused,video1100161038,au07,4).
entry(01603,end_of_activity,confused,video1100161038,au23,6).
entry(01700,end_of_activity,confused,video1100161038,au04,9).
entry(01701,begin_of_activity,confused,video1100161038,au17,4).
entry(01702,begin_of_activity,confused,video1100161038,au23,7).
entry(01800,end_of_activity,confused,video1100161038,au17,4).
entry(01801,end_of_activity,confused,video1100161038,au23,7).
entry(01900,begin_of_activity,confused,video1100161038,au04,10).
entry(01901,begin_of_activity,confused,video1100161038,au07,5).
entry(01902,begin_of_activity,confused,video1100161038,au23,8).
entry(01903,begin_of_activity,confused,video1100161038,au24,2).
entry(02000,end_of_activity,confused,video1100161038,au04,10).
entry(02001,end_of_activity,confused,video1100161038,au07,5).
entry(02002,begin_of_activity,confused,video1100161038,au17,5).
entry(02003,end_of_activity,confused,video1100161038,au23,8).
entry(02004,end_of_activity,confused,video1100161038,au24,2).
entry(02100,begin_of_activity,confused,video1100161038,au04,11).
entry(02101,end_of_activity,confused,video1100161038,au17,5).
entry(02200,end_of_activity,confused,video1100161038,au04,11).
entry(02201,begin_of_activity,confused,video1100161038,au07,6).
entry(02300,begin_of_activity,confused,video1100161038,au04,12).
entry(02301,end_of_activity,confused,video1100161038,au07,6).
entry(02302,begin_of_activity,confused,video1100161038,au17,6).
entry(02400,end_of_activity,confused,video1100161038,au04,12).
entry(02401,begin_of_activity,confused,video1100161038,au07,7).
entry(02402,end_of_activity,confused,video1100161038,au17,6).
entry(02500,begin_of_activity,confused,video1100161038,au04,13).
entry(02501,end_of_activity,confused,video1100161038,au07,7).
entry(02600,end_of_activity,confused,video1100161038,au04,13).
entry(02700,begin_of_activity,confused,video1100161038,au04,14).
entry(02701,begin_of_activity,confused,video1100161038,au07,8).
entry(02800,end_of_activity,confused,video1100161038,au04,14).
entry(02801,end_of_activity,confused,video1100161038,au07,8).
entry(03000,begin_of_activity,confused,video1100161038,au04,15).
entry(03001,begin_of_activity,confused,video1100161038,au07,9).
entry(03002,begin_of_activity,confused,video1100161038,au23,9).
entry(03100,end_of_activity,confused,video1100161038,au04,15).
entry(03101,end_of_activity,confused,video1100161038,au07,9).
entry(03102,end_of_activity,confused,video1100161038,au23,9).
entry(03200,begin_of_activity,confused,video1100161038,au04,16).
entry(03201,begin_of_activity,confused,video1100161038,au17,7).
entry(03202,begin_of_activity,confused,video1100161038,au23,10).
entry(03300,end_of_activity,confused,video1100161038,au04,16).
entry(03301,end_of_activity,confused,video1100161038,au17,7).
entry(03302,end_of_activity,confused,video1100161038,au23,10).
entry(03303,begin_of_activity,confused,video1100161038,au24,3).
entry(03400,begin_of_activity,confused,video1100161038,au04,17).
entry(03401,begin_of_activity,confused,video1100161038,au17,8).
entry(03402,end_of_activity,confused,video1100161038,au24,3).
entry(03500,end_of_activity,confused,video1100161038,au04,17).
entry(03501,begin_of_activity,confused,video1100161038,au10,1).
entry(03502,end_of_activity,confused,video1100161038,au17,8).
entry(03503,begin_of_activity,confused,video1100161038,au23,11).
entry(03600,begin_of_activity,confused,video1100161038,au04,18).
entry(03601,end_of_activity,confused,video1100161038,au10,1).
entry(03602,end_of_activity,confused,video1100161038,au23,11).
entry(03700,end_of_activity,confused,video1100161038,au04,18).
entry(03701,begin_of_activity,confused,video1100161038,au07,10).
entry(03800,begin_of_activity,confused,video1100161038,au04,19).
entry(03801,end_of_activity,confused,video1100161038,au07,10).
entry(03802,begin_of_activity,confused,video1100161038,au17,9).
entry(03803,begin_of_activity,confused,video1100161038,au23,12).
entry(03900,end_of_activity,confused,video1100161038,au04,19).
entry(03901,end_of_activity,confused,video1100161038,au17,9).
entry(03902,end_of_activity,confused,video1100161038,au23,12).
entry(04000,begin_of_activity,confused,video1100161038,au04,20).
entry(04100,end_of_activity,confused,video1100161038,au04,20).
entry(04200,begin_of_activity,confused,video1100161038,au04,21).
entry(04300,end_of_activity,confused,video1100161038,au04,21).
entry(04301,begin_of_activity,confused,video1100161038,au17,10).
entry(04302,begin_of_activity,confused,video1100161038,au23,13).
entry(04400,begin_of_activity,confused,video1100161038,au04,22).
entry(04401,end_of_activity,confused,video1100161038,au17,10).
entry(04402,end_of_activity,confused,video1100161038,au23,13).
entry(04500,end_of_activity,confused,video1100161038,au04,22).
entry(04501,begin_of_activity,confused,video1100161038,au07,11).
entry(04502,begin_of_activity,confused,video1100161038,au10,2).
entry(04503,begin_of_activity,confused,video1100161038,au23,14).
entry(04600,begin_of_activity,confused,video1100161038,au04,23).
entry(04601,end_of_activity,confused,video1100161038,au07,11).
entry(04602,end_of_activity,confused,video1100161038,au10,2).
entry(04603,begin_of_activity,confused,video1100161038,au17,11).
entry(04604,end_of_activity,confused,video1100161038,au23,14).
entry(04700,end_of_activity,confused,video1100161038,au04,23).
entry(04701,end_of_activity,confused,video1100161038,au17,11).
entry(04800,begin_of_activity,confused,video1100161038,au02,2).
entry(04801,begin_of_activity,confused,video1100161038,au04,24).
entry(04802,begin_of_activity,confused,video1100161038,au17,12).
entry(04900,end_of_activity,confused,video1100161038,au02,2).
entry(04901,end_of_activity,confused,video1100161038,au04,24).
entry(04902,end_of_activity,confused,video1100161038,au17,12).
entry(05000,begin_of_activity,confused,video1100161038,au04,25).
entry(05100,end_of_activity,confused,video1100161038,au04,25).
entry(05101,begin_of_activity,confused,video1100161038,au17,13).
entry(05102,begin_of_activity,confused,video1100161038,au23,15).
entry(05200,begin_of_activity,confused,video1100161038,au04,26).
entry(05201,end_of_activity,confused,video1100161038,au17,13).
entry(05202,end_of_activity,confused,video1100161038,au23,15).
entry(05300,end_of_activity,confused,video1100161038,au04,26).
entry(05301,begin_of_activity,confused,video1100161038,au10,3).
entry(05302,begin_of_activity,confused,video1100161038,au17,14).
entry(05400,begin_of_activity,confused,video1100161038,au04,27).
entry(05401,end_of_activity,confused,video1100161038,au10,3).
entry(05402,end_of_activity,confused,video1100161038,au17,14).
entry(05500,end_of_activity,confused,video1100161038,au04,27).
entry(05501,begin_of_activity,confused,video1100161038,au17,15).
entry(05502,begin_of_activity,confused,video1100161038,au23,16).
entry(05600,begin_of_activity,confused,video1100161038,au02,3).
entry(05601,begin_of_activity,confused,video1100161038,au04,28).
entry(05602,begin_of_activity,confused,video1100161038,au07,12).
entry(05603,end_of_activity,confused,video1100161038,au17,15).
entry(05604,end_of_activity,confused,video1100161038,au23,16).
entry(05700,end_of_activity,confused,video1100161038,au02,3).
entry(05701,end_of_activity,confused,video1100161038,au04,28).
entry(05702,end_of_activity,confused,video1100161038,au07,12).
