entry(00000,begin_of_process,frustrated,video1110032034,start,1).
entry(00001,begin_of_activity,frustrated,video1110032034,au07,1).
entry(00002,begin_of_activity,frustrated,video1110032034,au17,1).
entry(00003,begin_of_activity,frustrated,video1110032034,au43,1).
entry(00100,begin_of_activity,frustrated,video1110032034,au04,1).
entry(00101,end_of_activity,frustrated,video1110032034,au07,1).
entry(00102,end_of_activity,frustrated,video1110032034,au17,1).
entry(00103,begin_of_activity,frustrated,video1110032034,au24,1).
entry(00104,end_of_activity,frustrated,video1110032034,au43,1).
entry(00200,begin_of_activity,frustrated,video1110032034,au02,1).
entry(00201,end_of_activity,frustrated,video1110032034,au04,1).
entry(00202,begin_of_activity,frustrated,video1110032034,au17,2).
entry(00203,end_of_activity,frustrated,video1110032034,au24,1).
entry(00300,end_of_activity,frustrated,video1110032034,au02,1).
entry(00301,end_of_activity,frustrated,video1110032034,au17,2).
entry(00400,begin_of_activity,frustrated,video1110032034,au07,2).
entry(00401,begin_of_activity,frustrated,video1110032034,au17,3).
entry(00500,end_of_activity,frustrated,video1110032034,au07,2).
entry(00501,end_of_activity,frustrated,video1110032034,au17,3).
entry(00600,begin_of_activity,frustrated,video1110032034,au07,3).
entry(00601,begin_of_activity,frustrated,video1110032034,au09,1).
entry(00602,begin_of_activity,frustrated,video1110032034,au17,4).
entry(00700,end_of_activity,frustrated,video1110032034,au07,3).
entry(00701,end_of_activity,frustrated,video1110032034,au09,1).
entry(00702,end_of_activity,frustrated,video1110032034,au17,4).
entry(00800,begin_of_activity,frustrated,video1110032034,au07,4).
entry(00801,begin_of_activity,frustrated,video1110032034,au17,5).
entry(00900,end_of_activity,frustrated,video1110032034,au07,4).
entry(00901,end_of_activity,frustrated,video1110032034,au17,5).
entry(00902,begin_of_activity,frustrated,video1110032034,au23,1).
entry(00903,begin_of_activity,frustrated,video1110032034,au24,2).
entry(01000,begin_of_activity,frustrated,video1110032034,au04,2).
entry(01001,begin_of_activity,frustrated,video1110032034,au07,5).
entry(01002,begin_of_activity,frustrated,video1110032034,au17,6).
entry(01003,end_of_activity,frustrated,video1110032034,au23,1).
entry(01004,end_of_activity,frustrated,video1110032034,au24,2).
entry(01100,end_of_activity,frustrated,video1110032034,au04,2).
entry(01101,end_of_activity,frustrated,video1110032034,au07,5).
entry(01102,end_of_activity,frustrated,video1110032034,au17,6).
entry(01200,begin_of_activity,frustrated,video1110032034,au17,7).
entry(01300,begin_of_activity,frustrated,video1110032034,au02,2).
entry(01301,begin_of_activity,frustrated,video1110032034,au07,6).
entry(01302,end_of_activity,frustrated,video1110032034,au17,7).
entry(01400,end_of_activity,frustrated,video1110032034,au02,2).
entry(01401,end_of_activity,frustrated,video1110032034,au07,6).
entry(01402,begin_of_activity,frustrated,video1110032034,au17,8).
entry(01403,begin_of_activity,frustrated,video1110032034,au43,2).
entry(01500,begin_of_activity,frustrated,video1110032034,au09,2).
entry(01501,end_of_activity,frustrated,video1110032034,au17,8).
entry(01502,end_of_activity,frustrated,video1110032034,au43,2).
entry(01600,begin_of_activity,frustrated,video1110032034,au07,7).
entry(01601,end_of_activity,frustrated,video1110032034,au09,2).
entry(01602,begin_of_activity,frustrated,video1110032034,au17,9).
entry(01603,begin_of_activity,frustrated,video1110032034,au24,3).
entry(01604,begin_of_activity,frustrated,video1110032034,au43,3).
entry(01700,end_of_activity,frustrated,video1110032034,au07,7).
entry(01701,end_of_activity,frustrated,video1110032034,au17,9).
entry(01702,end_of_activity,frustrated,video1110032034,au24,3).
entry(01703,end_of_activity,frustrated,video1110032034,au43,3).
entry(01800,begin_of_activity,frustrated,video1110032034,au17,10).
entry(01801,begin_of_activity,frustrated,video1110032034,au24,4).
entry(01900,begin_of_activity,frustrated,video1110032034,au02,3).
entry(01901,begin_of_activity,frustrated,video1110032034,au07,8).
entry(01902,end_of_activity,frustrated,video1110032034,au17,10).
entry(01903,end_of_activity,frustrated,video1110032034,au24,4).
entry(02000,end_of_activity,frustrated,video1110032034,au02,3).
entry(02001,end_of_activity,frustrated,video1110032034,au07,8).
entry(02002,begin_of_activity,frustrated,video1110032034,au17,11).
entry(02100,begin_of_activity,frustrated,video1110032034,au02,4).
entry(02101,begin_of_activity,frustrated,video1110032034,au04,3).
entry(02102,begin_of_activity,frustrated,video1110032034,au07,9).
entry(02103,begin_of_activity,frustrated,video1110032034,au10,1).
entry(02104,begin_of_activity,frustrated,video1110032034,au15,1).
entry(02105,end_of_activity,frustrated,video1110032034,au17,11).
entry(02106,begin_of_activity,frustrated,video1110032034,au24,5).
entry(02200,end_of_activity,frustrated,video1110032034,au02,4).
entry(02201,end_of_activity,frustrated,video1110032034,au04,3).
entry(02202,end_of_activity,frustrated,video1110032034,au07,9).
entry(02203,end_of_activity,frustrated,video1110032034,au10,1).
entry(02204,end_of_activity,frustrated,video1110032034,au15,1).
entry(02205,begin_of_activity,frustrated,video1110032034,au17,12).
entry(02206,end_of_activity,frustrated,video1110032034,au24,5).
entry(02300,end_of_activity,frustrated,video1110032034,au17,12).
entry(02301,begin_of_activity,frustrated,video1110032034,au24,6).
entry(02400,begin_of_activity,frustrated,video1110032034,au02,5).
entry(02401,begin_of_activity,frustrated,video1110032034,au07,10).
entry(02402,begin_of_activity,frustrated,video1110032034,au17,13).
entry(02403,end_of_activity,frustrated,video1110032034,au24,6).
entry(02500,end_of_activity,frustrated,video1110032034,au02,5).
entry(02501,end_of_activity,frustrated,video1110032034,au07,10).
entry(02502,end_of_activity,frustrated,video1110032034,au17,13).
entry(02600,begin_of_activity,frustrated,video1110032034,au17,14).
entry(02700,begin_of_activity,frustrated,video1110032034,au10,2).
entry(02701,end_of_activity,frustrated,video1110032034,au17,14).
entry(02800,end_of_activity,frustrated,video1110032034,au10,2).
entry(02801,begin_of_activity,frustrated,video1110032034,au17,15).
entry(02900,begin_of_activity,frustrated,video1110032034,au05,1).
entry(02901,end_of_activity,frustrated,video1110032034,au17,15).
entry(03000,begin_of_activity,frustrated,video1110032034,au02,6).
entry(03001,end_of_activity,frustrated,video1110032034,au05,1).
entry(03002,begin_of_activity,frustrated,video1110032034,au17,16).
entry(03100,end_of_activity,frustrated,video1110032034,au02,6).
entry(03101,begin_of_activity,frustrated,video1110032034,au10,3).
entry(03102,end_of_activity,frustrated,video1110032034,au17,16).
entry(03200,end_of_activity,frustrated,video1110032034,au10,3).
entry(03201,begin_of_activity,frustrated,video1110032034,au17,17).
entry(03300,begin_of_activity,frustrated,video1110032034,au10,4).
entry(03301,end_of_activity,frustrated,video1110032034,au17,17).
entry(03400,end_of_activity,frustrated,video1110032034,au10,4).
entry(03401,begin_of_activity,frustrated,video1110032034,au17,18).
entry(03500,begin_of_activity,frustrated,video1110032034,au10,5).
entry(03501,end_of_activity,frustrated,video1110032034,au17,18).
entry(03600,begin_of_activity,frustrated,video1110032034,au02,7).
entry(03601,end_of_activity,frustrated,video1110032034,au10,5).
entry(03602,begin_of_activity,frustrated,video1110032034,au17,19).
entry(03700,end_of_activity,frustrated,video1110032034,au02,7).
entry(03701,begin_of_activity,frustrated,video1110032034,au10,6).
entry(03702,end_of_activity,frustrated,video1110032034,au17,19).
entry(03800,end_of_activity,frustrated,video1110032034,au10,6).
entry(03801,begin_of_activity,frustrated,video1110032034,au17,20).
entry(03900,begin_of_activity,frustrated,video1110032034,au15,2).
entry(03901,end_of_activity,frustrated,video1110032034,au17,20).
entry(04000,begin_of_activity,frustrated,video1110032034,au07,11).
entry(04001,begin_of_activity,frustrated,video1110032034,au10,7).
entry(04002,end_of_activity,frustrated,video1110032034,au15,2).
entry(04003,begin_of_activity,frustrated,video1110032034,au17,21).
entry(04004,begin_of_activity,frustrated,video1110032034,au24,7).
entry(04100,end_of_activity,frustrated,video1110032034,au07,11).
entry(04101,end_of_activity,frustrated,video1110032034,au10,7).
entry(04102,end_of_activity,frustrated,video1110032034,au17,21).
entry(04103,end_of_activity,frustrated,video1110032034,au24,7).
entry(04200,begin_of_activity,frustrated,video1110032034,au04,4).
entry(04201,begin_of_activity,frustrated,video1110032034,au15,3).
entry(04202,begin_of_activity,frustrated,video1110032034,au17,22).
entry(04203,begin_of_activity,frustrated,video1110032034,au24,8).
entry(04300,end_of_activity,frustrated,video1110032034,au04,4).
entry(04301,end_of_activity,frustrated,video1110032034,au15,3).
entry(04302,end_of_activity,frustrated,video1110032034,au17,22).
entry(04303,end_of_activity,frustrated,video1110032034,au24,8).
entry(04400,begin_of_activity,frustrated,video1110032034,au10,8).
entry(04401,begin_of_activity,frustrated,video1110032034,au17,23).
entry(04402,begin_of_activity,frustrated,video1110032034,au24,9).
entry(04500,begin_of_activity,frustrated,video1110032034,au02,8).
entry(04501,begin_of_activity,frustrated,video1110032034,au07,12).
entry(04502,end_of_activity,frustrated,video1110032034,au10,8).
entry(04503,end_of_activity,frustrated,video1110032034,au17,23).
entry(04504,end_of_activity,frustrated,video1110032034,au24,9).
entry(04600,end_of_activity,frustrated,video1110032034,au02,8).
entry(04601,end_of_activity,frustrated,video1110032034,au07,12).
entry(04602,begin_of_activity,frustrated,video1110032034,au10,9).
entry(04603,begin_of_activity,frustrated,video1110032034,au17,24).
entry(04604,begin_of_activity,frustrated,video1110032034,au24,10).
entry(04700,begin_of_activity,frustrated,video1110032034,au02,9).
entry(04701,end_of_activity,frustrated,video1110032034,au10,9).
entry(04702,end_of_activity,frustrated,video1110032034,au17,24).
entry(04703,end_of_activity,frustrated,video1110032034,au24,10).
entry(04800,end_of_activity,frustrated,video1110032034,au02,9).
entry(04801,begin_of_activity,frustrated,video1110032034,au17,25).
entry(04802,begin_of_activity,frustrated,video1110032034,au24,11).
entry(04900,begin_of_activity,frustrated,video1110032034,au02,10).
entry(04901,begin_of_activity,frustrated,video1110032034,au07,13).
entry(04902,end_of_activity,frustrated,video1110032034,au17,25).
entry(04903,end_of_activity,frustrated,video1110032034,au24,11).
entry(05000,end_of_activity,frustrated,video1110032034,au02,10).
entry(05001,end_of_activity,frustrated,video1110032034,au07,13).
entry(05002,begin_of_activity,frustrated,video1110032034,au17,26).
entry(05100,begin_of_activity,frustrated,video1110032034,au07,14).
entry(05101,end_of_activity,frustrated,video1110032034,au17,26).
entry(05102,begin_of_activity,frustrated,video1110032034,au24,12).
entry(05200,begin_of_activity,frustrated,video1110032034,au02,11).
entry(05201,end_of_activity,frustrated,video1110032034,au07,14).
entry(05202,begin_of_activity,frustrated,video1110032034,au17,27).
entry(05203,end_of_activity,frustrated,video1110032034,au24,12).
entry(05300,end_of_activity,frustrated,video1110032034,au02,11).
entry(05301,begin_of_activity,frustrated,video1110032034,au07,15).
entry(05302,begin_of_activity,frustrated,video1110032034,au10,10).
entry(05303,end_of_activity,frustrated,video1110032034,au17,27).
entry(05304,begin_of_activity,frustrated,video1110032034,au24,13).
entry(05400,begin_of_activity,frustrated,video1110032034,au02,12).
entry(05401,end_of_activity,frustrated,video1110032034,au07,15).
entry(05402,end_of_activity,frustrated,video1110032034,au10,10).
entry(05403,begin_of_activity,frustrated,video1110032034,au15,4).
entry(05404,end_of_activity,frustrated,video1110032034,au24,13).
entry(05500,end_of_activity,frustrated,video1110032034,au02,12).
entry(05501,begin_of_activity,frustrated,video1110032034,au07,16).
entry(05502,end_of_activity,frustrated,video1110032034,au15,4).
entry(05503,begin_of_activity,frustrated,video1110032034,au17,28).
entry(05600,end_of_activity,frustrated,video1110032034,au07,16).
entry(05601,end_of_activity,frustrated,video1110032034,au17,28).
entry(05700,begin_of_activity,frustrated,video1110032034,au17,29).
entry(05800,end_of_activity,frustrated,video1110032034,au17,29).
entry(05900,begin_of_activity,frustrated,video1110032034,au02,13).
entry(05901,begin_of_activity,frustrated,video1110032034,au17,30).
entry(05902,begin_of_activity,frustrated,video1110032034,au24,14).
entry(06000,end_of_activity,frustrated,video1110032034,au02,13).
entry(06001,begin_of_activity,frustrated,video1110032034,au07,17).
entry(06002,begin_of_activity,frustrated,video1110032034,au10,11).
entry(06003,end_of_activity,frustrated,video1110032034,au17,30).
entry(06004,end_of_activity,frustrated,video1110032034,au24,14).
entry(06100,begin_of_activity,frustrated,video1110032034,au04,5).
entry(06101,end_of_activity,frustrated,video1110032034,au07,17).
entry(06102,end_of_activity,frustrated,video1110032034,au10,11).
entry(06200,end_of_activity,frustrated,video1110032034,au04,5).
entry(06201,begin_of_activity,frustrated,video1110032034,au17,31).
entry(06300,begin_of_activity,frustrated,video1110032034,au10,12).
entry(06301,end_of_activity,frustrated,video1110032034,au17,31).
entry(06302,begin_of_activity,frustrated,video1110032034,au24,15).
entry(06400,end_of_activity,frustrated,video1110032034,au10,12).
