entry(00000,begin_of_process,frustrated,video3344630270,start,1).
entry(00001,begin_of_activity,frustrated,video3344630270,au17,1).
entry(00100,begin_of_activity,frustrated,video3344630270,au04,1).
entry(00101,end_of_activity,frustrated,video3344630270,au17,1).
entry(00200,end_of_activity,frustrated,video3344630270,au04,1).
entry(00201,begin_of_activity,frustrated,video3344630270,au07,1).
entry(00202,begin_of_activity,frustrated,video3344630270,au17,2).
entry(00203,begin_of_activity,frustrated,video3344630270,au23,1).
entry(00300,end_of_activity,frustrated,video3344630270,au07,1).
entry(00301,end_of_activity,frustrated,video3344630270,au17,2).
entry(00302,end_of_activity,frustrated,video3344630270,au23,1).
entry(00400,begin_of_activity,frustrated,video3344630270,au04,2).
entry(00401,begin_of_activity,frustrated,video3344630270,au07,2).
entry(00402,begin_of_activity,frustrated,video3344630270,au17,3).
entry(00403,begin_of_activity,frustrated,video3344630270,au25,1).
entry(00500,end_of_activity,frustrated,video3344630270,au04,2).
entry(00501,end_of_activity,frustrated,video3344630270,au07,2).
entry(00502,begin_of_activity,frustrated,video3344630270,au10,1).
entry(00503,begin_of_activity,frustrated,video3344630270,au15,1).
entry(00504,end_of_activity,frustrated,video3344630270,au17,3).
entry(00505,begin_of_activity,frustrated,video3344630270,au20,1).
entry(00506,end_of_activity,frustrated,video3344630270,au25,1).
entry(00600,begin_of_activity,frustrated,video3344630270,au04,3).
entry(00601,end_of_activity,frustrated,video3344630270,au10,1).
entry(00602,end_of_activity,frustrated,video3344630270,au15,1).
entry(00603,begin_of_activity,frustrated,video3344630270,au17,4).
entry(00604,end_of_activity,frustrated,video3344630270,au20,1).
entry(00605,begin_of_activity,frustrated,video3344630270,au23,2).
entry(00606,begin_of_activity,frustrated,video3344630270,au43,1).
entry(00700,end_of_activity,frustrated,video3344630270,au04,3).
entry(00701,end_of_activity,frustrated,video3344630270,au17,4).
entry(00702,begin_of_activity,frustrated,video3344630270,au20,2).
entry(00703,end_of_activity,frustrated,video3344630270,au23,2).
entry(00704,end_of_activity,frustrated,video3344630270,au43,1).
entry(00800,begin_of_activity,frustrated,video3344630270,au04,4).
entry(00801,begin_of_activity,frustrated,video3344630270,au07,3).
entry(00802,begin_of_activity,frustrated,video3344630270,au10,2).
entry(00803,begin_of_activity,frustrated,video3344630270,au17,5).
entry(00804,end_of_activity,frustrated,video3344630270,au20,2).
entry(00805,begin_of_activity,frustrated,video3344630270,au23,3).
entry(00900,end_of_activity,frustrated,video3344630270,au04,4).
entry(00901,end_of_activity,frustrated,video3344630270,au07,3).
entry(00902,end_of_activity,frustrated,video3344630270,au10,2).
entry(00903,end_of_activity,frustrated,video3344630270,au17,5).
entry(00904,begin_of_activity,frustrated,video3344630270,au20,3).
entry(00905,end_of_activity,frustrated,video3344630270,au23,3).
entry(01000,begin_of_activity,frustrated,video3344630270,au04,5).
entry(01001,begin_of_activity,frustrated,video3344630270,au17,6).
entry(01002,end_of_activity,frustrated,video3344630270,au20,3).
entry(01100,end_of_activity,frustrated,video3344630270,au04,5).
entry(01101,begin_of_activity,frustrated,video3344630270,au07,4).
entry(01102,begin_of_activity,frustrated,video3344630270,au10,3).
entry(01103,end_of_activity,frustrated,video3344630270,au17,6).
entry(01104,begin_of_activity,frustrated,video3344630270,au23,4).
entry(01200,begin_of_activity,frustrated,video3344630270,au04,6).
entry(01201,end_of_activity,frustrated,video3344630270,au07,4).
entry(01202,end_of_activity,frustrated,video3344630270,au10,3).
entry(01203,end_of_activity,frustrated,video3344630270,au23,4).
entry(01204,begin_of_activity,frustrated,video3344630270,au25,2).
entry(01300,end_of_activity,frustrated,video3344630270,au04,6).
entry(01301,begin_of_activity,frustrated,video3344630270,au07,5).
entry(01302,begin_of_activity,frustrated,video3344630270,au17,7).
entry(01303,begin_of_activity,frustrated,video3344630270,au23,5).
entry(01304,end_of_activity,frustrated,video3344630270,au25,2).
entry(01400,begin_of_activity,frustrated,video3344630270,au04,7).
entry(01401,end_of_activity,frustrated,video3344630270,au07,5).
entry(01402,begin_of_activity,frustrated,video3344630270,au10,4).
entry(01403,begin_of_activity,frustrated,video3344630270,au14,1).
entry(01404,begin_of_activity,frustrated,video3344630270,au15,2).
entry(01405,end_of_activity,frustrated,video3344630270,au17,7).
entry(01406,end_of_activity,frustrated,video3344630270,au23,5).
entry(01500,end_of_activity,frustrated,video3344630270,au04,7).
entry(01501,end_of_activity,frustrated,video3344630270,au10,4).
entry(01502,end_of_activity,frustrated,video3344630270,au14,1).
entry(01503,end_of_activity,frustrated,video3344630270,au15,2).
entry(01600,begin_of_activity,frustrated,video3344630270,au17,8).
entry(01700,begin_of_activity,frustrated,video3344630270,au04,8).
entry(01701,begin_of_activity,frustrated,video3344630270,au10,5).
entry(01702,end_of_activity,frustrated,video3344630270,au17,8).
entry(01703,begin_of_activity,frustrated,video3344630270,au23,6).
entry(01800,end_of_activity,frustrated,video3344630270,au04,8).
entry(01801,begin_of_activity,frustrated,video3344630270,au07,6).
entry(01802,end_of_activity,frustrated,video3344630270,au10,5).
entry(01803,begin_of_activity,frustrated,video3344630270,au17,9).
entry(01804,end_of_activity,frustrated,video3344630270,au23,6).
entry(01900,begin_of_activity,frustrated,video3344630270,au04,9).
entry(01901,end_of_activity,frustrated,video3344630270,au07,6).
entry(01902,end_of_activity,frustrated,video3344630270,au17,9).
entry(02000,end_of_activity,frustrated,video3344630270,au04,9).
entry(02001,begin_of_activity,frustrated,video3344630270,au07,7).
entry(02002,begin_of_activity,frustrated,video3344630270,au17,10).
entry(02003,begin_of_activity,frustrated,video3344630270,au23,7).
entry(02100,end_of_activity,frustrated,video3344630270,au07,7).
entry(02101,end_of_activity,frustrated,video3344630270,au17,10).
entry(02102,end_of_activity,frustrated,video3344630270,au23,7).
entry(02200,begin_of_activity,frustrated,video3344630270,au07,8).
entry(02201,begin_of_activity,frustrated,video3344630270,au17,11).
entry(02202,begin_of_activity,frustrated,video3344630270,au23,8).
entry(02300,begin_of_activity,frustrated,video3344630270,au04,10).
entry(02301,end_of_activity,frustrated,video3344630270,au07,8).
entry(02302,begin_of_activity,frustrated,video3344630270,au10,6).
entry(02303,end_of_activity,frustrated,video3344630270,au17,11).
entry(02304,end_of_activity,frustrated,video3344630270,au23,8).
