entry(00000,begin_of_process,bored,video1100062046,start,1).
entry(00001,begin_of_activity,bored,video1100062046,au05,1).
entry(00002,begin_of_activity,bored,video1100062046,au10,1).
entry(00003,begin_of_activity,bored,video1100062046,au17,1).
entry(00004,begin_of_activity,bored,video1100062046,au23,1).
entry(00005,begin_of_activity,bored,video1100062046,au24,1).
entry(00006,begin_of_activity,bored,video1100062046,au25,1).
entry(00100,end_of_activity,bored,video1100062046,au05,1).
entry(00101,end_of_activity,bored,video1100062046,au10,1).
entry(00102,end_of_activity,bored,video1100062046,au17,1).
entry(00103,end_of_activity,bored,video1100062046,au23,1).
entry(00104,end_of_activity,bored,video1100062046,au24,1).
entry(00105,end_of_activity,bored,video1100062046,au25,1).
entry(00200,begin_of_activity,bored,video1100062046,au05,2).
entry(00201,begin_of_activity,bored,video1100062046,au10,2).
entry(00202,begin_of_activity,bored,video1100062046,au17,2).
entry(00203,begin_of_activity,bored,video1100062046,au24,2).
entry(00300,end_of_activity,bored,video1100062046,au05,2).
entry(00301,begin_of_activity,bored,video1100062046,au07,1).
entry(00302,end_of_activity,bored,video1100062046,au10,2).
entry(00303,end_of_activity,bored,video1100062046,au17,2).
entry(00304,end_of_activity,bored,video1100062046,au24,2).
entry(00400,begin_of_activity,bored,video1100062046,au05,3).
entry(00401,end_of_activity,bored,video1100062046,au07,1).
entry(00402,begin_of_activity,bored,video1100062046,au10,3).
entry(00403,begin_of_activity,bored,video1100062046,au17,3).
entry(00404,begin_of_activity,bored,video1100062046,au25,2).
entry(00500,end_of_activity,bored,video1100062046,au05,3).
entry(00501,end_of_activity,bored,video1100062046,au10,3).
entry(00502,end_of_activity,bored,video1100062046,au17,3).
entry(00503,end_of_activity,bored,video1100062046,au25,2).
entry(00600,begin_of_activity,bored,video1100062046,au05,4).
entry(00601,begin_of_activity,bored,video1100062046,au17,4).
entry(00700,end_of_activity,bored,video1100062046,au05,4).
entry(00701,end_of_activity,bored,video1100062046,au17,4).
entry(00800,begin_of_activity,bored,video1100062046,au05,5).
entry(00801,begin_of_activity,bored,video1100062046,au10,4).
entry(00802,begin_of_activity,bored,video1100062046,au17,5).
entry(00900,end_of_activity,bored,video1100062046,au05,5).
entry(00901,end_of_activity,bored,video1100062046,au10,4).
entry(00902,end_of_activity,bored,video1100062046,au17,5).
entry(01000,begin_of_activity,bored,video1100062046,au05,6).
entry(01001,begin_of_activity,bored,video1100062046,au10,5).
entry(01002,begin_of_activity,bored,video1100062046,au17,6).
entry(01100,end_of_activity,bored,video1100062046,au05,6).
entry(01101,end_of_activity,bored,video1100062046,au10,5).
entry(01102,end_of_activity,bored,video1100062046,au17,6).
entry(01200,begin_of_activity,bored,video1100062046,au05,7).
entry(01201,begin_of_activity,bored,video1100062046,au10,6).
entry(01202,begin_of_activity,bored,video1100062046,au17,7).
entry(01203,begin_of_activity,bored,video1100062046,au24,3).
entry(01300,end_of_activity,bored,video1100062046,au05,7).
entry(01301,begin_of_activity,bored,video1100062046,au07,2).
entry(01302,end_of_activity,bored,video1100062046,au10,6).
entry(01303,end_of_activity,bored,video1100062046,au17,7).
entry(01304,end_of_activity,bored,video1100062046,au24,3).
entry(01400,begin_of_activity,bored,video1100062046,au05,8).
entry(01401,end_of_activity,bored,video1100062046,au07,2).
entry(01402,begin_of_activity,bored,video1100062046,au17,8).
entry(01500,end_of_activity,bored,video1100062046,au05,8).
entry(01501,end_of_activity,bored,video1100062046,au17,8).
entry(01600,begin_of_activity,bored,video1100062046,au05,9).
entry(01601,begin_of_activity,bored,video1100062046,au10,7).
entry(01602,begin_of_activity,bored,video1100062046,au17,9).
entry(01700,end_of_activity,bored,video1100062046,au05,9).
entry(01701,end_of_activity,bored,video1100062046,au10,7).
entry(01702,end_of_activity,bored,video1100062046,au17,9).
entry(01800,begin_of_activity,bored,video1100062046,au05,10).
entry(01801,begin_of_activity,bored,video1100062046,au10,8).
entry(01802,begin_of_activity,bored,video1100062046,au17,10).
entry(01900,end_of_activity,bored,video1100062046,au05,10).
entry(01901,begin_of_activity,bored,video1100062046,au07,3).
entry(01902,end_of_activity,bored,video1100062046,au10,8).
entry(01903,end_of_activity,bored,video1100062046,au17,10).
entry(02000,begin_of_activity,bored,video1100062046,au05,11).
entry(02001,end_of_activity,bored,video1100062046,au07,3).
entry(02002,begin_of_activity,bored,video1100062046,au10,9).
entry(02003,begin_of_activity,bored,video1100062046,au17,11).
entry(02100,end_of_activity,bored,video1100062046,au05,11).
entry(02101,end_of_activity,bored,video1100062046,au10,9).
entry(02102,end_of_activity,bored,video1100062046,au17,11).
entry(02103,begin_of_activity,bored,video1100062046,au24,4).
entry(02200,begin_of_activity,bored,video1100062046,au05,12).
entry(02201,begin_of_activity,bored,video1100062046,au10,10).
entry(02202,begin_of_activity,bored,video1100062046,au17,12).
entry(02203,end_of_activity,bored,video1100062046,au24,4).
entry(02300,end_of_activity,bored,video1100062046,au05,12).
entry(02301,end_of_activity,bored,video1100062046,au10,10).
entry(02302,end_of_activity,bored,video1100062046,au17,12).
entry(02400,begin_of_activity,bored,video1100062046,au05,13).
entry(02401,begin_of_activity,bored,video1100062046,au17,13).
entry(02500,end_of_activity,bored,video1100062046,au05,13).
entry(02501,end_of_activity,bored,video1100062046,au17,13).
entry(02600,begin_of_activity,bored,video1100062046,au02,1).
entry(02601,begin_of_activity,bored,video1100062046,au05,14).
entry(02602,begin_of_activity,bored,video1100062046,au10,11).
entry(02603,begin_of_activity,bored,video1100062046,au17,14).
entry(02604,begin_of_activity,bored,video1100062046,au24,5).
entry(02700,end_of_activity,bored,video1100062046,au02,1).
entry(02701,end_of_activity,bored,video1100062046,au05,14).
entry(02702,begin_of_activity,bored,video1100062046,au07,4).
entry(02703,end_of_activity,bored,video1100062046,au10,11).
entry(02704,end_of_activity,bored,video1100062046,au17,14).
entry(02705,begin_of_activity,bored,video1100062046,au23,2).
