act_au28,[5,1108],[8,1111],3.7,1.62172747402269
act_au01,[1,785],[4,787],3.34,1.38722745070879
act_au12,[6,1158],[7,1159],4.57,1.6688618876348
act_au06,[2,1157],[9,1159],4.36,1.63413585726524
act_au26,[4,912],[4,915],3.24,1.36835667864778
act_au25,[3,1079],[4,1082],3.38,1.51512375732149
act_au10,[1,1153],[3,1157],3.44,1.46846859006245
act_au15,[2,1104],[4,1106],3.28,1.41124058898545
act_au02,[1,1122],[3,1125],3.28,1.53349274533661
act_au20,[2,1114],[4,1117],3.73,1.38820027373575
act_au43,[4,1139],[5,1142],3.81,1.64435397649046
act_au09,[2,1141],[5,1144],3.98,1.61542564050469
act_au23,[2,1155],[2,1159],3.35,1.4790199457749
act_au11,[2,1145],[4,1149],3.74,1.63780340700586
act_au17,[1,1154],[2,1159],2.99,1.40353126078474
act_au05,[1,1070],[2,1074],2.88,1.24723694621351
act_au07,[1,1152],[2,1157],3.28,1.46342065039414
act_au24,[1,1156],[1,1159],3.1,1.4422205101856
act_au14,[1,1159],[3,1159],3.79,1.56713113682295
act_au04,[1,1151],[1,1156],3.13,1.5339817469579
