act_au28,[104,29609],[204,29707],99.83,1.50701692094015
act_au01,[1,29900],[100,29907],99.44,7.19419210196671
act_au12,[6,29907],[105,29911],99.51,7.19582517853231
act_au06,[2,29902],[101,29909],99.35,7.7818699552229
act_au26,[4,29404],[103,29503],99.98,1.09068785635474
act_au25,[3,29910],[102,29911],99.63,6.22198521374013
act_au10,[1,29905],[100,29911],99.72,5.28408932551293
act_au15,[2,29903],[102,29908],99.54,6.76745151441809
act_au02,[1,29900],[100,29911],99.72,5.0972149258197
act_au20,[2,29909],[101,29911],99.65,5.89554916865239
act_au43,[4,29907],[104,29908],99.34,7.79322782933999
act_au09,[2,29903],[102,29911],99.74,4.93886626666492
act_au23,[2,29905],[101,29907],99.61,6.21995980694416
act_au11,[2,30101],[102,30105],99.37,8.05065835817156
act_au17,[1,30002],[100,30103],99.62,6.14862586274362
act_au05,[1,29901],[100,29906],99.76,4.94190246767352
act_au07,[1,29902],[100,29909],99.74,4.92264156728893
act_au24,[1,30003],[100,30104],99.69,5.89948302819839
act_au14,[1,30102],[101,30105],99.66,6.17368609503272
act_au04,[1,30000],[100,30100],99.53,6.78300081085056
