act_au01_89-1,['528_1'-1]
act_au01_90-1,[]
act_au01_91-1,['364_1'-1]
act_au01_92-1,['363_1'-1]
act_au01_93-1,[]
act_au01_94-1,['355_1'-1]
act_au01_95-1,[]
act_au01_96-1,['347_1'-1]
act_au01_97-1,[]
act_au01_98-1,[]
act_au01_99-1,[]
act_au01_100-1,[]
act_au01_101-1,['337_1'-1]
act_au01_102-1,['336_1'-1]
act_au01_103-1,['335_1'-1]
act_au01_104-1,['334_1'-1]
act_au01_105-1,['333_1'-1]
act_au01_106-1,[]
act_au01_107-1,['328_1'-1]
act_au01_108-1,[]
act_au01_109-1,[]
act_au01_110-1,['322_1'-1]
act_au01_111-1,['320_1'-1]
act_au01_112-1,['516_1'-1]
act_au01_113-1,['319_1'-1]
act_au01_114-1,[]
act_au01_115-1,[]
act_au01_116-1,[]
act_au01_117-1,['386_1'-1]
act_au01_118-1,['313_1'-1]
act_au01_119-1,[]
act_au01_120-1,[]
act_au01_121-1,[]
act_au01_122-1,['307_1'-1]
act_au02_126-1,['307_1'-1]
act_au02_127-1,[]
act_au01_123-1,[]
act_au02_128-1,['305_1'-1]
act_au01_124-1,[]
act_au02_129-1,['534_1'-1]
act_au02_130-1,[]
act_au01_125-1,[]
act_au02_131-1,[]
act_au01_126-1,[]
act_au02_132-1,[]
act_au01_127-1,[]
act_au02_133-1,[]
act_au02_134-1,[]
act_au01_128-1,['296_1'-1]
act_au02_135-1,[]
act_au01_129-1,['294_1'-1]
act_au02_136-1,[]
act_au01_130-1,['291_1'-1]
act_au01_131-1,['290_1'-1]
act_au02_137-1,[]
act_au01_132-1,['288_1'-1]
act_au02_138-1,[]
act_au01_133-1,['287_1'-1]
act_au02_139-1,[]
act_au01_134-1,[]
act_au02_140-1,[]
act_au01_135-1,[]
act_au02_141-1,['284_1'-1]
act_au01_136-1,['283_1'-1]
act_au02_142-1,['283_1'-1]
act_au26_35-1,[]
act_au26_36-1,[]
act_au26_37-1,[]
act_au26_38-1,[]
act_au26_39-1,[]
act_au26_40-1,[]
act_au26_41-1,[]
act_au26_42-1,[]
act_au26_43-1,[]
act_au26_44-1,[]
act_au26_45-1,[]
act_au26_46-1,[]
act_au26_47-1,[]
act_au26_48-1,['1303_1'-1]
act_au26_49-1,['1301_1'-1]
act_au26_50-1,['1346_1'-1]
act_au26_51-1,['1300_1'-1]
act_au26_52-1,['1299_1'-1]
act_au26_53-1,['1298_1'-1]
act_au26_54-1,['1360_1'-1]
act_au26_55-1,['1297_1'-1]
act_au26_56-1,['1296_1'-1]
act_au26_57-1,['1295_1'-1]
act_au26_58-1,['1294_1'-1]
act_au26_59-1,['1293_1'-1]
act_au26_60-1,['1292_1'-1]
act_au26_61-1,['1290_1'-1]
act_au26_62-1,['1289_1'-1]
act_au26_63-1,['1347_1'-1]
act_au26_64-1,['1288_1'-1]
act_au26_65-1,['1287_1'-1]
act_au26_66-1,['1286_1'-1]
act_au26_67-1,['1284_1'-1]
act_au26_68-1,['1282_1'-1]
act_au26_69-1,['1281_1'-1]
act_au26_70-1,['1284_1'-1]
act_au26_71-1,['1351_1'-1]
act_au26_72-1,['1351_1'-1]
act_au26_73-1,['1351_1'-1]
act_au26_74-1,['1279_1'-1]
act_au26_75-1,[]
act_au26_76-1,[]
act_au26_77-1,[]
act_au26_78-1,[]
act_au26_79-1,[]
act_au26_80-1,[]
act_au26_81-1,[]
act_au26_82-1,[]
act_au26_83-1,[]
act_au26_84-1,['1270_1'-1]
act_au26_85-1,['1360_1'-1]
act_au26_86-1,['1345_1'-1]
act_au26_87-1,['1269_1'-1]
act_au26_88-1,['1298_1'-1]
act_au26_89-1,['1267_1'-1]
act_au26_90-1,['1266_1'-1]
act_au26_91-1,['1265_1'-1]
act_au26_92-1,['1264_1'-1]
act_au26_93-1,['1263_1'-1]
act_au26_94-1,['1262_1'-1]
act_au26_95-1,['1261_1'-1]
act_au26_96-1,['1260_1'-1]
act_au26_97-1,['1259_1'-1]
act_au26_98-1,['1258_1'-1]
act_au26_99-1,['1257_1'-1]
act_au26_100-1,['1256_1'-1]
act_au26_101-1,['1255_1'-1]
act_au25_107-1,['1254_1'-1]
act_au26_102-1,['1254_1'-1]
act_au25_108-1,['1253_1'-1]
act_au26_103-1,['1253_1'-1]
act_au25_109-1,['1252_1'-1]
act_au26_104-1,['1252_1'-1]
act_au25_110-1,['1251_1'-1]
act_au26_105-1,['1251_1'-1]
act_au25_111-1,['1250_1'-1]
act_au26_106-1,['1250_1'-1]
act_au25_112-1,['1257_1'-1]
act_au26_107-1,['1257_1'-1]
act_au25_113-1,['1248_1'-1]
act_au26_108-1,['1248_1'-1]
act_au25_114-1,['1247_1'-1]
act_au26_109-1,['1247_1'-1]
act_au25_115-1,['1246_1'-1]
act_au26_110-1,['1246_1'-1]
act_au25_116-1,['1245_1'-1]
act_au26_111-1,['1245_1'-1]
act_au25_117-1,['1244_1'-1]
act_au26_112-1,[]
act_au25_118-1,['1306_1'-1]
act_au26_113-1,[]
act_au25_119-1,['1306_1'-1]
act_au26_114-1,[]
act_au25_120-1,['1242_1'-1]
act_au26_115-1,[]
act_au25_121-1,['1316_1'-1]
act_au25_122-1,['1241_1'-1]
act_au26_116-1,[]
act_au25_123-1,['1335_1'-1]
act_au26_117-1,[]
act_au25_124-1,['1239_1'-1]
act_au26_118-1,[]
act_au25_125-1,['1238_1'-1]
act_au26_119-1,[]
act_au25_126-1,['1306_1'-1]
act_au26_120-1,[]
act_au25_127-1,['1236_1'-1]
act_au26_121-1,[]
act_au25_128-1,['1234_1'-1]
act_au26_122-1,[]
act_au25_129-1,['1234_1'-1]
act_au26_123-1,[]
act_au25_130-1,['1234_1'-1]
act_au26_124-1,[]
act_au25_131-1,['1233_1'-1]
act_au26_125-1,[]
act_au25_132-1,['1232_1'-1]
act_au25_133-1,['1231_1'-1]
act_au25_134-1,['1269_1'-1]
act_au26_126-1,['1269_1'-1]
act_au25_135-1,['1227_1'-1]
act_au26_127-1,['1227_1'-1]
act_au25_136-1,['1226_1'-1]
act_au26_128-1,['1226_1'-1]
act_au25_137-1,['1246_1'-1]
act_au26_129-1,['1246_1'-1]
act_au25_138-1,['1225_1'-1]
act_au26_130-1,['1225_1'-1]
act_au25_139-1,['1224_1'-1]
act_au26_131-1,['1224_1'-1]
act_au25_140-1,['1223_1'-1]
act_au26_132-1,['1223_1'-1]
act_au25_141-1,['1222_1'-1]
