act_au28,[6,1235],[8,1235],3.94,1.62677595261302
act_au01,[1,1049],[5,1054],3.45,1.47563545633737
act_au05,[1,1144],[2,1146],2.9,1.37840487520902
act_au23,[2,1314],[5,1320],3.35,1.49248115565993
act_au17,[1,1386],[1,1386],2.98,1.41407213394508
act_au15,[3,1312],[6,1320],3.12,1.52170956493018
act_au24,[2,1383],[3,1386],3.17,1.53332971014065
act_au43,[3,1310],[3,1314],3.55,1.54191439451093
act_au26,[10,1099],[14,1103],3.48,1.59987499511681
act_au25,[2,1373],[4,1378],3.68,1.76
act_au20,[3,1342],[5,1343],3.92,1.38693907580686
act_au14,[1,1385],[2,1386],3.98,1.52957510439991
act_au12,[2,1384],[6,1386],4.69,1.57286363045243
act_au11,[1,1382],[1,1383],4.26,1.68
act_au10,[1,1381],[2,1383],3.6,1.61554944214035
act_au09,[1,1375],[3,1380],4.82,1.62098735343617
act_au07,[1,1380],[3,1383],3.48,1.60922341519131
act_au06,[1,1379],[6,1383],4.6,1.61554944214035
act_au04,[1,1374],[3,1378],3.3,1.70880074906351
act_au02,[1,1357],[3,1361],3.32,1.59298462013919
