act_au28,[107,29909],[207,29910],98.79,10.6002782982334
act_au01,[1,30100],[100,30104],99.64,5.9363625226228
act_au05,[1,30000],[100,30100],99.93,2.87664735412579
act_au23,[3,31204],[103,31304],99.69,6.02859021662624
act_au17,[1,31202],[100,31302],99.81,4.46137871066774
act_au15,[3,30503],[103,30604],99.48,6.79702876262843
act_au24,[2,31104],[102,31205],99.84,4.1442007673374
act_au43,[3,31005],[102,31105],99.44,7.8826645241315
act_au26,[304,29803],[405,29905],99.94,1.31011449881273
act_au25,[2,30705],[104,30805],99.8,4.96990945591574
act_au20,[3,31203],[103,31303],99.65,5.77905701650357
act_au14,[1,30802],[100,30902],99.53,6.96843597947204
act_au12,[2,30301],[102,30402],99.76,4.82622005300198
act_au11,[1,30502],[100,30602],99.68,5.95042855599482
act_au10,[1,31201],[100,31301],99.61,6.03803776072999
act_au09,[1,29903],[101,29910],99.68,5.55496174604268
act_au07,[1,31200],[100,31300],99.64,5.95066382851533
act_au06,[1,29901],[100,29910],99.77,4.69436896717774
act_au04,[1,30801],[100,30901],99.55,6.60889552043303
act_au02,[1,30800],[100,30900],99.58,6.42523151333855
