FaceRectX,FaceRectY,FaceRectWidth,FaceRectHeight,FaceScore,x_0,x_1,x_2,x_3,x_4,x_5,x_6,x_7,x_8,x_9,x_10,x_11,x_12,x_13,x_14,x_15,x_16,x_17,x_18,x_19,x_20,x_21,x_22,x_23,x_24,x_25,x_26,x_27,x_28,x_29,x_30,x_31,x_32,x_33,x_34,x_35,x_36,x_37,x_38,x_39,x_40,x_41,x_42,x_43,x_44,x_45,x_46,x_47,x_48,x_49,x_50,x_51,x_52,x_53,x_54,x_55,x_56,x_57,x_58,x_59,x_60,x_61,x_62,x_63,x_64,x_65,x_66,x_67,y_0,y_1,y_2,y_3,y_4,y_5,y_6,y_7,y_8,y_9,y_10,y_11,y_12,y_13,y_14,y_15,y_16,y_17,y_18,y_19,y_20,y_21,y_22,y_23,y_24,y_25,y_26,y_27,y_28,y_29,y_30,y_31,y_32,y_33,y_34,y_35,y_36,y_37,y_38,y_39,y_40,y_41,y_42,y_43,y_44,y_45,y_46,y_47,y_48,y_49,y_50,y_51,y_52,y_53,y_54,y_55,y_56,y_57,y_58,y_59,y_60,y_61,y_62,y_63,y_64,y_65,y_66,y_67,Pitch,Roll,Yaw,AU01,AU02,AU04,AU05,AU06,AU07,AU09,AU10,AU11,AU12,AU14,AU15,AU17,AU20,AU23,AU24,AU25,AU26,AU28,AU43,anger,disgust,fear,happiness,sadness,surprise,neutral,input,frame
509.2633463542,64.0206899643,230.3653428819,281.5354127884,0.9998942614,528.6473137326,523.6633100212,522.3336651047,524.5169267535,530.8553186979,544.774378173,566.8376637891,594.3832930768,625.5089052166,658.1073966253,690.1302321317,718.6598248357,738.6905439072,750.4512260089,756.9671908942,760.5267045042,761.7005495915,538.4558614297,552.9301780444,573.1571219363,594.795235316,614.177553638,648.4424306435,670.1381760655,693.3970748464,715.3990030786,730.9620507923,630.3600451212,627.8789675782,625.3426744308,622.927082353,603.6054367575,614.0145649063,625.2861700595,637.9077886864,649.8117856884,559.6412501476,571.338188633,585.9836343543,600.4118221776,585.9662057964,571.3917731419,665.1432983839,679.3278891369,694.6724707336,708.2471525781,695.0547914725,680.0923493817,582.1360813548,597.2552898499,612.9068496676,623.8829144055,636.4257470906,654.8959104739,674.2566922938,654.6686646329,637.6049083412,624.710715527,613.3895935353,598.6628850234,588.768629297,613.2108375467,624.3521060844,636.966847932,667.2013382106,637.1145325574,624.8563159748,613.9507508106,190.5306858004,217.9598830586,245.9059261634,273.8169510566,300.0678831598,321.7185821533,336.3035162439,345.1534781562,348.1442629857,347.9754949402,343.3228452664,332.9368142358,314.3214430759,289.0630225377,260.4238645151,231.0337581626,201.9773920799,143.9159790131,129.424550998,124.3272062839,127.2866176955,136.809295763,135.7683748933,129.6035083564,130.1683607679,138.3287317342,154.682025098,158.5103170743,174.1938242138,189.3832503649,204.9812357422,229.2303101983,232.0530116397,234.5010041214,232.9535173344,231.0882488357,166.0701629656,157.0080982227,157.4228697079,167.8537357287,169.2093372149,169.2498024801,170.6130660879,161.3218424907,162.4563399153,172.6143498311,174.3361221966,173.4530047858,274.7327809945,261.4654901792,254.2480535285,257.1264739989,254.676467819,262.1178478456,274.2990304038,277.2025616906,277.6370573496,277.8470256602,277.6128124234,277.5467027117,273.8580909106,266.2852969399,266.4795584046,266.100338761,273.1545853101,266.1584339538,266.3356192578,266.2657439305,13.1346597727,2.2207566366,3.4961585939,0.3666143417,0.4076439142,0.5787521005,0.3677581847,0.2118169963,1,0.2354317904,0.6412415504,0.4922894239,0.22813527290000002,0.6336596608,0.3240185976,0.6474888921,0,0.2379273623,0.5822986960000001,0.0027867216,0.2131705284,0.0638143867,0.0395903029,0.0356294028,0.0010392818,0.0047205361000000005,0.0034393927,0.0142785134,0.0063701598000000005,0.934522748,C:/Users/Alessandro/Desktop/bachelor-s-thesis/datasets/Student-engagement-dataset/Engaged/confused/0020.jpg,0
510.2195638021,62.0041966438,229.2903103299,285.9871630669,0.9999177456,530.9435065257,525.7661639973,524.091194358,525.88384389,532.2616778079,546.1835844727,568.2192517746,595.7056991097,627.3612834193,660.3852109835,692.2998219716,720.133786028,739.5796058804,750.7447950896,756.7218822322,760.0415884358,760.9638404161,540.0692211681,554.8785391601,575.288493416,596.8315947842,616.0644330542,650.1651633426,671.1978309887,693.6624377152,715.1847461734,730.4075904493,632.3892401914,629.8029826639,627.1133435654,624.5554883552,604.3742867918,615.033716337,626.6978944743,639.7001418802,651.8144410046,563.6257676118,575.4568720075,589.9982959069,603.8033766918,589.5843707428,575.2159483544,666.1617125137,680.3379155467,695.3892208724,708.3645080665,695.4929297297,680.7520759478,583.7832409159,598.552599292,614.0379885745,625.1264700491,637.9010079876,656.1275226001,675.4800249363,655.9511357211,639.0265456926,625.8938133162,614.3851575541,599.7187307302,590.2027066783,614.3130522835,625.5939167566,638.3980741084,668.4205609741,638.5154676256,626.0496834331,615.0170451894,185.4258884683,213.5455428118,242.0639035049,270.6479055634,297.7579940691,320.4748158273,336.413476228,346.6002429397,350.374856693,349.9089236848,343.7823280535,331.5324301095,311.4190075005,284.9861766983,255.4899458033,225.6692923292,196.2062809972,144.688282242,130.9445881003,126.7797058483,130.3270396975,139.9199044442,138.3522335841,132.2102861781,132.2323268672,139.3302367461,154.4271985155,160.7182146193,177.0108147355,192.7584626491,209.0127293534,230.6935057637,234.0861559091,236.9367380626,235.1707828223,232.7934771641,167.5531192451,159.1394876177,159.539963359,169.3626853896,171.4232187866,171.4220323736,171.7562121767,162.9331862554,163.9752148066,173.1515770093,175.9931383332,175.1350447021,275.3418257201,263.0649880197,256.5474284061,259.4708931353,257.0765276769,263.925137418,275.4182266238,278.6660934769,279.2918854042,279.4262978108,279.0413886258,278.5398018625,274.4702008446,267.9976840129,268.398875693,268.0019387352,274.1259978975,267.7264250076,267.973301181,267.7164836852,12.3292555424,2.9869665378,4.0351030162,0.40132871270000003,0.467172116,0.4031662643,0.39854815600000004,0.17810949680000002,0,0.2911937833,0.19391278920000002,0.48532328010000003,0.20899987220000002,0.4090026021,0.1857594252,0.6199521422000001,0,0.2977617681,0.5822986960000001,0.021939279500000002,0.1171415821,0.0493895598,0.1413234621,0.0058088247,0.0010854377,0.0013036407,0.0049639521,0.0048300582,0.0037944438,0.9782137275,C:/Users/Alessandro/Desktop/bachelor-s-thesis/datasets/Student-engagement-dataset/Engaged/confused/0021.jpg,0
512.9597439236,57.3737726212,226.8944769965,288.2719717026,0.9998943806,531.0617400997,526.5810131769,525.2252227884,527.500231019,534.2613734575,548.6714170147,571.0769794882,598.6159678829,629.6791762257,662.419364597,694.2603869269,722.1337713147,741.663565362,753.0258125384,759.623463213,763.9548171076,765.6816018914,542.4978026452,557.3241762241,577.2999656178,598.1848490139,616.759661879,652.3025765131,673.6267438302,696.392517057,718.3433933523,733.8276721813,634.6851572319,632.2952712558,629.7040425204,627.1679691236,606.8827325068,617.7624271723,629.5231948663,642.6333404963,654.8304642391,563.718185141,575.2972082623,590.0400962464,604.5529710046,590.1925311692,575.5951914224,669.1136350535,682.6629821293,697.8685770119,711.9164664922,698.8004032613,683.8510796697,586.7169200849,601.3428478231,616.571205881,627.9051949671,640.8311114568,659.4115326405,678.8359439082,659.6682369267,642.5135657816,629.1964896924,617.3980204895,602.7179064972,593.2877869147,616.8600755235,628.3414891595,641.3642522382,671.869278245,642.0968800853,629.4785345061,618.1870511136,190.2593851222,218.9117484603,247.669721385,276.3138990523,303.1170636831,325.3987689158,340.764757585,350.5753974568,354.1097721728,353.4686506407,346.7332044044,334.0408578869,313.7104557489,287.1968824192,257.679229758,227.5767037006,197.7230364691,144.8094170226,131.3589784175,127.6669212896,131.1797699594,140.5194347866,138.1341468071,131.9143153566,131.8752014585,139.0760556585,154.7265840184,162.8492437222,179.6700137259,196.0128601433,212.8318569287,234.4060480349,237.5704386777,240.4248872459,238.6041218889,236.2358650531,171.1663285718,162.0176455479,162.3290412492,172.2791158789,174.2549966049,174.5601963514,174.0904171983,164.5743068347,165.4486581284,174.9353248197,177.4389545062,176.8807824796,280.1382362081,267.1379476413,260.1050955717,263.1209482485,260.7210827644,267.7658525109,279.6194461243,284.786831239,286.250416809,286.4068517824,285.877236819,284.593839101,279.4687844199,272.6789457413,273.156023956,272.6289863448,278.6495369177,273.1638797257,273.349923322,272.9988879427,10.7854041267,2.0416985746,2.9622554099,0.2766837776,0.48450377580000004,0.4260565639,0.4192805886,0.13466906550000002,0,0.1955134124,0.0825887844,0.48121416570000003,0.1259551197,0.3686711788,0.42790952320000003,0.5505698919,0,0.31983268260000003,0.5822986960000001,0.0033237655,0.1560031772,0.11948673430000001,0.0498373099,0.001744934,0.000575792,0.0072962069,0.0080871945,0.0065817996,0.032273497400000004,0.9434406161000001,C:/Users/Alessandro/Desktop/bachelor-s-thesis/datasets/Student-engagement-dataset/Engaged/confused/0032.jpg,0
512.0612521701,57.7409133911,228.8770616319,289.7954063416,0.9999028444,531.6906847926,527.3402133922,526.3383878347,529.1689738406,536.3443414706,550.9027380216,573.1613711162,600.5165203301,631.407176348,664.0468633981,695.7554169937,723.7148536207,743.4542734611,754.9136903118,761.2106041469,764.6398707007,765.3900920678,542.0936894701,556.7282709864,576.7694147957,597.8553010366,616.6546122925,650.8677453277,672.0268110054,694.7923627538,717.0419999906,733.0335465294,634.3060603979,632.3100163792,630.1023624268,627.9681677364,607.6050800061,618.5677762721,630.3930695792,643.3708586963,655.500384034,562.8572897816,574.4707658773,589.3002921899,604.1785702475,589.5155502133,574.8596190808,669.1421047589,682.7274666425,697.9250354648,712.0563671449,698.92898562,683.9847517579,587.2676118153,602.2288217314,617.6062040686,628.8974564183,641.6403997573,659.9507840749,678.9500147949,660.1352406131,643.2446472274,630.0627516341,618.2934233403,603.4996524528,594.0140801656,617.932687374,629.367272341,642.2201558395,671.9153577178,642.67569032,630.2057733347,618.9621534297,193.9603589639,222.1755557016,250.611233864,278.9644983623,305.3840680122,327.2638179667,342.3723195068,352.0603607755,355.3514973853,354.2655066661,347.1066694428,334.1825030996,313.965390779,287.7568714126,258.4518700437,228.4535865267,198.7074357586,145.3704047543,131.9990468631,128.2435042819,131.5023055506,140.6665350227,138.573858081,131.839567303,131.2789015087,137.9890858753,153.3479790304,163.2784213539,180.0812533077,196.4072115287,213.2045298922,235.5479188902,238.5867362012,241.2866957205,239.2919368243,236.8878664031,171.8133035236,162.5269252282,162.84077495,172.9129953072,174.7520678275,175.1016626106,174.2772772369,164.4943856345,165.2122716607,174.7858022938,177.2005578871,176.7606521548,281.5354896176,268.2255792383,260.8723775966,263.7718627523,261.147248723,268.2010789992,279.9321127144,285.5336716232,287.3322627839,287.6743955652,287.2499113032,286.0300191078,280.8324032283,273.6809658235,274.0050654338,273.3439942601,279.1059240237,274.1154823323,274.4662171434,274.2130480055,11.2221641267,2.2206131586,2.6008571051000002,0.2618803084,0.4413410425,0.5670840144,0.3625994027,0.1429536045,1,0.1874186099,0.0151557606,0.4776655138,0.163480401,0.4632746279,0.5688353181,0.5902042389000001,0,0.3755461574,0.5822986960000001,0.0263267979,0.1407989711,0.09986386450000001,0.0623381771,0.005997073800000001,0.00027860900000000003,0.0024193379,0.0034719291,0.0019155282000000002,0.0231531505,0.9627643228,C:/Users/Alessandro/Desktop/bachelor-s-thesis/datasets/Student-engagement-dataset/Engaged/confused/0033.jpg,0
510.8213975694,56.8936357498,230.346733941,293.2295179367,0.9998944998,528.7464592135,525.2925686229,525.1163238195,528.6186105525,536.3194435373,551.3049970622,574.1968862816,602.1441641813,633.5539107961,666.2391448232,698.0202990602,725.8138208948,745.0648940114,755.7623395826,761.1583574067,764.1755711247,764.779479478,540.7680190471,555.7793698657,576.437905574,598.460174315,618.0555888689,652.0280029841,673.4746984481,696.3533744195,718.3984202833,733.9761265655,635.4188873427,633.4109140901,631.201994601,629.0889445668,608.7925776939,619.8712988765,631.812341791,644.7581578346,656.8456790411,563.611050709,575.688997554,591.0894994993,605.771808983,591.0057107284,575.7779982173,669.4985804476,683.4872783054,699.3256001742,713.3037693804,700.1311888332,684.5960375989,589.3950577454,604.0795274902,619.297340552,630.4948760995,642.999453554,661.2191802316,680.2481659149,661.6065800785,644.885550324,631.9588410564,620.2853244669,605.5233474873,596.0363717589,619.8232068485,631.1741628866,643.7934858644,673.1353277089,644.0806118406,631.7687170992,620.6234577749,193.2786675036,221.9555893465,250.569234413,279.0242785568,305.7158994028,327.7405591126,342.9118846122,352.4571978791,355.5202594703,354.1411948751,347.3631342317,334.6664613196,314.3244353342,287.5640636518,257.7370439252,227.417337836,197.4344227565,147.4405469608,133.2313975956,128.6084806193,131.364218841,140.1471906192,138.0294215678,131.4830122324,131.2302302144,138.4614213701,154.1535690613,163.9409259606,180.5918311205,196.7207290912,213.3548974703,236.5364504483,239.4447492508,241.9291754471,239.9503342603,237.4988572903,173.5038673782,163.6834773589,163.8712627809,174.5608013768,177.3339370417,177.6507613657,175.3309659473,164.7973751378,165.4347360792,175.5089777604,179.0701263673,178.6903398679,283.4504649519,269.4619768282,261.7830243529,264.5519338757,261.9477285377,269.1997462891,281.4066061957,285.9129110151,287.1782787574,287.4926072456,287.3213174102,286.7112219011,282.3135803163,274.518519046,274.7396626758,274.0748475413,280.2479092141,274.5461200529,274.9784029962,274.8200118076,10.8845054537,2.2501048767,2.3991546598,0.3607592583,0.4432533085,0.5257053971,0.36862018700000004,0.1378488988,1,0.28154650330000003,0.0907121003,0.4871064425,0.1248910949,0.510905385,0.400164634,0.5728465319,0,0.3251549602,0.5822986960000001,0.046208787700000004,0.2093727142,0.0789515749,0.0559195243,0.002627902,0.000279173,0.004763026300000001,0.0030079721000000003,0.0084589859,0.021709593000000003,0.9591532946,C:/Users/Alessandro/Desktop/bachelor-s-thesis/datasets/Student-engagement-dataset/Engaged/confused/0034.jpg,0
508.8645290799,58.91451931,232.2446289062,292.9299860001,0.9998826981000001,528.5314524761,524.8035390616,524.7013143252,528.78836572,537.0971269191,552.3223060854,574.9931503679,602.5601593379,633.5030569413,665.7328883384,696.9276707091,724.2905235343,743.5845153921,754.8535825959,760.6103081761,763.4420737509,763.8547859576,540.7485132073,555.6397910597,576.3042522768,598.4510455026,618.0223892661,652.3342194436,674.0720299162,697.3960942448,719.4912198749,734.6821215932,635.5121009088,633.6235518088,631.5380540468,629.5231435234,608.7443054185,620.0845569924,632.3102604175,645.3302431298,657.4507571126,562.0627583448,574.3002053577,589.8971984554,605.1934677078,589.9915242932,574.5111080418,669.300948581,683.5938063049,699.7058830095,714.0300010955,700.5717028505,684.7441960104,588.7607313441,603.6949083864,619.4351187797,630.7001003463,643.1632840489,661.2256553542,679.5093005764,661.3046652908,644.9056930514,631.9006281527,620.0497662208,604.9463809451,595.4250131201,619.9491862153,631.362413554,643.9175974241,672.3065527779,644.0386579952,631.7520576248,620.5055138053,193.8922956625,222.1734949559,250.6394698077,278.7686414956,304.9969024121,326.565965595,341.4257630895,350.905069804,354.0986342611,352.9977540969,346.5098042293,334.2452034435,314.4704263787,288.3061947292,258.8158354116,228.7789435571,199.2702931563,147.9660571833,133.3069273282,128.1048950831,130.7204466455,139.6131187232,137.2866521782,130.8810121849,131.0725238066,139.2233279885,155.8035768048,163.3954553505,179.5152528616,195.0864121614,211.1480364853,234.9281207742,237.7677642954,240.2400985622,238.52291575,236.4430959761,172.2007890775,162.2342229926,162.5044616991,173.6737765008,176.101283995,176.3592972181,175.2358622417,164.3841585854,165.1165457079,175.6544095763,179.004003468,178.5742887253,280.8835977489,266.4931037734,258.4983080742,261.4266413493,258.9294370759,267.0481218643,280.2149989456,284.2783850729,285.6241939455,285.8997335043,285.5824994947,284.4862497192,279.6703730394,271.7681432113,272.1429323246,271.6869542682,278.8475676242,272.1211422598,272.4444523452,272.1833696562,10.992437836,1.5516658829,2.4478794072,0.42922794820000004,0.4487756491,0.587524116,0.37018570300000003,0.141520381,0,0.2873178124,0.011280891500000001,0.4803269207,0.24632923310000002,0.5634402037,0.5156294107,0.6459646821,0,0.1900713295,0.5822986960000001,0.0032246294000000003,0.15454807880000002,0.0714778826,0.11696923520000001,0.0015919319,0.0001207866,0.0016210558,0.0032081543,0.0041252766,0.005288606,0.9840442538,C:/Users/Alessandro/Desktop/bachelor-s-thesis/datasets/Student-engagement-dataset/Engaged/confused/0035.jpg,0
514.8116319444,57.6216688156,232.3726128472,290.3974657059,0.9999009371,528.7230914286,524.2512011239,522.7697413505,524.9853778088,531.9117173662,547.0349906324,570.3115892175,598.7351617374,630.4818929601,663.7047562344,695.8736029617,723.6579734869,743.26216199,754.252390137,759.8428216198,762.6242870616,762.7587159726,540.8619473231,555.9023760726,576.6013646776,598.4353968973,617.8224677541,650.9707533082,672.4782366828,695.6322872805,718.1728709608,734.1964149768,634.9306549285,633.5815677526,631.9995147752,630.4020706015,608.6618706756,619.8055953697,631.6509176778,644.4728435923,656.4777690761,561.6714056691,573.7879017486,589.6245393127,604.3634169295,589.358641336,573.739360283,667.9500054601,681.9111499293,698.0893536596,712.0565424448,699.1479190218,683.358981704,586.9008375918,602.4310324891,618.7453164128,630.1390078452,643.1515685783,662.0161695913,680.956958065,662.16528349,644.6328621849,631.1333497535,618.9990738304,603.4027237906,594.2504765919,618.7099021215,630.3774363789,643.4029581195,673.7035503914,644.2419133338,631.4589535251,619.8697253547,190.768860166,218.7948163934,246.8567269541,275.1444789162,301.658919957,323.4591891676,338.7905863042,349.4032212536,353.3481863682,352.9089453017,345.9051408766,332.7134108316,311.9037240063,285.0153246659,255.0893138189,224.8217471911,195.1817093428,146.6847141526,132.0020528287,127.279219556,130.3646974757,139.6458693114,138.3491662074,130.6349781007,129.1845811266,135.3141925982,150.6905378441,163.0789658308,179.0046895506,194.4290985326,210.3505746145,233.1019408334,236.0505700385,238.8335932937,236.8331324077,234.6174647931,171.1997120789,160.8799875905,161.2614337798,172.9616094207,175.3979984233,175.5860888133,174.3349881003,162.8022670146,163.1333750602,173.5519064599,177.4188355086,177.3298324363,277.7706615182,263.8932443266,256.3976693671,259.6126431221,257.2218357396,265.4532802079,278.7957235068,285.7967238677,287.4930995779,287.454943535,286.5946566625,284.1125821855,277.320100341,270.5042928371,271.1020154536,270.9598390172,277.9577445222,272.6239368336,272.5085755586,271.8539823676,10.8860265834,1.7668361041,3.0812781837,0.3950960636,0.4525721669,0.5795061588,0.7466586828,0.2491711527,0,0.38620176910000004,0.3782977462,0.4958916306,0.3023278117,0.5644993186,0.6032203436,0.6061128378,0,0.1847174019,0.5684500337,0.0009995231,0.10389921070000001,0.1154123321,0.1379695535,0.0037967276,0.0002601572,0.0029237380000000004,0.0045478558,0.0028054889,0.0211626887,0.9645033479,C:/Users/Alessandro/Desktop/bachelor-s-thesis/datasets/Student-engagement-dataset/Engaged/confused/0036.jpg,0
512.8981119792,59.0036716461,235.0672743056,287.0806331635,0.9998786449,527.4533753696,523.6195456078,522.8931589936,525.667665104,532.8485395401,548.2617117583,571.7559979439,600.5112611782,632.3399947073,665.4607438557,697.0958044037,724.1089348198,742.9081090981,753.1323258942,758.1697740972,760.3986971364,759.9581280647,540.2974956156,555.0576477975,576.4261512518,598.9297525007,618.7888407717,651.2317755532,672.761591024,695.8252053365,718.1510266161,733.4214594653,635.618493068,634.3878729336,632.9343810289,631.5023672772,609.4104956489,620.5959213888,632.4426832759,645.0526998685,656.8750062297,562.4879182907,574.4071330101,589.8465882453,604.5189592572,589.8091144125,574.4894111733,668.2752032319,682.047237178,697.6272962871,711.1065825983,698.7099307159,683.4112230898,587.842385001,603.5211183585,619.8971627428,631.2717132698,644.2397743677,662.7664471476,681.1571053148,662.9804483997,645.7042312185,632.1948837067,620.0786900954,604.3380787132,595.2274302248,619.880222517,631.4858377236,644.4939598886,673.8645742573,645.0525561333,632.2771824035,620.7194310348,191.7155429889,219.9759052274,248.099534177,276.2768790424,302.6303262666,324.4677557038,339.9668918678,350.4636306959,354.0694758192,353.2162428478,345.5231011179,331.3097178231,309.7158785656,282.4481314228,252.5962298398,222.5582937774,193.152710676,147.9430878804,132.1518816906,126.8764695162,130.2194228692,140.0839319379,139.5406332305,131.2651070722,129.4381293899,135.7333944897,151.8226049178,163.4200990828,179.4542075766,194.954729759,211.0232525781,232.7444412661,235.7551813916,238.5844454984,236.3353584572,233.9675666339,171.0773686014,161.3531143352,161.7578522627,172.7678799316,174.9566905695,175.1903014163,174.2325729188,163.6015853682,163.9207597554,173.6219753145,177.190089935,177.1104195399,277.6944987357,264.0398759544,256.8321076266,260.0760889939,257.6059576733,265.4524238467,278.3094597315,286.4134378702,288.5154837518,288.6430795856,287.7737688,285.0561869815,277.396515031,270.9218580736,271.5281538874,271.3039679662,277.7466951646,273.226426921,273.2794652279,272.6462498554,10.4837579133,1.8909287885000001,2.0114574334,0.31429675220000003,0.5151845813,0.5587408543,0.4594020545,0.2215573043,0,0.3598479927,0.27655011420000003,0.516166389,0.38149666790000003,0.3876484931,0.2996678352,0.528322041,1,0.2710031569,0.5684500337,0.1784738153,0.0802715123,0.0219505373,0.2667585015,0.0048868307,0.0021350458,0.0055770199,0.0135703683,0.0018016212,0.0061200871,0.9659090638000001,C:/Users/Alessandro/Desktop/bachelor-s-thesis/datasets/Student-engagement-dataset/Engaged/confused/0037.jpg,0
515.0275607639,56.2833237648,230.5198567708,290.5769591331,0.9998947382000001,525.9852566916,522.7674228604,522.3875127099,525.6084485058,533.4727554112,549.5739635157,573.6162586492,602.5895139195,634.1388028679,666.6991660697,697.5287472266,723.898690234,741.9800793923,751.8102837647,756.8285041976,759.3242089381,759.1156031046,540.43381901,554.6292932159,575.1222755467,596.9591412582,616.4693878882,653.6147564197,674.5449858884,697.0399149856,718.6858098194,733.4531366909,636.1039625141,635.0793892581,633.8259045095,632.6129271606,610.5907749087,621.7662655606,633.7446403062,646.3900777725,658.1120961714,562.7924798849,574.9687880424,590.3350487194,605.2396518218,590.6351443285,575.3855944275,668.3911034099,682.066850429,697.5195816221,711.4105229024,698.7248482244,683.5223525833,590.0244989173,605.3205730944,621.4246233677,632.8969361985,645.6872151566,664.0361526754,681.9750073307,664.6462577108,647.8582371901,634.3614584715,622.0696449918,606.4247374672,597.0641300365,621.4922119071,633.2066130859,646.1295127298,675.1212550868,647.1971913459,634.4703234068,622.7029342264,192.2476191253,220.8545100109,249.2028518712,277.6527012427,304.0518661094,325.4825043309,340.266021692,350.0023461651,353.5190701517,352.3999934858,344.7404578243,330.8079076092,309.5898449047,282.758358633,253.3521480554,223.6035470722,194.3982315814,149.4595220326,133.8872430908,128.2680416596,130.7390138164,139.5144462403,138.4604225044,131.0260364885,129.9479660306,136.6275094376,152.6817620047,164.1874326479,180.1985694632,195.5501464676,211.4198814907,234.4978552671,237.1787426295,239.7693872372,237.7385719341,235.4795517837,173.158148564,163.3625074576,163.4905453411,174.2577405265,176.4890975938,176.8629233209,175.9252570383,165.4130256929,165.6735907356,175.4326005995,178.631749899,178.6245379607,278.7910443834,264.4862376093,256.6351179513,259.6731521346,257.2534117581,265.3135113559,278.7448838219,286.209614016,288.4741834099,288.6561237771,287.8342953556,285.176290829,278.1148056664,270.391193908,270.9852123722,270.6306219444,278.0014722391,273.7362654508,273.8415763762,273.2313466386,10.6451408711,1.5601150021999999,2.3828542543,0.3132873774,0.5644546747,0.3419549763,0.45840892200000005,0.41107884050000004,1,0.3287900388,0.4252234697,0.4848203361,0.3294709921,0.31927558780000004,0.4372743368,0.6297467947000001,0,0.3248919249,0.5684500337,0.2955816388,0.10914733260000001,0.0540669151,0.048286885,0.0024402051,0.0008311094,0.0042891982,0.007842867600000001,0.0018879503,0.0668376014,0.9158710837,C:/Users/Alessandro/Desktop/bachelor-s-thesis/datasets/Student-engagement-dataset/Engaged/confused/0038.jpg,0
522.4334852431,65.8198127747,221.8108181424,279.1286430359,0.9997931123,526.4338989966,523.870274257,524.5366356082,528.8678920539,537.6336381227,553.6819176128,576.9651493279,605.6500671625,637.4932124751,669.9574338988,699.1375794988,723.5466682647,740.4512944886,750.1012182731,755.137507958,757.1631003231,756.2736069698,539.9820369354,553.6118709845,574.003575488,595.8859245493,615.5465566758,654.543122813,674.8549080766,697.2641591162,718.766767008,733.7078316133,637.7077146767,637.1988109984,636.4518266468,635.7960416677,612.416020426,624.1293000636,637.2065773198,650.4971089753,662.4929010295,562.9163731531,576.2479624945,590.0280219547,606.0255757868,591.4132821239,577.4874294465,670.8088143796,685.3199561991,698.8847647763,713.0769683353,699.281865371,685.5044312869,591.9223055912,607.5437818013,624.8307745707,637.0270335466,650.2767570766,668.8284224039,685.5876047951,668.9241338293,652.3711682326,638.2783496289,625.3067262866,608.7157176943,598.7464563526,625.0205902522,637.312430882,650.6464259863,678.8710944488,651.5431466104,638.4327177434,626.0824400376,196.328209728,224.7083743184,252.6803478474,280.8030958205,306.89456145,328.4693222604,343.7675378229,353.8522558131,357.1021318722,355.1746067831,345.8297057682,329.9570220049,307.5217767484,280.7785191069,252.0697632577,223.0537685421,194.4006946213,148.5467462528,133.8346284082,128.2372868926,130.143239976,138.7739089533,138.4910870818,130.9125350321,129.678338797,136.2148162316,151.69101831,164.3259147226,180.54942059,196.1124397593,212.3632375579,234.989206896,238.1374020436,240.8396825716,238.4050107099,235.3363953999,177.7517181268,174.0013934976,172.9411209342,175.004396928,177.9943707476,179.2763328537,176.2241086744,173.9162334882,175.0908247045,178.8922692971,180.110872995,179.2873434609,279.6574336521,264.9258800394,256.8683316363,259.900870487,257.3872177327,265.2845483242,279.2792996518,287.4356340651,291.0761421119,291.6465374861,290.876074487,287.1024608763,278.9981348617,271.9078428495,272.5572390811,272.0538257328,278.7022559872,274.6387928825,275.0078029525,274.4402226203,10.6084220198,0.1988807074,1.2829300453,0.5439114571,0.5314367414,0.5619530678,0.23390682040000002,0.4094825983,0,0.35612368580000003,0.043710541000000006,0.49656125900000003,0.46729078890000003,0.5797693133,0.5056222677000001,0.6785600185,0,0.3506127,0.5822986960000001,0.06990202520000001,0.1521797329,0.0645952076,0.8176902533,0.0046408419000000005,0.00016220630000000002,0.0004072304,0.012369201500000001,0.0014294104,0.0049941740000000005,0.9759969711,C:/Users/Alessandro/Desktop/bachelor-s-thesis/datasets/Student-engagement-dataset/Engaged/confused/0039.jpg,0
