FaceRectX,FaceRectY,FaceRectWidth,FaceRectHeight,FaceScore,x_0,x_1,x_2,x_3,x_4,x_5,x_6,x_7,x_8,x_9,x_10,x_11,x_12,x_13,x_14,x_15,x_16,x_17,x_18,x_19,x_20,x_21,x_22,x_23,x_24,x_25,x_26,x_27,x_28,x_29,x_30,x_31,x_32,x_33,x_34,x_35,x_36,x_37,x_38,x_39,x_40,x_41,x_42,x_43,x_44,x_45,x_46,x_47,x_48,x_49,x_50,x_51,x_52,x_53,x_54,x_55,x_56,x_57,x_58,x_59,x_60,x_61,x_62,x_63,x_64,x_65,x_66,x_67,y_0,y_1,y_2,y_3,y_4,y_5,y_6,y_7,y_8,y_9,y_10,y_11,y_12,y_13,y_14,y_15,y_16,y_17,y_18,y_19,y_20,y_21,y_22,y_23,y_24,y_25,y_26,y_27,y_28,y_29,y_30,y_31,y_32,y_33,y_34,y_35,y_36,y_37,y_38,y_39,y_40,y_41,y_42,y_43,y_44,y_45,y_46,y_47,y_48,y_49,y_50,y_51,y_52,y_53,y_54,y_55,y_56,y_57,y_58,y_59,y_60,y_61,y_62,y_63,y_64,y_65,y_66,y_67,Pitch,Roll,Yaw,AU01,AU02,AU04,AU05,AU06,AU07,AU09,AU10,AU11,AU12,AU14,AU15,AU17,AU20,AU23,AU24,AU25,AU26,AU28,AU43,anger,disgust,fear,happiness,sadness,surprise,neutral,input,frame
584.780327691,93.6274623871,271.8190104167,361.5333995819,0.9990937710000001,572.6103679639,577.2823312934,585.520021367,597.1305761643,614.9989614538,641.6662715667,674.5336240312,709.7575224377,744.502695328,775.2229200211,800.2638097768,820.9388665992,836.5421171009,846.4271926217,852.2433727723,854.2315847731,852.0310454772,608.0531553574,630.5446888684,662.2339752329,694.9319261494,723.4674501128,763.8301939964,786.2323398108,810.4215930865,833.1270636081,847.3128076751,743.0337297144,745.2617828628,747.4884137726,750.1301314855,717.9303519659,731.5778821543,745.2821338044,757.9165258538,769.3719855306,642.9922763411,661.6361307682,683.4727557227,701.1313737466,682.1727003383,660.8691045561,773.0641945402,790.0133999452,809.9397645041,823.5817479619,811.312509211,791.9180877513,691.5186698491,713.7025925428,734.6384362086,746.9551777291,759.6780071613,776.2640245429,791.5681653353,776.524190773,761.2334190235,747.9767070759,734.5250708619,714.5160742397,699.7703819024,734.3262160453,747.1099690077,759.8595623846,784.288630949,759.2801423747,746.749987486,734.3662714564,244.2108826584,282.9027806223,320.4321148871,356.8524650601,390.0560218027,416.8203544477,435.8220828976,449.3926182594,451.440771153,444.4589242372,423.4382634325,399.0600851515,369.946395334,337.9071865536,304.3522075798,270.7092049655,237.3754746018,206.1884582673,185.3937782483,176.7082834188,179.4982113244,190.1526791453,191.3572893895,179.2368167972,175.45327421,181.9900638762,199.3189811312,231.1573956788,257.4838986323,282.7199065959,308.1121151473,328.9320334369,333.2330381484,336.7349774908,333.2892036441,328.6067028194,238.3063685607,225.3868564582,225.5642225423,242.2185332361,248.181100528,248.2354946901,239.2114553535,222.4794645727,221.6212340774,234.9852862518,244.4707902997,245.1569299232,380.8299082184,369.7876476462,363.6351985704,367.089221401,363.5345557945,369.7229487189,378.8632108089,389.2844961448,393.9290878457,395.2914372813,394.8958480765,391.0675437614,380.3456747598,377.1850985429,378.2596644603,376.8019474612,379.4425015244,376.3122319192,377.6721764786,377.1193135424,-5.5658479158,-0.609359161,-8.2486623896,0.4405757487,0.4956254959,0.092330642,0.7254739404,0.07315615560000001,0,0.2022491395,0.38973203300000003,0.46162676810000003,0.051001519,0.21975441280000002,0.1877306849,0.5314139128,0,0.3670961857,0.4679731131,0.00020886180000000002,0.0625491068,0.038289714600000004,0.032336827400000004,7.3752999999999995e-06,6.969e-07,0.0006585520000000001,0.0001346866,4.738760000000001e-05,0.9983530045000001,0.0007983305,C:/Users/Alessandro/Desktop/bachelor-s-thesis/datasets/Student-engagement-dataset/Not engaged/Looking Away/0001.jpg,0
586.2995334201,93.4901332855,270.3080512153,360.5646457672,0.9993472695000001,572.6340977911,577.7544087479,586.3814531867,598.3982108284,616.8663576986,644.2195480974,678.1183822403,715.0421164487,751.0947684639,781.8238939755,806.3718471685,826.5580838398,841.3894725468,850.3922068839,855.3847884332,856.6223794296,853.7323460414,611.3191451588,634.108854154,665.5841241749,698.4484087883,727.3810054511,769.1042861041,790.929296683,814.2640042555,836.0690278996,849.4269282016,749.4884636542,752.4114045632,755.3558024138,758.6838462521,725.9699794408,739.6919514294,753.3527247134,765.3661103658,776.0576762107,648.2180955682,666.3167291476,688.1958849773,705.8786484723,687.2032435367,665.8422135284,776.7380572573,792.9525934244,812.7277439808,825.959997385,814.326853494,795.2314908235,699.1289316776,721.40473145,742.4269635731,754.4657519748,766.9029380116,782.4215677969,796.0109554871,782.3877060611,768.1425405962,755.4071237042,742.2139673232,722.1426232894,707.5992140744,741.9052658932,754.4162101664,766.8114107455,788.8149368881,766.6097877062,754.4056364332,742.3392531668,240.5205243759,279.5014944303,317.3047569237,353.8766437127,387.0142851188,413.4961483233,432.2329582801,445.6198460848,447.0913229015,438.9148355499,416.9373311068,391.700641039,361.7768729424,329.3682001765,295.9623470016,262.6548424403,230.0134572805,203.802204277,183.0192737888,173.6655430889,176.1054707077,186.4599149908,186.496226738,174.5527824622,170.7901581896,176.6648469833,193.1099807975,226.0013960629,251.8553600428,276.765889126,301.8713101646,322.9911816873,326.9746938253,330.3970502058,326.5683787852,321.5552171405,233.6800668978,220.6423701844,220.6585144697,236.9530886391,243.4575464028,243.6966804054,233.2770142412,216.637207683,215.6203111301,228.7058604335,238.584357775,239.4857298454,374.345663273,362.4794330391,356.0569732869,359.3760423468,355.7437844676,361.8778907788,371.5346491983,381.0412348168,385.4664195272,387.0050266548,386.9337184297,383.5128578456,373.6685575047,369.8169591357,370.6424840127,369.1133416657,371.9004745772,368.2306928399,369.7270824036,369.2887624783,-1.3687227324,-0.6297264217,-3.485426118,0.340716958,0.5162867904,0.0845349953,0.6669231057,0.0985271409,0,0.17666840550000001,0.4808018208,0.46791374680000003,0.0435182452,0.19257433710000002,0.4048498571,0.5818811655,0,0.31760582330000003,0.4677244425,0.0021399406,0.12194678190000001,0.053061246900000004,0.0452629812,9.5405e-06,7.629999999999999e-07,0.0005649602,0.00010403240000000001,5.4074500000000005e-05,0.9975041747000001,0.0017624785,C:/Users/Alessandro/Desktop/bachelor-s-thesis/datasets/Student-engagement-dataset/Not engaged/Looking Away/0002.jpg,0
588.4360351562,92.5478410721,266.7340494792,360.3711233139,0.9995067120000001,574.221804839,579.6693552325,589.0297871159,602.4339510909,622.0507026474,649.9800180237,684.0057238944,721.1748341938,757.3706907859,787.706456084,811.698989405,831.394060582,845.5855706578,853.7930854029,858.0082971243,858.6270440355,855.301173063,619.2633000085,642.23199471,672.5589833649,704.0261237171,731.8502224763,775.6129632895,796.1802601164,817.9487842836,838.3098750997,851.0856778083,756.1508533532,758.8290054701,761.4891918882,764.5879011641,732.2904980852,745.8758655922,759.6973132058,771.5961475262,782.0463588449,656.1236554703,673.9624730259,695.0674004745,712.3248975099,694.4794426983,673.9782735615,782.8693012583,797.6095770803,816.4151013024,829.8631871577,818.6839602636,800.5434762021,706.7877377168,728.2959267953,748.8279623944,760.7640168997,772.7604382147,787.7563063872,800.6197982018,788.2062994542,774.6454704625,762.1444630391,748.9724612565,729.0938925056,715.0739716066,748.572782456,760.8234042308,772.9094478333,793.4810749864,772.8445444914,760.935966937,749.0503298013,237.5373022012,276.9667268002,315.2047703961,351.8237617223,384.73228209,410.7358910829,428.7079821608,440.8932108545,441.40369961,432.2854502423,410.2335474648,385.1601595625,355.921590672,324.0195876188,291.2816769492,258.5149876533,226.7436161079,198.3073948055,178.9394823526,170.2408364412,172.689687474,182.6912718405,182.8740090297,171.7240762769,168.0842179893,173.1448614671,188.0165936211,222.2951467246,247.8017734557,272.3116003305,297.086840117,317.8814017436,321.814858727,325.1353167918,321.4248200576,316.4225199929,230.3653411545,218.1581644085,218.0061261392,233.2055583079,239.4485999396,239.7515423453,229.8844300736,214.499012971,213.1534800869,225.2480812388,234.4991401652,235.6931760708,369.3466587814,357.2566199375,350.3231232544,353.4709868881,349.8868944385,355.7844636749,365.2380555676,375.8392096862,381.402725185,383.368383983,383.4802249682,379.4977425057,368.7658280005,363.8701106676,364.5379088336,362.8836984392,365.9305726791,363.8435874195,365.6214956447,365.3631452889,-0.2550363289,-1.2014425664,-4.3313928406,0.4752876163,0.5117199421,0.1543305963,0.7349184752,0.0845144615,0,0.1760423481,0.2535273433,0.46492847800000003,0.0502930246,0.1976729184,0.344239831,0.5869370699,0,0.2704868615,0.4628751278,0.007112724700000001,0.11962537470000001,0.0483634956,0.06514593960000001,2.7306300000000003e-05,1.7556e-06,0.0018196437000000002,0.00036403870000000004,0.00017368990000000002,0.9899819493,0.0076316898,C:/Users/Alessandro/Desktop/bachelor-s-thesis/datasets/Student-engagement-dataset/Not engaged/Looking Away/0003.jpg,0
587.065483941,80.0178222656,271.3885091146,364.781867981,0.9995023012,572.4681554513,578.3622626912,588.110168889,601.8355269178,622.1686004381,651.2297325872,686.2370305077,723.7117110475,759.9121740709,790.0638284148,813.8997607717,833.3843278461,847.4697579276,855.3808544105,858.897143709,858.4504879017,854.0615512445,621.7559154153,645.4834126104,677.3810400436,710.3880275414,739.3687986947,780.3991141115,801.512191547,823.3860110454,842.8870677788,853.7129723798,761.8770786913,765.1109825815,768.2964350533,772.0720712018,736.7592058131,750.953697246,765.1225149063,776.846558,787.182286618,659.8526109354,678.7861703185999,700.4016474795,717.5225837201,699.3534583093,678.3309696326,785.3212511938,800.8508048971,819.8694869259,832.8930299402,821.5659127649,803.1630099118,709.297661894,731.8266322379,753.5129601403,765.8406760779,778.2075549553,792.7723853408,803.9942243934,792.1671209317,778.9772202197,766.2054836892,752.65022745,732.0291784749,718.0069544039,752.670213334,765.3558487976,777.6966103513,796.7929920702,777.8454608322,765.640843329,753.3131273914,236.8577667027,276.5596600678,315.0209022869,351.8314565974,384.8968754101,410.6721429796,427.9812752795,439.8329044996,440.5917679938,431.4604367543,408.80061888,383.350995982,354.3392153989,322.8829472529,290.281300096,257.7037351466,226.3596332087,199.336278492,177.8561104623,167.5106237234,169.2881541583,178.7707516595,178.7866281744,168.5348611422,166.3166758834,173.1972860973,189.7580827153,219.0846279259,243.757332197,267.3460892638,291.4234177028,315.277118189,318.7634547527,321.8858447157,318.7049321184,314.7027979816,227.2008275867,214.2373204981,214.1205361419,230.4568437964,236.0970898679,236.2620386391,227.8913059607,211.9349779692,211.1782670017,224.5930089089,233.3448953557,233.9705500629,367.675070465,354.0403664231,345.9995182415,349.6592571357,346.168093694,354.3218125469,366.2721188079,375.8740836973,380.7258527259,382.2499981574,382.0644894951,377.7876668636,367.0077089228,361.7685111844,362.7013771074,361.4725322441,366.2829205781,361.5369775882,362.9089067699,362.424131672,-0.1812585289,-1.4990783705,-4.2296301611,0.46981263160000003,0.4859127998,0.2589904666,0.7115638852,0.1526088417,0,0.242819801,0.4732566774,0.4640636742,0.0698070154,0.1359110028,0.5460386872,0.6005603671,0,0.3339164555,0.4611967504,0.103115961,0.10043475780000001,0.0435203388,0.0357895382,6.353230000000001e-05,3.7227999999999997e-06,0.0036981830000000003,0.00021252640000000002,0.00039432800000000005,0.9853863716000001,0.0102413893,C:/Users/Alessandro/Desktop/bachelor-s-thesis/datasets/Student-engagement-dataset/Not engaged/Looking Away/0004.jpg,0
600.0428059896,86.960100174,255.8343641493,350.6767101288,0.9996430874000001,581.2277226231,586.5061093997,595.6174622031,608.7955046682,628.4133158249,656.7714114565,691.039549028,728.3391648517,764.3442302782,794.4655024471,817.8231927485,836.955309224,850.5417425587,857.9045167543,861.208339194,860.8785564183,856.7181465451,625.680806678,649.0352864383,680.3694032398,712.8013119212,741.3139900937,782.7523948023,803.3797706627,825.2224868498,845.368080876,857.0217182621,764.6741384657,768.0391869289,771.3755662627,775.2041616895,740.04143692,754.1962363711,768.3216643871,780.0334175848,790.3962167619,662.4646917028,681.0943710264,702.9019844607,720.3783270339,701.8885946982,680.6312755451,787.8789518263,803.5193790389,822.9922141959,836.34049059,824.8161025684,806.0534742333,711.3947688185,734.3765875207,756.4010253545,768.6789374216,780.9301869475,795.7171118561,807.1407440662,795.1368567044,781.7974343809,768.9667072562,755.2956209805,734.4655295441,719.7279541648,755.6701255914,768.3701987399,780.6444237011,800.0203155642,780.2935968313,768.1254702228,755.7631811206,233.95938974,273.2264527828,311.3920368399,348.0237597709,380.678048593,406.4565371008,424.2645060028,436.385703529,437.0531700216,427.8303387008,405.4966856206,379.9425838417,350.5338511536,318.6438216239,285.7766337904,253.1591156977,221.8063250844,194.4016974743,173.7799400609,164.2386381055,166.5820572533,176.6646740075,176.8097628778,165.8087933961,162.3906706743,168.1602263557,184.4194477551,216.1980990968,240.9745977716,264.7467614133,288.9721004658,312.785311378,316.2393018645,319.2418350814,316.1083970647,311.9567910974,223.6471816686,210.4556198153,210.5548456034,227.3873743427,233.1035171536,233.3014420003,224.545919996,207.927644715,206.8870531409,220.241587582,229.4514011617,230.4702212536,364.0733804884,350.8903215528,342.9016674057,346.585512574,342.9822319231,350.7733876236,361.9293660461,371.8504148242,377.23667453,378.8498711382,378.6063967387,374.2270179248,363.436639878,358.2390245483,359.2552862402,357.9433036078,362.2459805866,357.6631337261,359.1335114169,358.6823802179,0.8894177656000001,-1.7959916447,-6.063984672,0.3612801731,0.4818785787,0.2029975504,0.7689580321,0.1288371384,0,0.1994932294,0.2798459232,0.4649310112,0.044270101900000004,0.1297129542,0.5009288788,0.6459956765,0,0.3185790777,0.5366070271,0.0069179563,0.215623945,0.0708737522,0.0428548977,5.90454e-05,3.9207e-06,0.0023577241,7.514190000000001e-05,0.0005857793,0.9884253740000001,0.0084930453,C:/Users/Alessandro/Desktop/bachelor-s-thesis/datasets/Student-engagement-dataset/Not engaged/Looking Away/0005.jpg,0
602.0450846354,87.9288196564,256.7862413194,345.8169078827,0.9997660518,582.4432503627,587.0635042969,595.5528239081,608.3622535965,628.2212300411,657.2704780712,692.6191110929,730.849639626,766.9356403616,796.6642407432,819.1645795962,836.7211339493,848.9109147956,855.3787558206,858.3387389465,857.4881107997,852.5718313447,628.1922038087,652.1630979166,683.7132644291,715.919779973,743.9717722421,781.7895272215,801.6083715298,822.6657838469,842.0452152727,853.4079154568,765.6109706785,769.6607670102,773.7288175894,778.2800862982,742.9642268239,756.8243949924,770.4444629161,781.4023046673,790.9395306296,665.4165226003,683.5609725565,704.741984433,721.2663080846,703.4159790733,682.822306268,787.287667,802.4894976267,821.2286452431,833.2743461547,822.7079071308,804.7397912269,713.7424044239,737.2653397922,759.3614385812,771.1020363177,782.9144143067,796.8054514466,807.2942728163,795.9348128848,783.2937959442,771.1505411678,758.1263334378,737.3777097739,722.0302903925,758.3788505285,770.5679882713,782.2398233951,800.468841471,781.8287318046,770.2818319168,758.4718531988,229.5823397458,268.4795688043,306.2880482514,342.6282975104,374.8147655372,400.3010590066,417.9705522406,430.407507471,431.5143381867,422.7035966473,400.30321093,374.4536876167,344.5225590796,312.7135433797,280.420122282,248.6229916307,218.0411041164,187.0261852858,167.2809887038,158.9967263764,162.1488985311,172.9892254721,173.8059422729,162.6312633117,159.0709924715,164.504562178,180.0557340851,211.8694370207,236.2513732496,259.7813209203,283.7843454719,306.3713301638,309.9740458397,313.198789759,309.9685052551,305.7757915221,218.2959710086,205.5254552701,205.8091752514,222.2595790944,227.8778926691,227.8974825933,219.9054366348,203.867756876,203.0505330128,216.1222809377,225.0177142705,225.821705041,358.4010556999,345.6999580449,338.3047122006,341.9723566024,338.594578768,346.1460493106,356.7758835058,366.756776728,371.4494045487,372.7392971694,372.3960035361,368.2928048732,357.7978492848,352.9282195735,353.939128918,352.9102374082,356.9934256561,352.5462407869,353.7222051365,353.2363403884,0.9784586541,-2.4377289084,-7.1612736929,0.3730530441,0.48272702100000003,0.3766012788,0.7608634830000001,0.12259693440000001,1,0.2299643904,0.8994768858000001,0.4658471346,0.043681867400000005,0.1432446688,0.8219067454000001,0.6934772134,0,0.20300844310000002,0.46267053480000003,0.078880474,0.2689148784,0.042323947,0.0264476761,3.66642e-05,3.7191e-06,0.0031466286,6.217850000000001e-05,0.0003056157,0.992890358,0.0035548562,C:/Users/Alessandro/Desktop/bachelor-s-thesis/datasets/Student-engagement-dataset/Not engaged/Looking Away/0006.jpg,0
605.1506618924,85.8412971497,257.3424479167,349.4550819397,0.9994925261000001,584.2246992031,589.1405422151,597.8072874284,610.8020375775,630.8687035504,660.0878795828,695.7830662346,734.5907396793,771.4340330258,801.815800341,824.8748397534,842.9406829543,855.0393507439,861.239729274,863.91266693,862.9193166245,857.9642377502,632.3788999537,656.4772054412,688.1580615989,720.8123095744,749.4738727044,788.4267919502,808.3772812783,829.3235204296,848.7815337607,860.1849913093,771.7661162667,775.5903974667,779.4104795108,783.7882494422,748.402688046,762.1496994671,775.7244705138,786.5347723053,795.9589277555,670.2984644361,688.556019097,710.1024750859,726.5123761829,708.4755021583,687.5824523143,793.1245475545,808.3087200612,827.3241223711,839.0609379043,828.5922174443,810.4302685637,719.2186299539,742.8594524096,764.7524262376,776.1605328517,787.5492433649,800.7277940643,811.0052279789,799.8929368967,787.6913148041,776.0372326389,763.4759828427,742.9283885513,727.62266548,763.8074662041,775.61226807,786.7889712034,803.8382437667,786.4688855506,775.3805146597,763.9691836939,232.2611108514,271.3562515062,309.4461942373,346.1491657928,378.8743120156,404.4512452526,421.7587659,433.7426067735,434.555343388,425.1634314559,402.3795367308,376.4750943334,346.7251000121,315.1446486698,282.9728662036,251.0964493597,220.4177542363,188.3407902086,168.2706374366,159.4411374421,162.0978408616,172.4180161838,173.2024459889,162.2133801346,158.6218646415,163.7784405086,179.404386705,211.102139466,235.1245727061,258.3094993112,281.9615445109,305.7779816626,309.2546577421,312.3611582384,309.1667504142,304.9965137621,218.5494048329,205.05902932,205.2657877551,222.3292824594,228.3593702232,228.3862898116,219.5424926912,202.9414550186,202.1608119523,215.9024369562,225.1318065644,225.9011394045,359.2101401288,346.6919566749,339.1535221359,342.5621618927,339.2999177058,346.9204857334,357.4195001034,366.3905716376,370.633143748,371.9381314047,371.7827126487,368.215479774,358.4966085709,352.7210446398,353.5506778576,352.5377314915,357.5651208291,353.0972940019,354.3568657886,354.0368051308,1.7158566231,-2.2371643016,-7.5247226094,0.3669727445,0.5193090439,0.1199181601,0.7715138793,0.1105825827,0,0.17721074820000002,0.0981802046,0.4650459588,0.0733456016,0.12456683810000001,0.5297908783,0.6719369888000001,0,0.30626192690000004,0.46149146560000004,0.0149566717,0.1260483712,0.08832035960000001,0.037532772900000004,1.3390800000000002e-05,1.3082e-06,0.004835614,6.25054e-05,0.0002195478,0.9916436076,0.0032240776000000003,C:/Users/Alessandro/Desktop/bachelor-s-thesis/datasets/Student-engagement-dataset/Not engaged/Looking Away/0007.jpg,0
605.8379991319,89.5229358673,258.8527018229,339.2604732513,0.9996542931000001,588.6691117487,593.7118422434,602.5126657146,615.1720607738,634.1691368107,662.2159609616,697.0452460713,735.5823211542,772.1765306948,802.5003847197,825.5821350024,843.6805878011,855.8232669152,862.1389994768,865.0163652426,863.9868886779,858.9276635057,636.7762179633,660.9245593518,692.7086200242,725.5790848281,754.1376747009,790.9943674001,809.8804152691,830.1800673168,849.1063964138,860.055950408,775.4511761381,779.4238273182,783.4507853587,788.0842185385,751.2456523919,765.2924202999,779.3350872876,790.5134192442,800.2089409605,672.3629114882,691.0011084761,712.5834143127,729.4168302932,710.9784379024,689.98296404,796.3467962336,811.7949140912,830.5816420409,842.2219220319,831.7110937015,813.6791534607,721.7936078963,746.0228514619,768.2675529739,779.7845384351,791.382256213,804.5599444942,814.4217112063,803.1741489223,790.8077148665,778.867097069,766.0014669757,745.4397928197,730.1110141665,766.8892555342,778.9551333914,790.4337546228,807.6172411669,789.8015820014,778.3931859951,766.7428114313,230.716950905,269.3596186165,307.0331952066,343.4353652061,376.0071786766,401.8636989227,419.4413591219,431.021217271,431.5258973792,422.3391809571,400.0740233758,374.3785067126,344.9109199721,313.7445331056,281.7757004991,249.8124004951,219.1888274415,186.346098447,166.0568928262,156.8301135684,159.7017283396,170.6397196801,172.3178332115,160.9409827452,156.7388741604,161.2869766544,176.7138376712,210.1269949591,234.0708848498,257.1521376836,280.812760758,305.4476678351,309.0844803433,312.0683001737,308.9478153577,304.6891431931,217.3790112806,204.1821287516,204.6371246344,221.8365052775,227.3782680155,227.2706370596,219.0273749413,202.6316533282,201.7124405586,215.2334292452,224.319115009,225.1363992857,357.7368997482,345.2384840062,337.3978400413,341.1088816317,337.7064282199,345.7437464937,356.5298703249,365.4755788215,369.9963701576,371.3285868431,371.0376156354,367.0504777726,357.1447656968,351.8447509912,352.9062826777,351.8644790866,356.5949512005,351.6280573973,352.8423180289,352.3713673827,2.8564799025000003,-1.9399851182,-7.9121618493,0.39645177130000003,0.46903759240000004,0.2012521029,0.6895329952,0.1191458851,0,0.23622080680000002,0.030078293800000003,0.4661585391,0.047015164000000005,0.1338223219,0.6816620231,0.6558244824,0,0.28158098460000003,0.4629212022,0.010732423500000001,0.16762773690000002,0.0643400997,0.0329194367,1.5483e-05,1.2055e-06,0.0020266529,2.9094100000000007e-05,0.0001173195,0.9952502251,0.0025599559,C:/Users/Alessandro/Desktop/bachelor-s-thesis/datasets/Student-engagement-dataset/Not engaged/Looking Away/0008.jpg,0
610.6777886285,89.2347249985,254.9322374132,337.822766304,0.9995568395000001,590.2433664907,594.939064636,603.3673794215,615.7027433072,634.7586861507,663.1953331718,698.1343071497,736.6842070244,773.1444451714,803.2164659742,826.1210016596,844.3411837129,856.810990348,863.3153228311,866.3037986118,865.2954779914,860.3810445858,639.6620045915,663.7962299211,695.5233052423,728.3110140078,756.8788296962,794.1202203277,813.2092785178,833.4818146774,852.1889288452,862.6977898789,778.0645810373,782.0047877693,786.0036621856,790.6255062217,752.8010148662,767.0742970456,781.252618764,792.5107975729,802.3609036323,675.2416354812,694.2994992806,715.9666494168,732.4815058985,714.0104276755,692.8902787903,798.0476206871,813.6587097073,832.5111882858,843.9604236761,833.3353870962,815.2306798631,723.1877279953,747.6055419893,770.179359143,781.802567897,793.5681690166,806.5493606891,816.0048613315,804.9954885957,792.6958617385,780.5495730709,767.4290094038,746.7685126432,731.4488048442,768.4942096489,780.7267117833,792.3044941591,809.2622819921,791.8371340479,780.2998729681,768.398427647,228.4871841488,267.4765359075,305.4622909059,342.1558345826,374.9030824595,400.8322658876,418.7671074614,430.9330406213,431.905793354,422.9126994144,400.7865737166,375.4119545483,346.1589133552,315.0360692727,282.9036964216,250.7732686893,219.919394676,185.5581934878,165.3018344348,156.1939422382,159.0240660135,169.8598882375,171.7796601429,161.1977665409,157.7265025945,162.7014279885,178.3159239871,210.5787647795,234.6874377714,257.9169774469,281.6867044166,305.9435447232,309.6191428016,312.6263690449,309.5915245301,305.5462330539,216.1447767581,203.1494980758,203.911332268,221.5274159788,226.7530804832,226.3312675652,219.8878136779,203.5790189804,202.9556627531,216.5875631317,225.602186275,226.2120595666,357.2807888662,344.8589457209,337.0970032851,340.9424911857,337.5946879201,345.7709044282,356.5544500728,365.8162845333,370.780010392,372.1916109346,371.7405849892,367.1743399406,356.7657068948,351.7615080661,352.9551344818,351.9420054309,356.5281124385,351.9725957473,353.1907234117,352.6054721837,2.9704585236,-1.8475819618,-7.9470973909,0.4572745264,0.4916060269,0.2388891578,0.6663332582,0.12223252650000001,0,0.2074529827,0.0354330987,0.4662364423,0.0532828495,0.1345255971,0.5495817661,0.6109797359,0,0.3281520307,0.4613366425,0.1288079768,0.1665563881,0.0862042159,0.0462376922,3.60736e-05,3.5807e-06,0.0054823407,5.482920000000001e-05,0.0002967057,0.9903540611,0.0037723549,C:/Users/Alessandro/Desktop/bachelor-s-thesis/datasets/Student-engagement-dataset/Not engaged/Looking Away/0009.jpg,0
615.2135416667,87.8106307983,254.2375759549,339.6318969727,0.999365747,588.2749060314,593.0531871514,601.538850789,613.8381304985,632.9143002161,661.9342524923,698.1638389897,737.9351431763,775.1454125007,805.3674482303,827.8689569833,845.2201439901,856.9189103319,862.8771233038,865.7292900297,864.8013702222,859.9411722065,637.8780565892,662.5885309397,695.2194584414,728.6380294814,757.6391187352,794.8829844022,814.6061995152,835.1345365241,853.7776158625,864.1260424394,779.1363810658,783.4665439414,787.8524335053,792.8710663338,755.3570452613,769.5983721207,783.6633606931,794.5635883702,803.9457374933,676.4205435733,695.5662684087,717.2492944644,733.8287737251,715.5144186874,694.3513950245,798.9532432509,814.7266410673,833.4694648616,844.7183122874,834.3271797305,816.2639105907,725.4317893707,750.1807306832,773.1000195516,784.7051874061,796.3573852817,808.889768465,816.9579677879,806.5874837424,794.7618140792,782.7744058411,769.6953715392,748.8753803807,733.8369481064,771.3771320574,783.5825399905,794.973230543,810.368444801,793.7178253456,782.4153646674,770.6012581705,227.2663228295,266.5412003648,304.5403642844,341.0964401848,373.6707543268,399.5331605405,417.5332938203,429.9054202632,431.1801621842,422.428715767,399.9049066218,374.0108474548,344.1320385685,312.8491552031,281.1238106781,249.9141080661,219.7830836868,185.2149857279,164.2257496534,155.3051797822,158.4764874702,169.7949568177,172.5085841787,162.3554439343,159.5508416616,165.0981492577,181.0285121989,210.9956724214,234.5283313924,257.1252241217,280.3288429913,304.2020444992,307.7127286904,310.7896483892,307.7844397557,303.9483836104,216.4143762304,203.6513734677,204.277788571,221.3890277298,226.8199384528,226.4670068092,220.8151691609,205.4741876107,205.0584116155,218.3049296367,227.1213945722,227.5023474604,356.3712371831,343.3273539352,335.3460241141,339.2951369321,336.0826658294,344.568791022,355.7997106814,365.7646579641,370.6817001168,371.9698271316,371.3538941844,366.5549129318,355.9505905684,350.6045695194,351.8238519681,351.0220338341,355.8648628078,351.057379227,352.1567545557,351.4385021617,3.1115229378,-1.7391669694,-8.0520354751,0.5095306635,0.5003957748,0.2144158334,0.7235273719,0.1245247647,0,0.26319369670000003,0.039513234,0.4685652256,0.0631400049,0.1364301443,0.6167210937000001,0.6707407832000001,0,0.2154799402,0.46062895660000003,0.0224839356,0.1907662302,0.0587511584,0.0461571999,2.8114500000000003e-05,5.299299999999999e-06,0.0048784912000000005,3.9141400000000004e-05,0.000283475,0.9920444489,0.002721048,C:/Users/Alessandro/Desktop/bachelor-s-thesis/datasets/Student-engagement-dataset/Not engaged/Looking Away/0010.jpg,0
