FaceRectX,FaceRectY,FaceRectWidth,FaceRectHeight,FaceScore,x_0,x_1,x_2,x_3,x_4,x_5,x_6,x_7,x_8,x_9,x_10,x_11,x_12,x_13,x_14,x_15,x_16,x_17,x_18,x_19,x_20,x_21,x_22,x_23,x_24,x_25,x_26,x_27,x_28,x_29,x_30,x_31,x_32,x_33,x_34,x_35,x_36,x_37,x_38,x_39,x_40,x_41,x_42,x_43,x_44,x_45,x_46,x_47,x_48,x_49,x_50,x_51,x_52,x_53,x_54,x_55,x_56,x_57,x_58,x_59,x_60,x_61,x_62,x_63,x_64,x_65,x_66,x_67,y_0,y_1,y_2,y_3,y_4,y_5,y_6,y_7,y_8,y_9,y_10,y_11,y_12,y_13,y_14,y_15,y_16,y_17,y_18,y_19,y_20,y_21,y_22,y_23,y_24,y_25,y_26,y_27,y_28,y_29,y_30,y_31,y_32,y_33,y_34,y_35,y_36,y_37,y_38,y_39,y_40,y_41,y_42,y_43,y_44,y_45,y_46,y_47,y_48,y_49,y_50,y_51,y_52,y_53,y_54,y_55,y_56,y_57,y_58,y_59,y_60,y_61,y_62,y_63,y_64,y_65,y_66,y_67,Pitch,Roll,Yaw,AU01,AU02,AU04,AU05,AU06,AU07,AU09,AU10,AU11,AU12,AU14,AU15,AU17,AU20,AU23,AU24,AU25,AU26,AU28,AU43,anger,disgust,fear,happiness,sadness,surprise,neutral,input,frame
72.2730010986,163.8839166815,158.5953903198,227.0743352717,0.9974000454,72.2454324292,71.6425028124,73.1126944458,76.7978413548,84.5045113479,97.8558393535,115.2657132208,134.9765295716,156.4255649247,176.6539855305,193.2531344677,207.9279435342,219.2229360061,226.3917118978,230.7929641068,233.3320006496,234.094187492,84.6400152012,95.0856358032,109.6541515738,124.4884614902,138.144636622,174.5256671276,187.5250391821,200.6103781424,213.2711123759,221.680910613,157.1796959225,157.7203795225,158.0842893075,158.7118980691,141.161209338,149.2461832537,157.5266332123,165.1909085113,172.1353226352,102.6220408114,112.0789364259,123.3259186628,133.4744312716,122.9886938629,111.82214013870001,176.6903830056,186.4698372352,197.0691198241,205.7713971921,197.3195169121,186.827997486,125.7081017401,138.0098717625,149.1646097067,156.6118400886,164.6469928285,174.4908288482,183.9842193875,174.7099932969,165.4510343311,157.0799073962,148.8146920792,137.9660843493,130.5225570572,148.603494146,156.3818424779,164.6329438254,180.1419063618,165.447899698,157.4478451035,149.6942408829,256.8672936073,280.1918708775,303.6667481187,326.7876229645,347.8566287226,365.3523639252,378.3915929203,387.7650878053,390.2609541165,386.4608043418,374.0335109428,358.6781291851,340.3886496684,319.587890541,297.9636324479,276.41612414,255.1403219284,236.5490081064,226.7799160317,223.9414651853,225.8308530853,231.1942102633,231.8625854963,227.6050472805,226.6429341908,229.6281443346,238.7855119541,253.7911953462,267.4624020993,280.6190742639,294.1508629327,309.5203099352,311.3027954785,312.9873115573,311.1837931133,309.2572606235,257.3074090832,251.9938568395,252.1935557041,258.9227033685,261.6392283578,261.6184715647,259.6561262982,253.6818567462,254.1562907696,259.8249254767,263.4582413092,263.1240861759,338.6869986783,332.6418994123,328.8180531109,330.7891363701,328.8216425094,332.3396103416,337.7662611209,342.9503107908,345.3897537068,345.9691735756,345.6524781861,343.9310773835,338.8920004326,336.1970443175,336.8570388736,335.9426030656,337.7863195242,336.2643008747,337.0181070401,336.4441930812,-1.0351438376,-0.2427587844,-5.8837079308,0.44694384930000003,0.479703635,0.469073534,0.4181055427,0.1388224512,0.0,0.2867901325,0.1618322134,0.4705888629,0.1221333966,0.18445882200000002,0.512342751,0.5047720075000001,0.0,0.4517873228,0.5434229970000001,0.0015637379,0.09159614890000001,0.1942076832,0.0325557701,0.0002693431,9.0236e-06,0.0001510382,0.0013165814,0.013886350200000001,6.47963e-05,0.9843028784000001,C:/Users/Alessandro/Desktop/bachelor-s-thesis/datasets/Student-engagement-dataset/Not engaged/drowsy/0018.jpg,0
71.7619415283,165.4880731756,158.4500350952,226.8010503596,0.9972453117000001,69.3840953292,69.6291338314,71.9405321678,76.1106356088,84.1089460327,97.6650692137,115.230121407,134.9726627611,156.4595881999,176.7808520885,193.1452760485,207.2504840326,218.1174089112,225.178359161,229.6818019152,232.4432046745,233.3083928359,83.2935353092,94.2658144555,109.1542323437,124.2247511376,138.0139612069,173.2540918189,186.2042556011,199.3653225835,212.1863910909,221.3496087385,156.9175536063,157.5872008726,158.0275815494,158.7842764715,140.2209745446,148.6210489951,157.5013049842,165.6364648349,172.8730839375,100.3210284839,110.5342929514,121.3408068218,131.7811884538,121.1169178502,110.2807175821,177.6107410142,187.8606917048,197.7535945192,206.6277510079,197.5142215768,187.5488547523,125.8562863558,137.9401913197,149.085811451,156.8304735064,165.1439139641,174.9456811597,184.1919396105,175.3748523825,166.21229984000001,157.4735814576,148.8134752518,137.9171721949,130.6469652854,148.6176261373,156.6584870646,165.1803163009,180.2037910766,166.0427467095,157.7181941302,149.6258686692,255.4015363558,279.2638846065,303.1937653565,326.6723641951,348.1238200664,366.008852694,379.3861923837,389.0480604024,391.6024208154,388.0290058573,375.4790244495,359.5578200295,340.7393854141,319.755336197,297.9671262656,276.1402591289,254.4397700694,237.2103688351,228.4480554442,226.5326420201,228.8111054883,234.0694992915,234.2486802237,229.8122346402,228.5294821509,231.0571978053,239.6298021372,254.7105246164,269.2307095074,283.2825306419,297.6751451332,311.2555365388,313.5790405989,315.6088439865,313.3922434024,310.96217653,259.6020399658,257.1527256011,257.0693928005,260.0106821523,263.0437397838,263.22443748,260.3757680669,257.9337860802,258.9156109626,262.0478828063,264.9751725072,264.1829350182,339.6617853994,333.8034424762,330.2653754201,332.3230807772,330.3565597051,333.8022258205,339.5037823864,345.1496161239,348.0128610717,348.6132562987,348.1180450076,345.5982862811,339.9782780875,337.7987287232,338.6442070631,337.7108050753,339.5362752032,338.3905262504,339.1706782933,338.4511968118,-4.3498709301,-0.3221137731,-5.7453125667,0.4611437023,0.5260220766,0.33969473840000003,0.3645087779,0.1265419722,1.0,0.34344062210000004,0.14479771260000002,0.4694850743,0.0963980183,0.1536372006,0.2027890682,0.5650126338,0.0,0.4276981354,0.5370201468,0.0097369459,0.17796646060000001,0.48581722380000003,0.2799294889,0.0006136344,4.819740000000001e-05,0.0003333534,0.0024431504,0.030366046400000003,9.32172e-05,0.9661023617000001,C:/Users/Alessandro/Desktop/bachelor-s-thesis/datasets/Student-engagement-dataset/Not engaged/drowsy/0019.jpg,0
71.3630455017,164.9894298207,158.3442832947,229.8566783558,0.9970308542,68.3605936188,68.9203518857,71.6651275274,76.5306582284,85.2506208365,99.3376520286,117.2360571157,136.8758702574,158.3794672888,178.7980073486,194.7781689565,208.3131977493,218.9320367736,226.2003245638,230.9418682476,233.7010828733,234.2304547443,81.811602568,92.8539933432,108.1393656733,123.7500898666,137.9488269246,173.5158792836,186.8106940199,200.4982918665,213.5927281947,223.0660169465,157.4921828854,158.5291263509,159.2371256754,160.2204726846,140.3629855912,149.2258501622,158.6887648759,167.2259241102,174.6103813975,99.0990244929,109.7041931327,120.4657697136,131.395443524,120.530784188,109.6737286438,178.8864743829,189.8695391419,199.6004854594,208.5720883625,198.9765799614,188.9791310186,126.8436329398,138.9148208479,150.0997601124,157.8189733037,166.1013192013,175.916507311,185.2451678337,176.4488056143,167.3404002224,158.6489456681,149.9795791013,139.0897573799,131.691654369,149.7231463625,157.7523394271,166.1857418404,181.2660090811,166.9432439043,158.72692358,150.6705870339,259.441525244,283.5571685946,307.4437775175,330.7440642244,352.2412905114,370.3571722627,384.014059011,394.0550756254,396.6772082715,393.0283911135,380.1118424105,363.456233927,344.0478391045,322.7746821746,300.5726460455,278.1471324219,255.8328972079,241.6668687848,233.0371816804,230.9682269387,232.573555892,237.1609193403,235.5202430307,230.8589953877,229.7705434259,232.7276703651,241.5295484161,256.6272673864,272.0612547986,287.1024426599,302.5258258652,314.8631053827,317.700758258,319.9366676055,317.212931861,314.055903292,264.9230534996,263.8872773189,263.1319536386,263.1313617759,267.2914332298,268.0922234745,261.9881953948,261.6646602214,263.0653115417,264.6769619176,267.6021529315,266.4335611149,343.3742829014,338.2443786369,335.2659939621,337.2688080462,335.2433387729,338.0834741834,343.1254539544,349.0983186816,352.3221784149,352.9570662543,352.4477683935,349.5224540749,343.8617640452,342.27984655,343.1918083402,342.1567884285,343.333378612,342.8449439117,343.7105431231,342.9185814971,-7.6953060204,-0.6146648391,-5.4568554165,0.5507994294,0.5054366589,0.35823264720000003,0.34510806200000005,0.1669252664,1.0,0.3985666335,0.0229506921,0.4708347619,0.11391157660000001,0.22518746550000002,0.5957759023,0.6889525652,0.0,0.4766692221,0.5816427469000001,0.0092672072,0.19224463400000003,0.4152220488,0.6839920282,0.0005850561000000001,7.38209e-05,0.0004261383,0.0037147773,0.0117692174,6.0057000000000005e-05,0.9833709002000001,C:/Users/Alessandro/Desktop/bachelor-s-thesis/datasets/Student-engagement-dataset/Not engaged/drowsy/0020.jpg,0
287.7270507812,61.2646794319,144.9321017795,185.7672171593,0.9985843897000001,287.6921180793,288.7300171736,291.9577211545,296.8162248304,304.3780169566,315.5603928806,329.0974168598,344.2540594338,361.1197694054,378.2253116546,393.6095357936,407.5511787487,419.0498542498,427.1352447496,432.3539020986,436.0445953155,437.7802103525,296.0040304974,306.1614722216,320.7544823692,335.7831634612,349.2426837466,373.9522711214,387.1276864894,401.5735219987,415.6115762006,425.9305293514,361.1100565304,360.9304015595,360.6534451056,360.4632667462,345.9258099921,352.5735886858,359.9005777044,367.4104438172,374.7121208973,311.0900520988,320.522409762,330.327570424,340.6035464279,330.7448254384,320.9816055291,382.9206430157,392.1576004865,401.3660571133,410.8355921013,402.0367504026,392.6185567952,333.5778159815,343.262475872,353.0580365993,359.7568444267,366.9712119281,377.2676301458,387.3360283238,378.145363133,368.4801622104,360.6084018136,353.2107918225,343.7320621565,337.6938294866,353.106209005,359.9809846311,367.291099024,383.4918955978,367.7335331058,360.5361199527,353.6139625037,132.9047964686,151.8600900021,170.4332529879,188.8015620049,205.5824337996,219.8410141129,230.8867188566,239.2017504229,241.234744197,238.8789667378,230.4182154712,219.5474222014,205.4158267676,188.7897231927,170.7983561082,151.8808909678,132.4935671571,113.6580303171,105.5284469001,103.0225649955,105.0697161818,110.8034482255,110.899314701,104.9163231775,102.602380174,105.3946988832,113.7031001833,127.9910715768,142.1467565352,155.8339115339,169.5662958442,178.5096746906,181.2847666658,183.3269152565,181.5309236062,179.0223842802,132.7742506444,132.2677660643,131.7559865722,132.6126063468,136.309690662,136.8463170439,133.287883688,132.1331942468,132.663774995,133.8531238543,137.3564622219,137.0323431824,204.15618247,199.5586176406,197.0915872363,198.8695349955,197.1438852886,199.8073389926,204.1456192201,210.0953066103,213.1725341068,213.7717029003,213.2471146372,210.249051723,204.4467449212,203.2411392868,203.9940133316,203.1261128034,204.5092607586,204.3157340483,204.979637626,204.3842157966,-2.8987390772,0.6409598213000001,3.43388806,0.2607902586,0.5303668380000001,0.4402121007,0.33335495,0.1111413762,1.0,0.2640483379,0.0387122445,0.4613740146,0.0594965033,0.19239635770000002,0.3057938814,0.5856562257,0.0,0.3194945455,0.4483990967,0.0422215387,0.1551563293,0.1339141726,0.6843870282000001,0.0297251195,0.0002491566,0.0009232013,0.002051298,0.0512109436,0.0333964378,0.8824438453000001,C:/Users/Alessandro/Desktop/bachelor-s-thesis/datasets/Student-engagement-dataset/Not engaged/drowsy/0021.jpg,0
290.3293185764,57.982741355900004,141.2870822483,184.186829567,0.9986523986,287.8042283777,288.6850037924,291.7280621507,296.5457696563,304.0484643341,315.3843782472,329.2584115215,344.4044669952,360.9584088382,377.7979908379,393.3001545614,407.3885826291,418.8656863295,426.8624250495,432.0133409802,435.6707127471,437.2810450295,297.1993253219,307.3514635346,321.853715447,336.8299637627,350.2226692645,374.3572271079,387.7374962889,402.3557590499,416.4910209316,426.706707558,361.746415755,361.5635465079,361.2460514533,361.0114081164,346.6927039156,353.11034607,360.0480609328,367.2969407103,374.3077848282,311.9525136006,321.1313680884,331.0168927931,341.011828138,331.2959986117,321.4864816961,383.2071843846,392.3010331943,401.679599976,410.8344974199,402.3215459936,392.8446479635,333.4060496665,343.3818562637,353.2643970418,359.8742027487,367.1128989711,377.3569625414,387.3595454331,377.9709531853,368.2656563269,360.4880550649,353.2365865829,343.809605099,337.5425820716,353.1865514701,360.0153892425,367.3239870732,383.5183690603,367.6403096358,360.4573463108,353.6250766936,131.9266881619,150.7618517338,169.0591312565,186.9853236131,203.3072832812,216.9293888405,227.2853397759,235.1816789187,237.2804134485,235.3407294496,227.3433847224,216.919692726,203.1661099614,186.8408436022,169.0501465416,150.4879628464,131.3826781707,112.0772201088,103.6457041879,100.752388881,102.4700634749,107.9468004716,107.833865768,101.8386698863,99.7845098177,103.0835008079,111.8713357638,124.3459008986,138.2717346109,151.8268961404,165.3915627604,174.5451691457,177.1669142012,179.1780543485,177.5273435456,175.2787408108,129.3829270058,127.2238881766,126.7416448064,129.2789309078,132.4912299391,133.0356219782,129.7640593991,126.9563755385,127.4018171479,130.1827576492,133.3802358532,133.0727596778,199.6051328549,194.8700959237,192.3985220767,194.2021706427,192.5493783369,195.3394221196,199.8050493468,205.4681730669,208.1941381796,208.6632008942,208.0904450852,205.3853608713,199.8710119086,198.4746528493,199.2614609258,198.4920426199,200.0586633425,199.6521115837,200.2104286135,199.5816830127,1.2397888071,2.2290478384,2.2173767838,0.32913303380000003,0.5274339318,0.346585542,0.2857242823,0.0957383215,1.0,0.2149755657,0.0010248818000000001,0.46023371820000003,0.08257576080000001,0.2433813065,0.5108973384000001,0.5742293596,0.0,0.3126288652,0.4515060186,0.017689216900000002,0.207349956,0.2961330116,0.49046319720000003,0.030330924300000003,0.0002263211,0.0005172648,0.001146366,0.1099973917,0.014997609,0.8427841067,C:/Users/Alessandro/Desktop/bachelor-s-thesis/datasets/Student-engagement-dataset/Not engaged/drowsy/0022.jpg,0
290.6607530382,58.917828083,139.7342936198,179.4578204155,0.9989903569,289.657398521,290.0138685952,292.6041313728,297.0752337954,304.2023825914,315.219575331,328.9762922225,344.2518271912,360.8439582547,377.733142365,393.3613736757,407.5455876711,419.0525312588,427.0487872505,432.2893587884,435.8649186367,437.4119947794,298.9876174768,309.6449001415,324.1182089732,338.8284414362,351.9235101304,375.6529816337,388.7661103317,402.9099043187,416.6350707559,426.4835360881,362.9308963007,362.5429848767,362.0728214954,361.6973864919,348.0684694777,354.2201534439,360.8309940729,367.9598307797,374.7979745902,314.5162235429,323.6555032053,333.3131190948,342.9135193009,333.4254004615,323.8245510016,383.6868337527,392.7074654799,402.0280960755,410.989272268,402.5166531921,393.1649599035,334.592369361,344.4868447028,354.0776372949,360.4612966825,367.4002402155,377.2693840595,386.8991526299,377.6084936823,368.4054520664,360.978811417,354.0002629504,344.8501113455,338.6732884188,354.0081698177,360.5960150688,367.5882721949,383.1048575122,367.8390328441,361.0192314254,354.5102943998,131.7079926005,150.2538451151,168.3896700818,186.1217698898,202.1792054689,215.7063921634,226.1439832899,234.1880398886,236.5285881367,234.574244148,226.5494027772,216.1736161412,202.5595951003,186.4160953242,168.8761606307,150.7895867191,132.3076694416,109.0983632703,101.1542720656,98.9106407033,101.0805816025,106.7938066715,107.205329593,101.6610881411,99.7563353569,102.7584098619,111.1705978805,123.6103592742,137.3529824315,150.6399081805,163.8763891429,173.6365953523,176.0868257128,178.0162938753,176.5169669963,174.3541050538,128.0183286986,125.3440169483,125.1423083989,128.5016102917,131.2646689262,131.5666958547,129.2329762647,125.7600773333,126.1178438257,129.3996622695,132.5029151539,132.2422837564,197.5786024223,192.6495563223,189.8325551393,191.5894328182,190.0213572682,192.9795268387,197.599576158,203.0278587798,205.738553672,206.224748997,205.6583939538,202.9861423532,197.8090054553,196.4076672534,197.1016360544,196.4370997968,197.8065281414,196.7129416452,197.1932324914,196.6694410392,2.7489166028,2.3462417576,2.2464462155,0.39867794510000004,0.46999588610000004,0.4498671591,0.3263895512,0.0948591828,1.0,0.2246335149,0.0021959268000000002,0.4603565633,0.044959262,0.20986419920000002,0.1836545914,0.5735812187,0.0,0.3445523381,0.4715787172,0.0086035207,0.1368182749,0.20258024330000002,0.20551911,0.008719543,0.0001057983,0.0002644875,0.0005561351000000001,0.09641689810000001,0.016566809300000002,0.8773703575,C:/Users/Alessandro/Desktop/bachelor-s-thesis/datasets/Student-engagement-dataset/Not engaged/drowsy/0023.jpg,0
291.9570583767,59.3983812332,138.8239203559,178.661822319,0.9991192222,290.1946642138,290.3153736026,292.5772018747,296.7003680269,303.6554223155,314.6173069424,328.3453355147,343.5504759064,360.0054236233,376.6238836188,391.9791120659,405.9831390903,417.3437889592,425.2002501286,430.2687537884,433.6289116261,435.0903948639,299.5443737451,309.9449424628,324.2630490295,338.8450843873,351.8282442786,374.3143932842,387.3982636024,401.482644283,415.0674981791,424.5438113618,362.0754247928,361.7216923568,361.2935995638,360.9633036108,347.3814655326,353.4437514696,359.8441987659,366.8097349385,373.5539726948,314.8025561118,323.4860669996,333.0898496035,342.1691738099,332.9783410151,323.4612887331,382.3861148445,391.0795549293,400.4204630006,408.9019652056,400.9308390621,391.6324846924,333.4416077011,343.5566608889,353.1189759969,359.4198246296,366.3542314278,376.1366245681,385.912947736,376.5430315859,367.3503202944,360.0222789784,353.2203381472,344.0830425093,337.5726328702,352.9737886456,359.4927026356,366.4939558039,382.1497565072,366.8448257686,360.0711390618,353.6537341793,131.2994530004,149.5281552845,167.448234612,185.0309257031,200.8778858121,214.0903756516,224.2286097447,232.0995749534,234.3931300131,232.6859726277,224.9688013522,215.0249980605,201.7085391774,185.7808676032,168.4103444119,150.6161627022,132.5159713188,108.2678946082,100.0542634816,97.7148194303,99.9111974259,105.6510144797,106.227712977,100.6865565369,98.9839100995,102.377874489,111.4115972287,122.8668236577,136.0309517904,148.7910561682,161.5307398808,171.6610638413,173.9756912895,175.9457359865,174.5506901945,172.6710689185,126.956943602,123.3294513992,123.2593847489,127.8783718077,130.3809575498,130.5376459015,128.7918707125,124.1833687325,124.5044958323,128.9100690495,131.9561090083,131.7003650958,195.9277530043,191.248251515,188.6428021031,190.4069405561,188.9451378461,191.9761753888,196.7058212399,201.6699213738,203.7282937539,204.0072185716,203.4116584337,201.1800682085,196.1870877847,194.9701797101,195.7092595543,195.1415573951,196.8341851833,195.293779525,195.6283819636,195.035211478,2.7986109470000002,2.2334623092,3.0896551689,0.3917162716,0.48259916900000005,0.3286892474,0.4409136474,0.0898365453,1.0,0.1555992961,0.0010011399,0.4618347883,0.061212599300000003,0.34312787650000004,0.4534583688,0.5836488008,0.0,0.3605093956,0.4671877921,0.001795902,0.1343252361,0.1571033299,0.0236181729,0.004915806,9.74086e-05,0.00023237950000000001,0.0011857362,0.0698816553,0.0057807676,0.9179062843,C:/Users/Alessandro/Desktop/bachelor-s-thesis/datasets/Student-engagement-dataset/Not engaged/drowsy/0024.jpg,0
72.4791000366,177.014354359,152.2483856201,227.0000110973,0.9973759651,67.0670758286,68.3156599396,71.8464476398,77.1119466307,85.5397909472,98.7675500611,115.8433624131,135.0184885441,156.3980422993,177.1475056083,193.7317394408,207.6345960412,218.2593586904,225.3183362818,230.2108710869,233.71878995,235.0284591034,78.0892139498,89.1678341205,103.8897798876,118.8676341922,132.7919551892,170.1240530545,183.805089242,197.8542674324,211.4417500245,221.9273188221,153.5268139409,154.271492117,154.6532888533,155.274489922,136.4957732027,145.2312305733,154.7397634192,163.4983899985,171.0154100193,95.5769129722,106.2805678324,116.899940028,127.900897888,116.9567995717,106.2286116531,175.7739141181,186.9679703656,196.8011806232,206.4551095896,196.1467763087,186.0232284266,123.8646902174,134.8282721008,145.6873490005,153.4842261102,161.8022480527,172.4366063587,182.7059725052,173.6246006347,164.011083834,155.1584165702,146.3583305835,135.4511292727,128.5230650169,145.652570833,153.6892581827,162.2002973313,178.5030910351,163.4712104222,155.1311071035,147.0147725545,269.6189463156,293.3786532352,316.7861297318,339.5268136124,360.7328256106,378.9390501792,392.6033304989,402.291891506,404.4913427025,400.9289997415,388.645893267,372.2260357967,352.8484104569,331.4416852435,309.1443336992,286.5050293135,263.9513064969,252.0837926296,244.4885054956,243.0388225572,244.7861007489,249.1682635102,246.898208737,242.0860761194,240.5412809002,242.7803080926,250.6911072436,266.9804654041,282.6691208322,298.0057731456,313.6846543175,325.17607851,328.1237961062,330.3441596648,327.3962147604,323.7982818166,275.788149982,275.9657345792,275.0788750712,273.3954786257,278.0427640282,278.941443567,271.4798218224,272.4898743024,273.9684091566,274.1518794147,277.3941966656,276.2362152014,353.321926086,348.256442149,345.3505655135,347.2640304155,345.1455496773,347.6341207752,352.575023536,359.0344430546,362.7447474724,363.4849606643,363.0341109184,359.6872886837,353.929667257,352.4477633693,353.1871485096,352.0562897946,352.9227565022,353.0374172954,354.0008472227,353.2618030448,-11.7533129041,-1.0912103947,-3.8363225179000002,0.485545814,0.5049550533,0.5568825603,0.296438843,0.18937501310000002,0.0,0.3892849386,0.0089552635,0.46575322750000003,0.0845949426,0.2330352664,0.5041317940000001,0.6203896403,0.0,0.5508894324,0.584813714,0.0225571822,0.2196827382,0.27926641700000004,0.5590203404,0.0005394819000000001,0.0002808647,0.0005151924000000001,0.0037043851,0.1135607362,0.00014761330000000002,0.8812517524,C:/Users/Alessandro/Desktop/bachelor-s-thesis/datasets/Student-engagement-dataset/Not engaged/drowsy/0025.jpg,0
75.4240119934,173.5515525124,149.2974815369,225.415427468,0.9965187311,69.2931588581,69.7763722639,72.4468677857,76.9516975361,84.8044696069,97.7396848101,114.8442914191,134.1757217227,155.7157487057,176.6110504533,193.5946783736,207.7893230818,218.4696122576,225.5981406159,230.6303123348,233.8932624306,234.8376813911,79.8671976763,90.7214778589,105.42056186,120.4648063552,134.2854627029,170.904583976,184.296756332,198.311871794,211.9492583669,222.3108287158,154.5266153403,155.0154798463,155.1750327354,155.5770750599,136.5050633079,145.3580478692,155.0988517126,164.1924151376,172.0303702011,97.4618457679,108.3540955396,118.8198686292,129.7359965162,118.6874990638,108.1373786683,177.0299735251,188.5124932086,198.2470735865,207.8166192662,197.4733323629,187.4427665425,124.8131465803,135.6865889101,146.2847638111,153.8902579251,162.0235857582,172.1661094668,182.4335378067,173.1252325739,163.8095591448,155.0449042625,146.402880673,135.976117104,129.275282712,146.1263637142,154.0275933646,162.3578471261,178.3049939399,163.4693484017,155.2779295157,147.2831060373,265.246011464,288.9356653719,312.4262167507,335.2287849715,356.7456754958,375.3424547111,389.2736823718,399.2013514118,401.8930002674,398.4338658996,386.2139945307,369.6940309178,350.1335335495,328.8235651937,306.6674796119,284.0106791427,261.5029919411,247.5002831028,240.1325866406,238.8550349198,240.9025712127,245.6924872793,243.5583142191,238.5107773118,236.7747206334,239.0050671965,247.2318437508,265.2768224554,281.4589131556,297.2065059972,313.2081645649,323.0470927903,326.6160568145,329.2344751505,326.2306533928,322.4419010718,271.6041682988,272.9717184257,272.5523761568,270.6832243794,274.7865841706,275.1837654203,269.3048557412,270.7455638343,272.1558962562,271.7732901693,275.0192869645,273.8542574359,349.6533432002,345.591032485,343.4334246911,345.5050164519,343.5721628288,345.9116054533,350.3477755454,356.4151869023,359.8990861485,360.4000267574,359.6525014793,355.9092642964,350.3392626184,349.9499090695,350.9853260602,349.9867984198,350.6636406071,350.6937583109,351.4950536865,350.5099887242,-11.3231992108,-0.33221221900000003,-3.7370641654,0.4015134275,0.48001194,0.44117513300000005,0.26419723030000003,0.1708102971,1.0,0.37485679980000003,0.2316819876,0.46497777100000004,0.0932311043,0.18425467610000001,0.3843817711,0.5842692256,0.0,0.4801447988,0.584813714,0.00277449,0.1922745854,0.6586624980000001,0.6172239780000001,0.00032014610000000003,0.00018590460000000002,0.0004528291,0.0027623621,0.11148803680000001,0.0002145122,0.8845762014,C:/Users/Alessandro/Desktop/bachelor-s-thesis/datasets/Student-engagement-dataset/Not engaged/drowsy/0026.jpg,0
73.8878036499,170.1253162731,152.7432479858,228.0345015092,0.9962092638000001,68.378682161,69.2385937212,72.4121822945,77.4470532074,85.7522653846,99.1780060852,116.6710133148,136.2713845135,157.7834531848,178.2075026155,194.7466183446,208.8740770198,219.5646622049,226.5580615351,231.4342047001,234.7191803798,235.7172890996,79.4713692139,90.8449114526,105.9308692876,121.5511361927,135.9226050893,171.5570436226,185.3479392871,199.6894380101,213.4471422171,223.6639458499,155.9936099527,156.8944277417,157.479168255,158.3105857236,139.5147607767,148.1692743077,157.4163899159,165.7253779272,172.945800303,97.0815537058,108.02721565,118.92184267,130.1710474253,118.9718092696,107.997987595,177.79145952,189.1778583516,199.3073203357,208.9753639738,198.6832883131,188.3275861779,125.9846423205,137.3780708908,148.4410446573,156.1234236189,164.2148322475,174.2951023712,184.0063683004,175.1991169787,166.1718234192,157.5473289927,148.8713184882,137.9306067197,130.572843475,148.2416431023,156.1878819188,164.4618517191,180.0435855439,165.7315432201,157.6210189215,149.5731180142,265.1428965645,288.9423949008,312.4077278405,335.2046321249,356.3543919793,374.4919985179,388.043638413,397.7341250219,400.22795336,396.5722119737,384.4647348432,368.3774143839,349.1129945596,327.6719327731,305.4115231389,283.0803023435,260.8384456739,246.9114894989,238.8804534403,236.8120710847,238.2544070959,242.8125646804,240.9931101013,236.5756206866,235.6015533469,238.7119109702,247.4281589812,262.0798061863,277.1935649251,291.8810540113,306.9554070688,320.3863670649,322.8779282716,324.8091165509,322.3137876653,319.3223484287,269.8903188533,269.4797233976,268.810234573,268.4184448915,272.5658683828,273.269592524,267.4419717827,267.4067823136,268.7880036361,269.7951156407,272.9507669631,271.8576833748,348.4519544696,342.9803875457,339.658860487,341.5885971498,339.5347717357,342.5731520115,348.0246898888,353.5614980069,356.8782461481,357.5877115145,357.1389662705,354.0991180678,348.8037839197,346.8767384562,347.6819778957,346.6001484134,348.0716798589,347.4923217441,348.4153378494,347.6795313509,-10.4195458959,-1.2581313760000001,-3.4174775095,0.5109805465,0.4519094825,0.3220638335,0.2708677053,0.1327036619,0.0,0.3199187517,0.0438811444,0.4714303911,0.1050927341,0.2534388006,0.1461898386,0.6200855374,0.0,0.5401353836,0.5551181436,0.023933658400000002,0.1322176605,0.4465345144,0.6619272828,0.00033473330000000003,0.0001114033,0.0002397575,0.0025045879000000003,0.068201527,8.578440000000002e-05,0.9285222292,C:/Users/Alessandro/Desktop/bachelor-s-thesis/datasets/Student-engagement-dataset/Not engaged/drowsy/0027.jpg,0
