FaceRectX,FaceRectY,FaceRectWidth,FaceRectHeight,FaceScore,x_0,x_1,x_2,x_3,x_4,x_5,x_6,x_7,x_8,x_9,x_10,x_11,x_12,x_13,x_14,x_15,x_16,x_17,x_18,x_19,x_20,x_21,x_22,x_23,x_24,x_25,x_26,x_27,x_28,x_29,x_30,x_31,x_32,x_33,x_34,x_35,x_36,x_37,x_38,x_39,x_40,x_41,x_42,x_43,x_44,x_45,x_46,x_47,x_48,x_49,x_50,x_51,x_52,x_53,x_54,x_55,x_56,x_57,x_58,x_59,x_60,x_61,x_62,x_63,x_64,x_65,x_66,x_67,y_0,y_1,y_2,y_3,y_4,y_5,y_6,y_7,y_8,y_9,y_10,y_11,y_12,y_13,y_14,y_15,y_16,y_17,y_18,y_19,y_20,y_21,y_22,y_23,y_24,y_25,y_26,y_27,y_28,y_29,y_30,y_31,y_32,y_33,y_34,y_35,y_36,y_37,y_38,y_39,y_40,y_41,y_42,y_43,y_44,y_45,y_46,y_47,y_48,y_49,y_50,y_51,y_52,y_53,y_54,y_55,y_56,y_57,y_58,y_59,y_60,y_61,y_62,y_63,y_64,y_65,y_66,y_67,Pitch,Roll,Yaw,AU01,AU02,AU04,AU05,AU06,AU07,AU09,AU10,AU11,AU12,AU14,AU15,AU17,AU20,AU23,AU24,AU25,AU26,AU28,AU43,anger,disgust,fear,happiness,sadness,surprise,neutral,input,frame,naturalLanguageDescription
571.2440321181,87.3351202011,250.7868923611,318.4567193985,0.9996238947,570.7821029164,570.3899489302,572.8434994713,578.794968358,589.4933363681,608.4591345077,635.8188592866,667.9605894726,702.4591955239,737.0449152696,767.9217259124,793.8408118135,810.7803196817,819.0255870123,821.8681425088,821.1644679468,818.0233866093,588.8125478003,602.4447362553,622.9595386542,646.0675935333,667.2750915947,711.8816650914,732.6278216005,756.1602268855,778.4906249098,794.3137472658,692.4255520384,692.8155535226,692.9300005765,693.0383317912,666.5462133976,680.3295382472,695.2762050427,709.986984946,723.1879953497,609.4425090593,625.0324095256,640.0262377552,657.3136765117,641.6702026608,626.4101930656,728.6932072817,746.5855788391,761.6645504834,776.9721429019,761.1723905682,745.693964653,646.5679079007,663.2754580471,681.6430656146,694.8189179387,708.2503143961,727.4718616691,744.4404112318,727.9111543115,711.6978710268,697.1575260087,683.152504836,665.3371905746,654.393983997,682.6249140536,695.9384467872,709.6035206903,736.65031267,709.9793316053,696.3053629715,682.848182045,238.9751937384,268.8820573424,298.7985559557,328.4501715378,355.4016156485,376.3605395832,389.1752157285,395.6948141863,395.2984349183,390.7432394505,379.7720389572,362.0513436752,336.9366557657,307.5513126604,276.3000577706,244.9945119955,214.7166322033,186.264518324,170.3187830729,161.4525018151,159.514703295,164.5828548091,157.3196636956,146.9788501942,143.4091703911,149.0209596473,165.0998766924,193.5595186345,209.0911648784,223.4192435823,238.6163978397,269.4532562221,271.5169704181,272.9797379283,269.4732095745,265.5362719202,219.4696756382,216.2822073118,213.0992489897,210.2629801659,216.0171078916,219.0986252833,204.0462922756,203.1386083519,203.8544690365,205.0978180035,207.8259833906,207.4127485509,320.0566890655,300.7179044581,288.9654937732,291.0920519182,286.9758757591,296.1160145011,312.552702444,320.7530519537,325.2183206689,326.8926256036,327.2344975973,325.1734711816,318.2110723003,306.8434014278,306.5066772169,304.9518873965,311.9844419005,306.2709497692,307.8191112499,308.3812445653,16.9627546933,-3.003056186,1.8586595344,0.5132502317000001,0.6031898856,0.5180366039000001,0.311137259,0.1951496899,1,0.43083751200000003,0.0063890475,0.4785833955,0.1010677814,0.3308707476,0.2809856236,0.4725188315,0,0.3870773315,0.5731186867,0.057073604300000004,0.2642272115,0.0512150899,0.5261459351000001,0.0004287079,2.1652700000000004e-05,0.0002603939,0.0016899829000000001,0.0014793533,0.0020903661000000002,0.9940295219,C:/Users/Alessandro/Desktop/bachelor-s-thesis/datasets/Student-engagement-dataset/Not engaged/bored/0001.jpg,0,"Lip Pressor, using the muscles: Orbicularis Oris, with a value of 0.5731186867; Eyes Closed, using the muscles: Levator Palebrae Superioris (relaxation), with a value of 0.5261459351; "
74.6311714172,161.0390125621,153.9744621277,226.8837391246,0.9973186851,71.5726542308,71.6167862485,73.6211863853,77.7167009214,85.4565431984,98.4836916826,115.607693512,135.0639008683,156.4365526577,176.6336326518,193.3285826638,208.0091847815,219.2529421193,226.3405814939,230.5984002681,233.0308298589,233.8442253821,85.4527052789,96.0069759081,110.6848030396,125.6419057582,139.308420805,173.5460953484,186.8863142081,200.3640165958,213.2573977616,221.8098566184,157.5663777504,158.0158281507,158.2886368841,158.8278929788,141.5634460134,149.6213974567,158.0525034072,165.9222345131,173.0195782255,103.5014185263,112.9758706128,124.1921539643,134.2476329909,123.8810471754,112.7681523458,177.5359737861,187.1868565757,197.8030775553,206.4455530705,198.1889791483,187.6557156515,126.969842148,139.183481513,150.1063871542,157.4133640364,165.2614145482,174.9678619742,184.4520995385,175.3558569778,166.162879371,157.8830994237,149.7032433223,139.0486593753,131.7125775938,149.661586073,157.301504504,165.363228955,180.6110966774,165.9631290469,158.1080680437,150.4820569997,253.6216347642,276.4321351171,299.3544138625,321.8882432206,342.4436534532,359.4662141196,372.1146662381,381.1502323457,383.5627988772,380.1238444587,368.4390590472,353.8226224005,336.2782994122,315.9257390497,294.5615095869,273.061411281,251.8805499868,232.0936080882,222.3430773284,219.602299707,221.5056238105,226.7136725164,226.5456884819,222.2833177567,221.3711668026,224.7587109499,234.4740432003,248.7223803586,262.434982896,275.5838981002,289.0936994513,303.7840545907,305.8297387331,307.6223798335,305.8023783426,303.719597016,252.5821346617,246.9647511459,247.0964088256,254.0533560858,256.8965891196,256.9170526145,254.9593566318,248.6637080622,249.0723612966,255.0935458779,258.9142962079,258.6044552022,332.6022053816,327.0480623413,323.5384837121,325.4813959963,323.6695085002,327.0448167434,332.0748444032,337.2916724515,339.7933793299,340.3381367132,339.9268545445,337.873510791,332.8434344472,330.6558689916,331.3710527218,330.5320169749,332.1493471035,330.8421176284,331.5505342869,330.8607149045,-0.8503509997,0.6196357546,-6.1943035086,0.4416780174,0.4978150725,0.3116008937,0.36217960720000003,0.1366314441,0,0.3227326274,0.0996656269,0.4695355594,0.1543736756,0.33001586790000004,0.5798193812,0.5325644016000001,0,0.6240670085000001,0.46416059140000004,0.0010481402,0.0990584046,0.42864209410000004,0.0350513272,3.652200000000001e-05,3.2286e-06,0.00010147530000000001,0.0010472061,0.0050940397000000005,1.61969e-05,0.9937013388,C:/Users/Alessandro/Desktop/bachelor-s-thesis/datasets/Student-engagement-dataset/Not engaged/bored/0002.jpg,0,"Lip Corner Depressor, using the muscles: Depressor Anguli Oris, with a value of 0.5798193812; Chin Raiser, using the muscles: Mentalis, with a value of 0.5325644016; Lip Tightener, using the muscles: Orbicularis Oris, with a value of 0.6240670085; "
74.8987106323,159.5432767001,153.8029815674,228.8132684881,0.9974170923000001,71.0934467066,71.4539405954,73.8681956795,78.3063603744,86.2799330044,99.6166848495,117.1223725016,136.8726243635,158.2776179674,178.3903685532,194.9365912543,209.4756713119,220.5503964248,227.4403188936,231.5785766329,233.9524486112,234.7270841377,85.4172974942,95.9789975956,110.8427709163,125.9966725074,139.784864105,175.6559699541,188.9370937642,202.413758546,215.2736051423,223.7350073263,158.4759084271,158.8636353404,159.0722363803,159.5783385737,142.0630440795,150.2346616792,158.7662576386,166.7245689733,173.9630054185,103.3790973918,113.132505287,124.4882346252,134.6391317528,124.0705661144,112.8138674441,178.754479328,188.7272652743,199.5282690321,208.2273382726,199.7169199176,189.0065019715,127.5523999474,139.7258319419,150.8203271831,158.2396652127,166.1653754748,175.9856302983,185.3585859674,176.4283633385,167.2546309912,158.8786593287,150.5945827579,139.8205010706,132.2618965614,150.334330621,158.094924306,166.2448815043,181.5543582943,167.0421512092,159.1020879648,151.3516575661,251.8125773217,275.1285960492,298.5171161582,321.522082684,342.6314899564,360.0990039127,373.0040697678,382.1783421932,384.6467114573,381.0947002149,369.2401024555,354.4000025542,336.5397209566,315.8429169179,294.1939226154,272.600687276,251.2718446715,231.9279114992,221.908637929,218.914289964,220.8561159003,226.1867349579,226.6797525341,222.4930268849,221.6266844757,225.0233087282,234.649340043,248.8750111948,262.8645455111,276.239340124,290.0017389051,304.7862435033,306.8086392591,308.5660367379,306.750229004,304.664087677,252.631654722,247.0641132609,247.2501292204,254.2846616678,257.1337859291,257.1144004017,255.2488318438,248.9698848985,249.4706517759,255.5562753426,259.43284892,259.0177335053,333.5594068369,327.7010988314,324.1278281547,326.070619685,324.2157954063,327.6909191792,333.0413901952,337.9418780327,340.4653352539,341.0783892593,340.6645913076,338.6863346547,333.726978314,331.3480165096,332.0711155011,331.1898227506,332.9964655244,331.5554882954,332.3281108039,331.6525386772,-0.7890445653,0.598908223,-6.1237027635,0.5226637721,0.5367850065,0.3258090615,0.3380766511,0.1427253634,0,0.34252241250000004,0.0167241935,0.4681229591,0.12942290310000001,0.2118254453,0.4405939877,0.5113672018000001,0,0.4106880128,0.48178946970000003,0.0030822619,0.0734450445,0.1107589975,0.0238139573,0.00010577480000000001,3.1084999999999995e-06,9.875220000000002e-05,0.0012447017,0.0041652303,1.13696e-05,0.9943711162000001,C:/Users/Alessandro/Desktop/bachelor-s-thesis/datasets/Student-engagement-dataset/Not engaged/bored/0003.jpg,0,"Chin Raiser, using the muscles: Mentalis, with a value of 0.5113672018; "
74.1283279419,163.4054981578,154.2851882935,225.8271234686,0.9968919158,72.2335087326,72.0459549708,73.7502366131,77.4406029986,84.8019851768,97.623481119,114.6775880799,134.2356261951,155.6230383272,176.0530968478,193.2937803494,208.3130707325,219.602364781,226.6676408953,231.1128822995,233.9194935503,234.9761683591,84.7651334429,95.1153745656,109.5581125868,124.3779933358,137.9634984871,172.7173163432,186.2320416139,200.0288365003,213.3598442076,222.0422193066,156.344760515,156.7273950638,156.879470047,157.2715214534,140.4728810813,148.3634405894,156.5255544913,164.3658396091,171.4841602529,101.8787862802,111.28798773,122.642367933,132.7517765544,122.217995545,110.9045294081,176.790616097,186.7553152363,197.7239838556,206.5120280507,198.032188078,187.2334751648,125.0164336741,137.5471296206,148.6642550822,155.9220679782,163.8765829718,173.9474680844,183.8260425492,174.0374693384,164.3600570447,156.0514811237,147.9244260376,137.2195505769,129.7744746626,148.0913208612,155.757410264,163.899228657,179.8877285239,164.441384452,156.5271374279,148.9007425839,258.6463376543,281.3948168478,304.2522925348,326.7791606003,347.2335446572,363.9044678873,376.0764429348,384.5366900286,386.6472129736,383.3489545281,372.1466735368,357.8599274593,340.2181633515,319.7441379585,298.3921965288,276.9824940645,255.9597711486,235.0635700959,224.85338656,221.692762839,223.5483279962,228.9351986363,229.1570682029,224.7011985099,223.6856477487,227.1843899639,237.32741176,250.6305323236,264.089685212,277.0799415816,290.344869761,306.2107081917,307.9749718255,309.6247471449,307.8337189601,305.8539498111,254.5456757102,248.3588486623,248.6010056615,256.1356547908,258.8869763266,258.8885188822,256.8448023239,249.8147465496,250.190395179,256.6217617073,260.5273509407,260.2988104269,336.2249795739,330.0240837729,326.1985297538,328.1122032224,326.310982864,329.9609601368,335.274313062,340.2350264723,342.2315779801,342.6863169075,342.3165073759,340.7892319686,336.4233473773,333.4444867774,334.0811665025,333.2779230784,335.3344000442,333.6363451577,334.2812787667,333.706527399,-0.6673443593,-0.1253309192,-5.6108983511,0.40211969610000003,0.49840852620000003,0.5617684126,0.3707348704,0.137483567,0,0.2973079681,0.028914375200000002,0.4709965587,0.0953065157,0.2122991383,0.3768228292,0.48349803690000004,0,0.4607559144,0.4789178371,0.0179780517,0.0631060377,0.45895871520000003,0.0575922206,1.79947e-05,1.4323999999999998e-06,3.32461e-05,0.0011233084,0.004496556200000001,2.3400400000000004e-05,0.9943040013000001,C:/Users/Alessandro/Desktop/bachelor-s-thesis/datasets/Student-engagement-dataset/Not engaged/bored/0014.jpg,0,
74.3453704834,164.0410267223,154.0060928345,224.6246615323,0.9967390895,72.8831355268,72.7746310418,74.6342856107,78.4947903567,85.9187440186,98.6744917531,115.5959939318,135.0391348796,156.341721533,176.5933321539,193.6360312798,208.445387258,219.6096769689,226.6065654286,230.9700893196,233.6933775728,234.6830361599,85.4911606749,95.7877358338,110.2470047862,125.0269994042,138.6135169859,172.7429532614,186.1348664787,199.8768024562,213.234221096,222.0550163673,156.8816492331,157.4038235527,157.7014216242,158.238810832,141.386956531,149.2701885426,157.3663727562,165.1205031479,172.1644340497,102.5115114275,111.9898646037,123.3811646234,133.5605353374,122.9582084051,111.6245385902,177.2214323001,187.1851757552,198.1013519305,206.8578333715,198.4648383404,187.6930831047,125.6450259127,138.1415742903,149.3661933623,156.7734259103,164.8543470365,175.0008137474,184.8627604427,175.1247178843,165.4624605713,157.0517442924,148.81688288,138.0006879603,130.4557180984,148.849465555,156.649071914,164.9051329515,180.9712676127,165.4241743216,157.404466209,149.6552923041,259.1879124952,281.908078474,304.7255747511,327.2011939368,347.5906061374,364.3274490582,376.7161597067,385.4740228587,387.6973887672,384.4225889337,373.2437751903,358.9216490947,341.2430254821,320.7433495248,299.3365802501,277.9353056869,256.9135196757,235.0874171576,225.0101564983,222.042474083,223.973326938,229.3192714993,229.2449482968,224.6733563918,223.5752575854,227.0003666969,237.0364812859,250.889982399,264.4880918939,277.6337231463,291.0444179943,307.0202433773,308.7007896321,310.2672161924,308.4785430132,306.5269243261,254.9751316754,248.7879741018,249.0503144414,256.6298993789,259.3294575479,259.3433871234,257.1145747027,249.9719478579,250.2827926826,256.7231006105,260.6015475175,260.4198364454,336.8137257176,330.3042760038,326.3189553522,328.2417187709,326.3533374649,330.035308271,335.5840028654,340.6663860401,342.8080703313,343.3312247018,343.0045624986,341.5097278514,336.9491334025,333.7329598911,334.3489780986,333.4778574682,335.6191079664,333.9863914075,334.6748209149,334.1377369689,-0.8332936554,0.0488535708,-5.7377063886,0.38529092070000004,0.4554716051,0.418664217,0.3805880547,0.12475202980000001,0,0.3007443249,0.0198955294,0.4687417448,0.08852738140000001,0.1501368284,0.48712453250000004,0.49505802990000003,0,0.3655885458,0.4657081068,0.0009583278000000001,0.059997037100000004,0.310033828,0.037929881400000004,3.8198e-05,2.0634e-06,4.662900000000001e-05,0.0011463271,0.006024614,2.6082100000000002e-05,0.9927161336,C:/Users/Alessandro/Desktop/bachelor-s-thesis/datasets/Student-engagement-dataset/Not engaged/bored/0015.jpg,0,
73.6352783203,164.5977783203,155.1457214355,225.586048473,0.9970404506,72.6106043311,72.6668838094,74.6785524566,78.5917793067,86.1308454328,99.0502208139,116.1934936717,135.8001070338,157.0492001831,177.1581095029,193.9555491615,208.5573469469,219.4903616973,226.3416943729,230.7076136296,233.4707294859,234.4666568142,85.4647210108,95.6618993306,110.0238558586,124.7734437478,138.3336032639,173.0652618894,186.4446913491,200.0915451419,213.3388436818,222.0013977686,156.7941192562,157.2896142391,157.5582164397,158.0847716279,141.3015954609,149.1977046967,157.3423439797,165.1644976566,172.208726308,102.7844642398,112.1391526451,123.3696999587,133.4683085156,123.0460848907,111.8676622487,177.098393233,186.9210661537,197.6848390898,206.3757265378,198.0671297091,187.4492187238,125.9559017267,138.4138192692,149.5594713778,156.932655839,164.9795563204,175.0664104048,184.8757072683,175.3283003741,165.8064515916,157.4133387345,149.1742764276,138.3314814889,130.7090893032,149.0430168071,156.8245017842,165.0670573557,181.0248388224,165.7765531188,157.7651984203,150.0284401387,259.4561829342,282.3488207919,305.354590405,327.9135287125,348.4037444062,365.1426940679,377.3025465866,385.6318125699,387.5341815652,384.0867730837,372.6728172751,358.2808735308,340.6012110978,320.1987061966,298.972581464,277.7119274644,256.7463212115,236.5630610212,226.2553809792,223.0188591898,224.7925663271,230.1482492766,230.1944523403,225.642760786,224.5040371896,227.8429043721,237.7402670018,251.4270069387,265.0882533046,278.2806922612,291.7546899613,307.426911162,309.1567629031,310.7556293216,308.8719125847,306.7994627463,255.5276155697,249.4064800823,249.5749474084,256.8960959413,259.539174189,259.6128231795,257.4518477224,250.5708908718,250.884784499,257.0972773277,260.8683896207,260.6828351479,337.455982109,331.1166506968,327.2036941108,329.0276461723,327.0910544783,330.5173097498,335.7560449759,340.7529139806,342.9218521449,343.5444922796,343.3092576137,341.9624871153,337.5907753321,334.3787467331,334.9043176757,333.9599422205,335.8022238369,334.3820544432,335.1723551454,334.7143905715,-0.6330869742,-0.33394720510000003,-5.4704641611,0.3722707629,0.5558441877,0.4105612934,0.41242408750000004,0.1599028558,0,0.2408302277,0.0040349835,0.46601027250000004,0.1100530848,0.17358100410000002,0.3361069262,0.5387126207,0,0.3538107574,0.5419179201000001,0.0041378117,0.10615278040000001,0.1826511919,0.0296627674,2.0365000000000002e-05,1.2019999999999999e-06,3.0169500000000003e-05,0.0012396927,0.0039059215000000003,2.0997300000000003e-05,0.9947816730000001,C:/Users/Alessandro/Desktop/bachelor-s-thesis/datasets/Student-engagement-dataset/Not engaged/bored/0016.jpg,0,"Chin Raiser, using the muscles: Mentalis, with a value of 0.5387126207; Lip Pressor, using the muscles: Orbicularis Oris, with a value of 0.5419179201; "
72.3469543457,164.775390625,156.848526001,225.9039029208,0.9971319437,72.2886322398,72.2681884489,74.1211044287,77.9036096931,85.4143458146,98.5437999447,115.9801601475,135.8405940796,157.3381470745,177.5443521218,194.1809848329,208.5280745422,219.2029892107,225.8055459738,229.9564474615,232.5769366994,233.5682565645,85.9534462781,96.0786124228,110.4970473672,125.2999031385,138.9558060916,173.5063297672,186.788904296,200.3156571043,213.3635865184,221.9513036451,156.9332299435,157.5220240478,157.930528234,158.6218604114,141.4533255839,149.445421891,157.6537271417,165.3342909371,172.2716233601,102.7794900455,112.2852428535,123.7082039503,133.7837895596,123.2059273552,111.8710591633,176.4875119467,186.4688646467,197.3621372604,205.9507430719,197.5706227249,186.8202991079,126.5244946964,138.7587442668,149.8430760431,157.2912729884,165.3293789336,175.3757672062,185.1557762362,175.8227272093,166.4453732034,158.0302548314,149.7075596832,138.911606139,131.2253143659,149.3027314207,157.1451408842,165.392572505,181.377476067,166.3534185589,158.3270432537,150.4929631909,257.8786141712,281.0121228595,304.2986873149,327.2521888485,348.1449918067,365.3911492159,378.0292494954,386.885559498,389.0905804921,385.5586883934,373.7352697477,358.901116112,340.8873612078,320.2918314091,298.9230973219,277.6066986931,256.5688946842,236.4968810484,226.2238619825,222.9589146532,224.6967297877,229.9564837507,230.9717253961,226.6052208861,225.6058947785,229.0149625527,238.7889931573,252.73421958,266.4751939095,279.6937508137,293.2337369472,309.0719105624,310.7740651978,312.3113930314,310.5375619238,308.5908896929,256.0965667682,250.1637875356,250.4925847702,258.0201493511,260.7738282104,260.6651905276,259.266796451,252.5527824505,253.0026347188,259.2691555053,263.1631301255,262.8576406707,338.6380675505,332.3917441468,328.4158489419,330.2849955385,328.2529449309,331.7768711818,337.1546909659,341.9743197201,344.2132723175,344.8550158806,344.597749697,343.1538953512,338.7119899716,335.5420996049,336.1354987124,335.1235128852,337.1397125868,335.5308213863,336.3439195453,335.8322309698,-0.8061368778,-0.2414728227,-5.5390795684,0.5259085298,0.462146312,0.2773771584,0.3964505494,0.1529098898,0,0.2454343438,0.038145218,0.4672171772,0.1332681328,0.3694312871,0.6907190681,0.5197275877,0,0.5202170014,0.4717349112,0.0033818618,0.07749106730000001,0.1007950529,0.031390469500000004,2.7726700000000003e-05,1.9923999999999998e-06,5.34629e-05,0.0012693262,0.0053297025,3.5220200000000005e-05,0.9932825565000001,C:/Users/Alessandro/Desktop/bachelor-s-thesis/datasets/Student-engagement-dataset/Not engaged/bored/0017.jpg,0,"Lip Corner Depressor, using the muscles: Depressor Anguli Oris, with a value of 0.6907190681; Chin Raiser, using the muscles: Mentalis, with a value of 0.5197275877; Lip Tightener, using the muscles: Orbicularis Oris, with a value of 0.5202170014; "
72.3580238342,164.6895530007,158.3230674744,225.7275113192,0.9972419739,72.1998081258,71.8185936167,73.4794192105,77.2039115227,84.8195397552,98.0297127035,115.32104356,134.9248077594,156.3157586628,176.5549126678,193.1125692672,207.7223773844,218.9614526331,226.0402580539,230.296430903,232.6866764699,233.3734486601,85.1752285611,95.420141448,109.837957852,124.50966701,138.0129334759,174.5261117026,187.5197440248,200.6315437226,213.2377375266,221.5513185625,157.1153702831,157.717928642,158.1342833742,158.8397841006,141.0915576894,149.157025985,157.4793819859,165.1534480947,172.1369478701,102.5177561314,111.9959453531,123.2356260502,133.3242848228,122.8509968124,111.6803291564,176.7635905378,186.5868691828,197.1616303393,205.7354734461,197.3509338617,186.8676519169,125.6813871959,138.1530988089,149.3850136216,156.84312840730001,164.9053757176,174.7160448913,184.0495723168,174.7807552126,165.4441440367,157.0402623952,148.770354368,137.9827337114,130.4400014621,148.7503099908,156.5625394167,164.8361124246,180.1932698591,165.4403983295,157.4071802501,149.6355723733,256.9524933221,280.1742474298,303.5459912793,326.7205527051,347.8887066825,365.4312905381,378.4812376309,387.8770374391,390.3516744355,386.6247603299,374.2721928827,359.013037357,340.8878830112,320.2592238909,298.7756716781,277.3370195161,256.1195416784,236.7360638125,227.0436508136,224.2038880894,226.0294037113,231.2168691639,232.111915592,227.9366952258,227.1233439638,230.3650759671,239.7296507848,253.7973162173,267.472780271,280.6348564012,294.1704699551,309.4890240018,311.3251147885,313.0574075074,311.3095507292,309.4515830749,257.3584101245,252.0141416178,252.2604218677,259.0895000192,261.7800318303,261.7322417726,260.0549399107,254.1135136445,254.6735533828,260.543464088,264.0847961606,263.6444495278,338.7919499312,332.6269517651,328.8585765554,330.86784172,328.9003928559,332.5383302697,338.1242453281,343.2371841233,345.6285437151,346.1846520754,345.8189128266,344.0740267818,338.934415968,336.2413654917,336.9762022096,336.062459536,338.1040475707,336.4964933604,337.2580505328,336.6305799918,-1.0261607236999999,-0.3526220744,-5.9676539477,0.5212722421,0.4659649134,0.4203621745,0.380042702,0.1436200142,0,0.2866719961,0.0996581987,0.4664443433,0.0889594927,0.178861618,0.3235463202,0.4822674394,0,0.4181294441,0.5411216617,0.0012538979,0.0894911736,0.14670495690000002,0.022433878900000002,0.0001931144,8.078e-06,0.0001419341,0.00143842,0.014226866000000001,7.0497e-05,0.983921051,C:/Users/Alessandro/Desktop/bachelor-s-thesis/datasets/Student-engagement-dataset/Not engaged/bored/0018.jpg,0,"Lip Pressor, using the muscles: Orbicularis Oris, with a value of 0.5411216617; "
71.7619415283,165.4880731756,158.4500350952,226.8010503596,0.9972453117000001,69.3840953292,69.6291338314,71.9405321678,76.1106356088,84.1089460327,97.6650692137,115.230121407,134.9726627611,156.4595881999,176.7808520885,193.1452760485,207.2504840326,218.1174089112,225.178359161,229.6818019152,232.4432046745,233.3083928359,83.2935353092,94.2658144555,109.1542323437,124.2247511376,138.0139612069,173.2540918189,186.2042556011,199.3653225835,212.1863910909,221.3496087385,156.9175536063,157.5872008726,158.0275815494,158.7842764715,140.2209745446,148.6210489951,157.5013049842,165.6364648349,172.8730839375,100.3210284839,110.5342929514,121.3408068218,131.7811884538,121.1169178502,110.2807175821,177.6107410142,187.8606917048,197.7535945192,206.6277510079,197.5142215768,187.5488547523,125.8562863558,137.9401913197,149.085811451,156.8304735064,165.1439139641,174.9456811597,184.1919396105,175.3748523825,166.21229984000001,157.4735814576,148.8134752518,137.9171721949,130.6469652854,148.6176261373,156.6584870646,165.1803163009,180.2037910766,166.0427467095,157.7181941302,149.6258686692,255.4015363558,279.2638846065,303.1937653565,326.6723641951,348.1238200664,366.008852694,379.3861923837,389.0480604024,391.6024208154,388.0290058573,375.4790244495,359.5578200295,340.7393854141,319.755336197,297.9671262656,276.1402591289,254.4397700694,237.2103688351,228.4480554442,226.5326420201,228.8111054883,234.0694992915,234.2486802237,229.8122346402,228.5294821509,231.0571978053,239.6298021372,254.7105246164,269.2307095074,283.2825306419,297.6751451332,311.2555365388,313.5790405989,315.6088439865,313.3922434024,310.96217653,259.6020399658,257.1527256011,257.0693928005,260.0106821523,263.0437397838,263.22443748,260.3757680669,257.9337860802,258.9156109626,262.0478828063,264.9751725072,264.1829350182,339.6617853994,333.8034424762,330.2653754201,332.3230807772,330.3565597051,333.8022258205,339.5037823864,345.1496161239,348.0128610717,348.6132562987,348.1180450076,345.5982862811,339.9782780875,337.7987287232,338.6442070631,337.7108050753,339.5362752032,338.3905262504,339.1706782933,338.4511968118,-4.3498709301,-0.3221137731,-5.7453125667,0.4611437023,0.5260220766,0.33969473840000003,0.3645087779,0.1265419722,1,0.34344062210000004,0.14479771260000002,0.4694850743,0.0963980183,0.1536372006,0.2027890682,0.5650126338,0,0.4276981354,0.5370201468,0.0097369459,0.17796646060000001,0.48581722380000003,0.2799294889,0.0006136344,4.819740000000001e-05,0.0003333534,0.0024431504,0.030366046400000003,9.32172e-05,0.9661023617000001,C:/Users/Alessandro/Desktop/bachelor-s-thesis/datasets/Student-engagement-dataset/Not engaged/bored/0019.jpg,0,"Chin Raiser, using the muscles: Mentalis, with a value of 0.5650126338; Lip Pressor, using the muscles: Orbicularis Oris, with a value of 0.5370201468; "
70.7522598267,164.7927856445,159.104637146,230.1435158469,0.9972282052,67.4643204291,68.2697190842,71.2205196057,76.1691889635,84.8213077524,98.8310195979,116.7532415568,136.4448968997,157.9142244305,178.2297819368,194.3590557632,208.0888211121,218.7486977714,225.8056408786,230.3081431925,232.9698612808,233.4609960631,80.6460448105,91.7404216757,107.1368123149,122.8721215098,137.1805208679,172.5874604204,185.991360903,199.7287806852,212.9329745323,222.4755837605,156.4475856153,157.4083569217,158.0254524009,158.9303874967,139.7906414908,148.4449084594,157.6692002573,166.0144750353,173.2475194932,98.1823351777,108.7195104471,119.5494636773,130.5172872443,119.6161889367,108.715518619,178.001597517,188.9048851571,198.7006832875,207.6461150244,198.1379918992,188.1091039271,126.6406953537,138.3491799999,149.3073079513,156.9685315347,165.1850307597,174.9090253668,184.0936211086,175.5876526135,166.6068952551,158.0202836007,149.4523718094,138.7046337779,131.5697389091,148.9575744219,156.9027527913,165.260982492,180.080804996,166.1942801441,158.0674941704,150.0957557403,259.3066092543,283.337776864,307.1044303023,330.2837006319,351.6809859529,369.6017099474,382.9601118197,392.6864109873,395.0112681632,391.2769911191,378.4140039273,361.8875390846,342.5486543528,321.2390246396,299.0985514534,276.8260351764,254.6555697803,241.7912492355,232.9214317774,230.7126586103,232.2988711974,236.9488324663,235.1861893055,230.3622172516,229.1850147842,232.1029094729,240.974521196,256.1995430642,271.5926497045,286.6441463915,302.0629241906,314.4575588277,317.1145361056,319.2668639997,316.4919096811,313.3524891065,264.6012548848,263.2920669406,262.4920058125,262.6558683004,266.7970648986,267.6452254984,261.1932706967,260.5904717237,261.9224995093,263.7089043358,266.6260253506,265.5093011373,342.828938303,337.3047419774,334.0578465741,335.9736442467,333.8907494707,336.7416225993,341.9174845929,347.8444522635,351.0412893189,351.729480492,351.3384624059,348.6800859304,343.242458777,341.2573102921,342.0497828315,340.9785901509,342.111199371,341.5198162035,342.4199281832,341.7232595194,-6.6751641625,-0.2253614075,-5.5456469275,0.5174203515,0.5101451278,0.30514162780000004,0.30146873,0.14030624930000002,0,0.392244339,0.0470148548,0.4646145403,0.1251540929,0.17274370790000002,0.1822961271,0.6191552877000001,0,0.48743253950000004,0.5838154554,0.0019125228,0.17764574290000001,0.5372059345,0.6273515821,0.0006454615,8.1259e-05,0.000529681,0.0032520553000000003,0.014228561,5.997340000000001e-05,0.9812030196,C:/Users/Alessandro/Desktop/bachelor-s-thesis/datasets/Student-engagement-dataset/Not engaged/bored/0020.jpg,0,"Chin Raiser, using the muscles: Mentalis, with a value of 0.6191552877; Lip Pressor, using the muscles: Orbicularis Oris, with a value of 0.5838154554; Lip Suck, using the muscles: Orbicularis Oris, with a value of 0.5372059345; Eyes Closed, using the muscles: Levator Palebrae Superioris (relaxation), with a value of 0.6273515821; "
