AU01,AU02,AU04,AU05,AU06,AU07,AU09,AU10,AU11,AU12,AU14,AU15,AU17,AU20,AU23,AU24,AU25,AU26,AU28,AU43,input
0.4527972937,0.43798181410000003,0.3755478561,0.5410195589,0.07649279390000001,0.0,0.1551906615,0.0027805902,0.4733322561,0.09511585530000001,0.4729776084,0.1315383762,0.5058102608,1.0,0.3039187789,0.603168726,0.4500305057,0.2071616799,0.2607434094,0.0136763882,C:/Users/Alessandro/Desktop/bachelor-s-thesis/datasets/FER 2013/train/fear/Training_10018621.jpg
0.2252289653,0.41683432460000003,0.3302333355,0.4350665212,0.0588476099,0.0,0.435831517,0.0416713022,0.4697463512,0.028186451600000002,0.3352435529,0.0882271677,0.4569782019,0.0,0.2917506695,0.45544657110000003,0.0033182949,0.0412534103,0.06794242560000001,0.1239779964,C:/Users/Alessandro/Desktop/bachelor-s-thesis/datasets/FER 2013/train/fear/Training_10031494.jpg
0.339697063,0.41644051670000004,0.5515946746,0.49782487750000004,0.2428666949,1.0,0.14372964200000002,0.13117901980000002,0.46837753060000004,0.4418388903,0.4914219379,0.1718169302,0.5092608929,1.0,0.22068105640000002,0.3991904855,0.0515736528,0.1054096073,0.0394912027,0.026914538800000002,C:/Users/Alessandro/Desktop/bachelor-s-thesis/datasets/FER 2013/train/fear/Training_10110501.jpg
0.548288703,0.4993441403,0.5076924562,0.5401899815,0.1028489769,0.0,0.1443953812,0.1590979546,0.4833468199,0.036598987900000005,0.2213304043,0.11947332320000001,0.3589414358,0.0,0.4556563199,0.5675138831000001,0.8389559388000001,0.4175910652,0.0281422716,0.070605129,C:/Users/Alessandro/Desktop/bachelor-s-thesis/datasets/FER 2013/train/fear/Training_10117992.jpg
0.6061931849000001,0.4675479531,0.22563923900000002,0.3914671242,0.2700525522,1.0,0.24907879530000002,0.0013607311,0.47478231790000003,0.0793417096,0.7758154273000001,0.0752999932,0.4883281291,1.0,0.3931028247,0.5629947186,0.0003028215,0.17324870820000002,0.1054313555,0.5891818999999999,C:/Users/Alessandro/Desktop/bachelor-s-thesis/datasets/FER 2013/train/fear/Training_10126156.jpg
0.5588005185,0.47061184050000004,0.4310883284,0.6099503636,0.0835759491,0.0,0.12027860430000001,0.0060103294,0.4628212452,0.0408683904,0.23433515430000001,0.1726199985,0.3761758804,0.0,0.3559963405,0.4682406485,0.0030671516,0.1160237268,0.1012215093,0.0247145109,C:/Users/Alessandro/Desktop/bachelor-s-thesis/datasets/FER 2013/train/fear/Training_10127393.jpg
0.3301289678,0.41375100610000004,0.7948623300000001,0.4062772095,0.1276399642,0.0,0.1716036946,0.3494860828,0.4720304608,0.10924112050000001,0.7996263504000001,0.20849919320000002,0.6064462066,0.0,0.49335351590000004,0.4809788465,0.0777737424,0.2107729465,0.18679404260000002,0.046234779100000005,C:/Users/Alessandro/Desktop/bachelor-s-thesis/datasets/FER 2013/train/fear/Training_10133194.jpg
,,,,,,,,,,,,,,,,,,,,C:/Users/Alessandro/Desktop/bachelor-s-thesis/datasets/FER 2013/train/fear/Training_1018372.jpg
0.5220727921,0.4782939255,0.1990610957,0.6649585962,0.2568492591,0.0,0.1454634666,0.593295455,0.5096390247,0.6771304011,0.5041475892,0.12446729840000001,0.2358148098,1.0,0.1448213458,0.33660376070000003,0.9917324781,0.2941872478,0.0233182497,0.0214003772,C:/Users/Alessandro/Desktop/bachelor-s-thesis/datasets/FER 2013/train/fear/Training_10208260.jpg
,,,,,,,,,,,,,,,,,,,,C:/Users/Alessandro/Desktop/bachelor-s-thesis/datasets/FER 2013/train/fear/Training_10230640.jpg
,,,,,,,,,,,,,,,,,,,,C:/Users/Alessandro/Desktop/bachelor-s-thesis/datasets/FER 2013/train/fear/Training_10247565.jpg
,,,,,,,,,,,,,,,,,,,,C:/Users/Alessandro/Desktop/bachelor-s-thesis/datasets/FER 2013/train/fear/Training_10283876.jpg
0.2470378876,0.4009109139,0.5508089066,0.5553711057,0.0715075582,0.0,0.23162387310000002,0.0009649033,0.4657328129,0.0243580099,0.41617795830000004,0.138251707,0.4219065607,0.0,0.4819739461,0.4538342059,0.0284081381,0.07706318050000001,0.3690334857,0.0182530172,C:/Users/Alessandro/Desktop/bachelor-s-thesis/datasets/FER 2013/train/fear/Training_10323859.jpg
0.3025391698,0.41967579720000003,0.5494239926,0.8014219999000001,0.159641996,1.0,0.10316472500000001,0.7335466743,0.4879128635,0.49654150010000003,0.7671037912,0.1230830625,0.2693980932,1.0,0.46940967440000003,0.33433115480000003,0.9533517957000001,0.2683108151,0.042246103300000004,0.0176041834,C:/Users/Alessandro/Desktop/bachelor-s-thesis/datasets/FER 2013/train/fear/Training_10352150.jpg
0.2613288462,0.4423327148,0.6726469398,0.28330200910000003,0.5755406022,1.0,0.6522550583000001,0.9841604829,0.4877807796,0.4916067123,0.7006264925,0.3746199906,0.6111705303,0.0,0.4050354362,0.4517046511,0.2759855688,0.1024223939,0.0311164632,0.8738386631,C:/Users/Alessandro/Desktop/bachelor-s-thesis/datasets/FER 2013/train/fear/Training_10395418.jpg
0.4307905138,0.44624775650000004,0.5975959301,0.7495241165000001,0.0963630676,0.0,0.10678306970000001,0.8887485862000001,0.49209076170000005,0.2534878552,0.4682242274,0.2283578813,0.3583076894,1.0,0.30815386770000003,0.5900275707,0.0055882582000000005,0.07160395380000001,0.17310620840000002,0.018460372500000002,C:/Users/Alessandro/Desktop/bachelor-s-thesis/datasets/FER 2013/train/fear/Training_1040092.jpg
,,,,,,,,,,,,,,,,,,,,C:/Users/Alessandro/Desktop/bachelor-s-thesis/datasets/FER 2013/train/fear/Training_1044537.jpg
