AU01,AU02,AU04,AU05,AU06,AU07,AU09,AU10,AU11,AU12,AU14,AU15,AU17,AU20,AU23,AU24,AU25,AU26,AU28,AU43,input,naturalLanguageDescription
,,,,,,,,,,,,,,,,,,,,C:/Users/Alessandro/Desktop/bachelor-s-thesis/datasets/FER 2013/train/sad/Training_10022789.jpg,
0.2980352938,0.5264442563,0.3756545186,0.4675769806,0.0984661728,1.0,0.1977618635,0.6500115395,0.4625107348,0.0479943007,0.3182064295,0.5126529932,0.4990983903,0.0,0.34899842740000003,0.5758376122000001,0.0604589321,0.09434735770000001,0.0360716395,0.0272145458,C:/Users/Alessandro/Desktop/bachelor-s-thesis/datasets/FER 2013/train/sad/Training_10031481.jpg,"Upper Lip Raiser, using the muscles: Levator Labii Superioris, with a value of 0.6500115395; Lip Corner Depressor, using the muscles: Depressor Anguli Oris, with a value of 0.5126529932; Lip Pressor, using the muscles: Orbicularis Oris, with a value of 0.5758376122; "
,,,,,,,,,,,,,,,,,,,,C:/Users/Alessandro/Desktop/bachelor-s-thesis/datasets/FER 2013/train/sad/Training_10048646.jpg,
,,,,,,,,,,,,,,,,,,,,C:/Users/Alessandro/Desktop/bachelor-s-thesis/datasets/FER 2013/train/sad/Training_10057152.jpg,
,,,,,,,,,,,,,,,,,,,,C:/Users/Alessandro/Desktop/bachelor-s-thesis/datasets/FER 2013/train/sad/Training_10091569.jpg,
0.4707570374,0.4160149992,0.803224206,0.49383598570000004,0.1033201069,1.0,0.23897364740000002,0.1380130649,0.4760150611,0.0548711307,0.5956844091,0.29437837,0.6129261851000001,0.0,0.4108573198,0.5530763268000001,0.5803316832000001,0.21427321430000001,0.1443663388,0.0360407643,C:/Users/Alessandro/Desktop/bachelor-s-thesis/datasets/FER 2013/train/sad/Training_10094936.jpg,"Dimpler, using the muscles: Buccinator, with a value of 0.5956844091; Chin Raiser, using the muscles: Mentalis, with a value of 0.6129261851; Lip Pressor, using the muscles: Orbicularis Oris, with a value of 0.5530763268; Lip Part, using the muscles: Depressor Labii Inferioris, with a value of 0.5803316832; "
0.4844362736,0.5123773813,0.5577850938000001,0.3718098104,0.122532554,1.0,0.481374532,0.9943631887000001,0.4891126156,0.2702972889,0.36005088690000003,0.689948678,0.38902872800000005,1.0,0.2978001535,0.48102498050000003,0.9781754017000001,0.1392209083,0.4256096482,0.626807332,C:/Users/Alessandro/Desktop/bachelor-s-thesis/datasets/FER 2013/train/sad/Training_10099928.jpg,"Upper Lip Raiser, using the muscles: Levator Labii Superioris, with a value of 0.9943631887; Lip Corner Depressor, using the muscles: Depressor Anguli Oris, with a value of 0.689948678; Lip Stretcher, using the muscles: Risorius, Platysma, with a value of 1.0; Lip Part, using the muscles: Depressor Labii Inferioris, with a value of 0.9781754017; Eyes Closed, using the muscles: Levator Palebrae Superioris (relaxation), with a value of 0.626807332; "
0.4630221725,0.3973990679,0.5006805658,0.2599472702,0.0948335752,0.0,0.36805245280000004,0.026291122700000003,0.4673864841,0.0481220372,0.3288412094,0.09693419190000001,0.357719779,0.0,0.2317486256,0.5465198755,0.0038771697,0.07014606150000001,0.0514836721,0.6187561154,C:/Users/Alessandro/Desktop/bachelor-s-thesis/datasets/FER 2013/train/sad/Training_10111384.jpg,"Lip Pressor, using the muscles: Orbicularis Oris, with a value of 0.5465198755; Eyes Closed, using the muscles: Levator Palebrae Superioris (relaxation), with a value of 0.6187561154; "
,,,,,,,,,,,,,,,,,,,,C:/Users/Alessandro/Desktop/bachelor-s-thesis/datasets/FER 2013/train/sad/Training_10115766.jpg,
,,,,,,,,,,,,,,,,,,,,C:/Users/Alessandro/Desktop/bachelor-s-thesis/datasets/FER 2013/train/sad/Training_10118724.jpg,
