AU01,AU02,AU04,AU05,AU06,AU07,AU09,AU10,AU11,AU12,AU14,AU15,AU17,AU20,AU23,AU24,AU25,AU26,AU28,AU43,input,naturalLanguageDescription,label,numLabel
0.3786908984,0.4266600609,0.1820580512,0.3703580797,0.1960542798,0.0,0.3103607595,0.4064309895,0.4961207509,0.5148192048,0.5940716863,0.4489225447,0.6041848063,0.0,0.5777327418,0.5752410889,0.0766087025,0.2202960849,0.1271983534,0.0352884121,C:\Users\Alessandro\Desktop\bachelor-s-thesis\datasets\DAiSEE\DataSet\Test\907001\907001270\907001270.mp4,"Lip Corner Puller, using the muscles: Zygomaticus Major, with a value of 0.5148192048; Dimpler, using the muscles: Buccinator, with a value of 0.5940716863; Chin Raiser, using the muscles: Mentalis, with a value of 0.6041848063; Lip Tightener, using the muscles: Orbicularis Oris, with a value of 0.5777327418; Lip Pressor, using the muscles: Orbicularis Oris, with a value of 0.5752410889; ",engaged,1
0.2962024808,0.4987839162,0.4269996881,0.3934723139,0.1600653529,1.0,0.1700841337,0.2223026454,0.4670440853,0.168932125,0.401789546,0.2283640951,0.4889465868,0.0,0.4212274849,0.5576473475,0.0034932601,0.1029840708,0.0421273373,0.0397688299,C:\Users\Alessandro\Desktop\bachelor-s-thesis\datasets\DAiSEE\DataSet\Train\310075\3100751008\3100751008.avi,"Lip Pressor, using the muscles: Orbicularis Oris, with a value of 0.5576473475; ",bored,3
0.3193435967,0.4652630985,0.6252068877,0.4640235305,0.1840659082,0.0,0.3773681819,0.2619110942,0.4696353674,0.1808149517,0.2459207922,0.1412283033,0.4687194824,0.0,0.447360456,0.4069066942,0.9351751208,0.3829404712,0.1636512876,0.0947039872,C:\Users\Alessandro\Desktop\bachelor-s-thesis\datasets\DAiSEE\DataSet\Train\200050\2000502051\2000502051.avi,"Lip Part, using the muscles: Depressor Labii Inferioris, with a value of 0.9351751208; ",engaged,1
0.2810425758,0.4918834567,0.5566906929,0.3628431261,0.1837815642,0.0,0.4345409572,0.0949468315,0.4669975638,0.1078392044,0.5363544822,0.2430221587,0.5996052623,0.0,0.4606008232,0.5840956569,0.0010679023,0.1356936842,0.0914328396,0.3389715552,C:\Users\Alessandro\Desktop\bachelor-s-thesis\datasets\DAiSEE\DataSet\Test\510037\5100371023\5100371023.avi,"Dimpler, using the muscles: Buccinator, with a value of 0.5363544822; Chin Raiser, using the muscles: Mentalis, with a value of 0.5996052623; Lip Pressor, using the muscles: Orbicularis Oris, with a value of 0.5840956569; ",engaged,1
0.2741236389,0.3471482992,0.3715199232,0.3227203488,0.2501975894,0.0,0.33679533,0.1571973413,0.4715242684,0.176150009,0.2484207749,0.1399997622,0.5198546052,0.0,0.465660274,0.520034492,0.0221796781,0.0757973641,0.1100957096,0.1216792762,C:\Users\Alessandro\Desktop\bachelor-s-thesis\datasets\DAiSEE\DataSet\Validation\500039\5000391045\5000391045.avi,"Chin Raiser, using the muscles: Mentalis, with a value of 0.5198546052; Lip Pressor, using the muscles: Orbicularis Oris, with a value of 0.520034492; ",bored,3
0.3139240146,0.4054950774,0.3819427192,0.3430437148,0.5612725616,1.0,0.476685375,0.1363414675,0.4930147231,0.5847085714,0.5625537634,0.1909177601,0.6077893972,1.0,0.1724677086,0.566605866,0.0207629204,0.1480808258,0.1163043678,0.4186917543,C:\Users\Alessandro\Desktop\bachelor-s-thesis\datasets\DAiSEE\DataSet\Train\210055\2100552052\2100552052.avi,"Lip Corner Puller, using the muscles: Zygomaticus Major, with a value of 0.5847085714; Dimpler, using the muscles: Buccinator, with a value of 0.5625537634; Chin Raiser, using the muscles: Mentalis, with a value of 0.6077893972; Lip Stretcher, using the muscles: Risorius, Platysma, with a value of 1.0; Lip Pressor, using the muscles: Orbicularis Oris, with a value of 0.566605866; ",engaged,1
0.3073851764,0.4004813731,0.3682879508,0.2983462214,0.2826083302,1.0,0.4075675011,0.944484055,0.4942362607,0.4449681938,0.5685258508,0.2419458181,0.4300750196,1.0,0.4928818047,0.4902144074,0.0518955663,0.2288000584,0.3321419358,0.1595727056,C:\Users\Alessandro\Desktop\bachelor-s-thesis\datasets\DAiSEE\DataSet\Train\210056\2100561065\2100561065.avi,"Upper Lip Raiser, using the muscles: Levator Labii Superioris, with a value of 0.944484055; Dimpler, using the muscles: Buccinator, with a value of 0.5685258508; Lip Stretcher, using the muscles: Risorius, Platysma, with a value of 1.0; ",engaged,1
0.2222836018,0.4169047773,0.5861240029,0.3904932439,0.1206679493,0.0,0.2251650393,0.152390182,0.4656077027,0.0836563483,0.2517816722,0.2379949838,0.5043489933,0.0,0.4729422033,0.4397153556,0.0534229912,0.111751087,0.2129719257,0.0336192921,C:\Users\Alessandro\Desktop\bachelor-s-thesis\datasets\DAiSEE\DataSet\Train\400018\4000181044\4000181044.avi,"Chin Raiser, using the muscles: Mentalis, with a value of 0.5043489933; ",engaged,1
0.3603405356,0.4219894409,0.4334241152,0.4680328965,0.568913877,0.0,0.3936571777,0.8760712147,0.4750075042,0.4213196039,0.3973379433,0.230150193,0.6512928009,0.0,0.2702849209,0.5039240122,0.0404576808,0.0807543397,0.0525551513,0.1440602988,C:\Users\Alessandro\Desktop\bachelor-s-thesis\datasets\DAiSEE\DataSet\Test\510040\5100401045\5100401045.avi,"Upper Lip Raiser, using the muscles: Levator Labii Superioris, with a value of 0.8760712147; Chin Raiser, using the muscles: Mentalis, with a value of 0.6512928009; Lip Pressor, using the muscles: Orbicularis Oris, with a value of 0.5039240122; ",engaged,1
0.3945274353,0.4330069125,0.6016886234,0.6739518046,0.4036813378,0.0,0.2940151989,0.8309602737,0.4754986763,0.2070421875,0.3474409282,0.1372208297,0.6240925789,0.0,0.1851047128,0.5018051863,0.1148949862,0.1838060617,0.0685002431,0.0426737927,C:\Users\Alessandro\Desktop\bachelor-s-thesis\datasets\DAiSEE\DataSet\Train\200054\2000542007\2000542007.avi,"Upper Lip Raiser, using the muscles: Levator Labii Superioris, with a value of 0.8309602737; Chin Raiser, using the muscles: Mentalis, with a value of 0.6240925789; Lip Pressor, using the muscles: Orbicularis Oris, with a value of 0.5018051863; ",engaged,1
