Entry(00000,begin_of_process,engaged,C:\Users\Alessandro\Desktop\bachelor-s-thesis\src\richiesta professore\../datasets/DAiSEE/DataSet/Test/500067/5000672074/5000672074.avi,start,1).
Entry(00000,begin_of_activity,engaged,C:\Users\Alessandro\Desktop\bachelor-s-thesis\src\richiesta professore\../datasets/DAiSEE/DataSet/Test/500067/5000672074/5000672074.avi,AU01,0).
Entry(00100,end_of_activity,engaged,C:\Users\Alessandro\Desktop\bachelor-s-thesis\src\richiesta professore\../datasets/DAiSEE/DataSet/Test/500067/5000672074/5000672074.avi,AU01,0).
Entry(00200,begin_of_activity,engaged,C:\Users\Alessandro\Desktop\bachelor-s-thesis\src\richiesta professore\../datasets/DAiSEE/DataSet/Test/500067/5000672074/5000672074.avi,AU01,1).
Entry(00300,end_of_activity,engaged,C:\Users\Alessandro\Desktop\bachelor-s-thesis\src\richiesta professore\../datasets/DAiSEE/DataSet/Test/500067/5000672074/5000672074.avi,AU01,1).
Entry(00400,begin_of_activity,engaged,C:\Users\Alessandro\Desktop\bachelor-s-thesis\src\richiesta professore\../datasets/DAiSEE/DataSet/Test/500067/5000672074/5000672074.avi,AU01,2).
Entry(00500,end_of_activity,engaged,C:\Users\Alessandro\Desktop\bachelor-s-thesis\src\richiesta professore\../datasets/DAiSEE/DataSet/Test/500067/5000672074/5000672074.avi,AU01,2).
Entry(00600,begin_of_activity,engaged,C:\Users\Alessandro\Desktop\bachelor-s-thesis\src\richiesta professore\../datasets/DAiSEE/DataSet/Test/500067/5000672074/5000672074.avi,AU01,3).
Entry(00700,end_of_activity,engaged,C:\Users\Alessandro\Desktop\bachelor-s-thesis\src\richiesta professore\../datasets/DAiSEE/DataSet/Test/500067/5000672074/5000672074.avi,AU01,3).
Entry(00900,begin_of_activity,engaged,C:\Users\Alessandro\Desktop\bachelor-s-thesis\src\richiesta professore\../datasets/DAiSEE/DataSet/Test/500067/5000672074/5000672074.avi,AU01,4).
Entry(01000,end_of_activity,engaged,C:\Users\Alessandro\Desktop\bachelor-s-thesis\src\richiesta professore\../datasets/DAiSEE/DataSet/Test/500067/5000672074/5000672074.avi,AU01,4).
Entry(01800,begin_of_activity,engaged,C:\Users\Alessandro\Desktop\bachelor-s-thesis\src\richiesta professore\../datasets/DAiSEE/DataSet/Test/500067/5000672074/5000672074.avi,AU01,5).
Entry(01900,end_of_activity,engaged,C:\Users\Alessandro\Desktop\bachelor-s-thesis\src\richiesta professore\../datasets/DAiSEE/DataSet/Test/500067/5000672074/5000672074.avi,AU01,5).
Entry(02000,begin_of_activity,engaged,C:\Users\Alessandro\Desktop\bachelor-s-thesis\src\richiesta professore\../datasets/DAiSEE/DataSet/Test/500067/5000672074/5000672074.avi,AU01,6).
Entry(02100,end_of_activity,engaged,C:\Users\Alessandro\Desktop\bachelor-s-thesis\src\richiesta professore\../datasets/DAiSEE/DataSet/Test/500067/5000672074/5000672074.avi,AU01,6).
Entry(02200,begin_of_activity,engaged,C:\Users\Alessandro\Desktop\bachelor-s-thesis\src\richiesta professore\../datasets/DAiSEE/DataSet/Test/500067/5000672074/5000672074.avi,AU01,7).
Entry(02300,end_of_activity,engaged,C:\Users\Alessandro\Desktop\bachelor-s-thesis\src\richiesta professore\../datasets/DAiSEE/DataSet/Test/500067/5000672074/5000672074.avi,AU01,7).
Entry(02500,begin_of_activity,engaged,C:\Users\Alessandro\Desktop\bachelor-s-thesis\src\richiesta professore\../datasets/DAiSEE/DataSet/Test/500067/5000672074/5000672074.avi,AU01,8).
Entry(02600,end_of_activity,engaged,C:\Users\Alessandro\Desktop\bachelor-s-thesis\src\richiesta professore\../datasets/DAiSEE/DataSet/Test/500067/5000672074/5000672074.avi,AU01,8).
Entry(03600,begin_of_activity,engaged,C:\Users\Alessandro\Desktop\bachelor-s-thesis\src\richiesta professore\../datasets/DAiSEE/DataSet/Test/500067/5000672074/5000672074.avi,AU01,9).
Entry(03700,end_of_activity,engaged,C:\Users\Alessandro\Desktop\bachelor-s-thesis\src\richiesta professore\../datasets/DAiSEE/DataSet/Test/500067/5000672074/5000672074.avi,AU01,9).
Entry(03800,begin_of_activity,engaged,C:\Users\Alessandro\Desktop\bachelor-s-thesis\src\richiesta professore\../datasets/DAiSEE/DataSet/Test/500067/5000672074/5000672074.avi,AU01,10).
Entry(03900,end_of_activity,engaged,C:\Users\Alessandro\Desktop\bachelor-s-thesis\src\richiesta professore\../datasets/DAiSEE/DataSet/Test/500067/5000672074/5000672074.avi,AU01,10).
Entry(04300,begin_of_activity,engaged,C:\Users\Alessandro\Desktop\bachelor-s-thesis\src\richiesta professore\../datasets/DAiSEE/DataSet/Test/500067/5000672074/5000672074.avi,AU01,11).
Entry(04400,end_of_activity,engaged,C:\Users\Alessandro\Desktop\bachelor-s-thesis\src\richiesta professore\../datasets/DAiSEE/DataSet/Test/500067/5000672074/5000672074.avi,AU01,11).
Entry(19700,begin_of_activity,engaged,C:\Users\Alessandro\Desktop\bachelor-s-thesis\src\richiesta professore\../datasets/DAiSEE/DataSet/Test/500067/5000672074/5000672074.avi,AU01,12).
Entry(19800,end_of_activity,engaged,C:\Users\Alessandro\Desktop\bachelor-s-thesis\src\richiesta professore\../datasets/DAiSEE/DataSet/Test/500067/5000672074/5000672074.avi,AU01,12).
