entry(00000,begin_of_process,bored,video8264120121,start,1).
entry(00001,begin_of_activity,bored,video8264120121,au04,1).
entry(00002,begin_of_activity,bored,video8264120121,au05,1).
entry(00003,begin_of_activity,bored,video8264120121,au07,1).
entry(00004,begin_of_activity,bored,video8264120121,au11,1).
entry(00005,begin_of_activity,bored,video8264120121,au14,1).
entry(00006,begin_of_activity,bored,video8264120121,au20,1).
entry(00007,begin_of_activity,bored,video8264120121,au25,1).
entry(00100,end_of_activity,bored,video8264120121,au04,1).
entry(00101,end_of_activity,bored,video8264120121,au05,1).
entry(00102,end_of_activity,bored,video8264120121,au07,1).
entry(00103,begin_of_activity,bored,video8264120121,au10,1).
entry(00104,end_of_activity,bored,video8264120121,au11,1).
entry(00105,end_of_activity,bored,video8264120121,au14,1).
entry(00106,end_of_activity,bored,video8264120121,au20,1).
entry(00107,end_of_activity,bored,video8264120121,au25,1).
entry(00200,begin_of_activity,bored,video8264120121,au05,2).
entry(00201,end_of_activity,bored,video8264120121,au10,1).
entry(00202,begin_of_activity,bored,video8264120121,au14,2).
entry(00203,begin_of_activity,bored,video8264120121,au20,2).
entry(00204,begin_of_activity,bored,video8264120121,au25,2).
entry(00300,end_of_activity,bored,video8264120121,au05,2).
entry(00301,begin_of_activity,bored,video8264120121,au07,2).
entry(00302,begin_of_activity,bored,video8264120121,au11,2).
entry(00303,end_of_activity,bored,video8264120121,au14,2).
entry(00304,begin_of_activity,bored,video8264120121,au17,1).
entry(00305,end_of_activity,bored,video8264120121,au20,2).
entry(00306,end_of_activity,bored,video8264120121,au25,2).
entry(00400,begin_of_activity,bored,video8264120121,au04,2).
entry(00401,begin_of_activity,bored,video8264120121,au05,3).
entry(00402,end_of_activity,bored,video8264120121,au07,2).
entry(00403,end_of_activity,bored,video8264120121,au11,2).
entry(00404,end_of_activity,bored,video8264120121,au17,1).
entry(00405,begin_of_activity,bored,video8264120121,au20,3).
entry(00406,begin_of_activity,bored,video8264120121,au25,3).
entry(00500,end_of_activity,bored,video8264120121,au04,2).
entry(00501,end_of_activity,bored,video8264120121,au05,3).
entry(00502,begin_of_activity,bored,video8264120121,au07,3).
entry(00503,begin_of_activity,bored,video8264120121,au10,2).
entry(00504,end_of_activity,bored,video8264120121,au20,3).
entry(00505,begin_of_activity,bored,video8264120121,au23,1).
entry(00506,end_of_activity,bored,video8264120121,au25,3).
entry(00600,begin_of_activity,bored,video8264120121,au04,3).
entry(00601,begin_of_activity,bored,video8264120121,au05,4).
entry(00602,end_of_activity,bored,video8264120121,au07,3).
entry(00603,end_of_activity,bored,video8264120121,au10,2).
entry(00604,begin_of_activity,bored,video8264120121,au11,3).
entry(00605,begin_of_activity,bored,video8264120121,au20,4).
entry(00606,end_of_activity,bored,video8264120121,au23,1).
entry(00607,begin_of_activity,bored,video8264120121,au25,4).
entry(00700,end_of_activity,bored,video8264120121,au04,3).
entry(00701,end_of_activity,bored,video8264120121,au05,4).
entry(00702,begin_of_activity,bored,video8264120121,au07,4).
entry(00703,end_of_activity,bored,video8264120121,au11,3).
entry(00704,end_of_activity,bored,video8264120121,au20,4).
entry(00705,end_of_activity,bored,video8264120121,au25,4).
entry(00800,begin_of_activity,bored,video8264120121,au04,4).
entry(00801,begin_of_activity,bored,video8264120121,au05,5).
entry(00802,end_of_activity,bored,video8264120121,au07,4).
entry(00803,begin_of_activity,bored,video8264120121,au10,3).
entry(00804,begin_of_activity,bored,video8264120121,au11,4).
entry(00805,begin_of_activity,bored,video8264120121,au20,5).
entry(00806,begin_of_activity,bored,video8264120121,au25,5).
entry(00900,end_of_activity,bored,video8264120121,au04,4).
entry(00901,end_of_activity,bored,video8264120121,au05,5).
entry(00902,begin_of_activity,bored,video8264120121,au07,5).
entry(00903,end_of_activity,bored,video8264120121,au10,3).
entry(00904,end_of_activity,bored,video8264120121,au11,4).
entry(00905,begin_of_activity,bored,video8264120121,au14,3).
entry(00906,end_of_activity,bored,video8264120121,au20,5).
entry(00907,begin_of_activity,bored,video8264120121,au23,2).
entry(00908,end_of_activity,bored,video8264120121,au25,5).
entry(01000,begin_of_activity,bored,video8264120121,au04,5).
entry(01001,end_of_activity,bored,video8264120121,au07,5).
entry(01002,begin_of_activity,bored,video8264120121,au10,4).
entry(01003,end_of_activity,bored,video8264120121,au14,3).
entry(01004,begin_of_activity,bored,video8264120121,au20,6).
entry(01005,end_of_activity,bored,video8264120121,au23,2).
entry(01006,begin_of_activity,bored,video8264120121,au24,1).
entry(01007,begin_of_activity,bored,video8264120121,au25,6).
entry(01100,end_of_activity,bored,video8264120121,au04,5).
entry(01101,begin_of_activity,bored,video8264120121,au07,6).
entry(01102,end_of_activity,bored,video8264120121,au10,4).
entry(01103,begin_of_activity,bored,video8264120121,au11,5).
entry(01104,begin_of_activity,bored,video8264120121,au14,4).
entry(01105,end_of_activity,bored,video8264120121,au20,6).
entry(01106,begin_of_activity,bored,video8264120121,au23,3).
entry(01107,end_of_activity,bored,video8264120121,au24,1).
entry(01108,end_of_activity,bored,video8264120121,au25,6).
entry(01109,begin_of_activity,bored,video8264120121,au26,1).
entry(01110,begin_of_activity,bored,video8264120121,au43,1).
entry(01200,begin_of_activity,bored,video8264120121,au04,6).
entry(01201,end_of_activity,bored,video8264120121,au07,6).
entry(01202,begin_of_activity,bored,video8264120121,au10,5).
entry(01203,end_of_activity,bored,video8264120121,au11,5).
entry(01204,end_of_activity,bored,video8264120121,au14,4).
entry(01205,begin_of_activity,bored,video8264120121,au20,7).
entry(01206,end_of_activity,bored,video8264120121,au23,3).
entry(01207,begin_of_activity,bored,video8264120121,au25,7).
entry(01208,end_of_activity,bored,video8264120121,au26,1).
entry(01209,end_of_activity,bored,video8264120121,au43,1).
entry(01300,end_of_activity,bored,video8264120121,au04,6).
entry(01301,begin_of_activity,bored,video8264120121,au07,7).
entry(01302,end_of_activity,bored,video8264120121,au10,5).
entry(01303,begin_of_activity,bored,video8264120121,au11,6).
entry(01304,begin_of_activity,bored,video8264120121,au14,5).
entry(01305,end_of_activity,bored,video8264120121,au20,7).
entry(01306,begin_of_activity,bored,video8264120121,au23,4).
entry(01307,end_of_activity,bored,video8264120121,au25,7).
entry(01400,end_of_activity,bored,video8264120121,au07,7).
entry(01401,begin_of_activity,bored,video8264120121,au10,6).
entry(01402,end_of_activity,bored,video8264120121,au11,6).
entry(01403,end_of_activity,bored,video8264120121,au14,5).
entry(01404,begin_of_activity,bored,video8264120121,au20,8).
entry(01405,end_of_activity,bored,video8264120121,au23,4).
entry(01406,begin_of_activity,bored,video8264120121,au25,8).
entry(01407,begin_of_activity,bored,video8264120121,au26,2).
entry(01500,begin_of_activity,bored,video8264120121,au07,8).
entry(01501,end_of_activity,bored,video8264120121,au10,6).
entry(01502,end_of_activity,bored,video8264120121,au20,8).
entry(01503,begin_of_activity,bored,video8264120121,au24,2).
entry(01504,end_of_activity,bored,video8264120121,au25,8).
entry(01505,end_of_activity,bored,video8264120121,au26,2).
entry(01600,end_of_activity,bored,video8264120121,au07,8).
entry(01601,begin_of_activity,bored,video8264120121,au11,7).
entry(01602,begin_of_activity,bored,video8264120121,au20,9).
entry(01603,end_of_activity,bored,video8264120121,au24,2).
entry(01604,begin_of_activity,bored,video8264120121,au25,9).
entry(01700,begin_of_activity,bored,video8264120121,au07,9).
entry(01701,end_of_activity,bored,video8264120121,au11,7).
entry(01702,end_of_activity,bored,video8264120121,au20,9).
entry(01703,end_of_activity,bored,video8264120121,au25,9).
entry(01800,begin_of_activity,bored,video8264120121,au04,7).
entry(01801,end_of_activity,bored,video8264120121,au07,9).
entry(01802,begin_of_activity,bored,video8264120121,au11,8).
entry(01803,begin_of_activity,bored,video8264120121,au20,10).
entry(01804,begin_of_activity,bored,video8264120121,au25,10).
entry(01900,end_of_activity,bored,video8264120121,au04,7).
entry(01901,begin_of_activity,bored,video8264120121,au10,7).
entry(01902,end_of_activity,bored,video8264120121,au11,8).
