entry(00000,begin_of_process,frustrated,video9289010113,start,1).
entry(00001,begin_of_activity,frustrated,video9289010113,au04,1).
entry(00002,begin_of_activity,frustrated,video9289010113,au07,1).
entry(00003,begin_of_activity,frustrated,video9289010113,au10,1).
entry(00004,begin_of_activity,frustrated,video9289010113,au17,1).
entry(00005,begin_of_activity,frustrated,video9289010113,au23,1).
entry(00006,begin_of_activity,frustrated,video9289010113,au43,1).
entry(00100,begin_of_activity,frustrated,video9289010113,au02,1).
entry(00101,end_of_activity,frustrated,video9289010113,au04,1).
entry(00102,end_of_activity,frustrated,video9289010113,au07,1).
entry(00103,end_of_activity,frustrated,video9289010113,au10,1).
entry(00104,begin_of_activity,frustrated,video9289010113,au11,1).
entry(00105,end_of_activity,frustrated,video9289010113,au17,1).
entry(00106,end_of_activity,frustrated,video9289010113,au23,1).
entry(00107,begin_of_activity,frustrated,video9289010113,au24,1).
entry(00108,end_of_activity,frustrated,video9289010113,au43,1).
entry(00200,end_of_activity,frustrated,video9289010113,au02,1).
entry(00201,begin_of_activity,frustrated,video9289010113,au04,2).
entry(00202,begin_of_activity,frustrated,video9289010113,au07,2).
entry(00203,begin_of_activity,frustrated,video9289010113,au09,1).
entry(00204,end_of_activity,frustrated,video9289010113,au11,1).
entry(00205,begin_of_activity,frustrated,video9289010113,au17,2).
entry(00206,begin_of_activity,frustrated,video9289010113,au23,2).
entry(00207,end_of_activity,frustrated,video9289010113,au24,1).
entry(00208,begin_of_activity,frustrated,video9289010113,au43,2).
entry(00300,end_of_activity,frustrated,video9289010113,au04,2).
entry(00301,end_of_activity,frustrated,video9289010113,au07,2).
entry(00302,end_of_activity,frustrated,video9289010113,au09,1).
entry(00303,begin_of_activity,frustrated,video9289010113,au10,2).
entry(00304,end_of_activity,frustrated,video9289010113,au17,2).
entry(00305,end_of_activity,frustrated,video9289010113,au23,2).
entry(00306,begin_of_activity,frustrated,video9289010113,au24,2).
entry(00307,end_of_activity,frustrated,video9289010113,au43,2).
entry(00400,begin_of_activity,frustrated,video9289010113,au07,3).
entry(00401,end_of_activity,frustrated,video9289010113,au10,2).
entry(00402,begin_of_activity,frustrated,video9289010113,au17,3).
entry(00403,begin_of_activity,frustrated,video9289010113,au23,3).
entry(00404,end_of_activity,frustrated,video9289010113,au24,2).
entry(00405,begin_of_activity,frustrated,video9289010113,au43,3).
entry(00500,begin_of_activity,frustrated,video9289010113,au02,2).
entry(00501,begin_of_activity,frustrated,video9289010113,au04,3).
entry(00502,end_of_activity,frustrated,video9289010113,au07,3).
entry(00503,begin_of_activity,frustrated,video9289010113,au11,2).
entry(00504,begin_of_activity,frustrated,video9289010113,au14,1).
entry(00505,end_of_activity,frustrated,video9289010113,au17,3).
entry(00506,end_of_activity,frustrated,video9289010113,au23,3).
entry(00507,begin_of_activity,frustrated,video9289010113,au24,3).
entry(00508,end_of_activity,frustrated,video9289010113,au43,3).
entry(00600,end_of_activity,frustrated,video9289010113,au02,2).
entry(00601,end_of_activity,frustrated,video9289010113,au04,3).
entry(00602,begin_of_activity,frustrated,video9289010113,au09,2).
entry(00603,end_of_activity,frustrated,video9289010113,au11,2).
entry(00604,end_of_activity,frustrated,video9289010113,au14,1).
entry(00605,begin_of_activity,frustrated,video9289010113,au17,4).
entry(00606,begin_of_activity,frustrated,video9289010113,au23,4).
entry(00607,end_of_activity,frustrated,video9289010113,au24,3).
entry(00608,begin_of_activity,frustrated,video9289010113,au43,4).
entry(00700,begin_of_activity,frustrated,video9289010113,au04,4).
entry(00701,begin_of_activity,frustrated,video9289010113,au07,4).
entry(00702,end_of_activity,frustrated,video9289010113,au09,2).
entry(00703,end_of_activity,frustrated,video9289010113,au17,4).
entry(00704,end_of_activity,frustrated,video9289010113,au23,4).
entry(00705,begin_of_activity,frustrated,video9289010113,au24,4).
entry(00706,end_of_activity,frustrated,video9289010113,au43,4).
entry(00800,begin_of_activity,frustrated,video9289010113,au02,3).
entry(00801,end_of_activity,frustrated,video9289010113,au04,4).
entry(00802,end_of_activity,frustrated,video9289010113,au07,4).
entry(00803,begin_of_activity,frustrated,video9289010113,au11,3).
entry(00804,begin_of_activity,frustrated,video9289010113,au17,5).
entry(00805,end_of_activity,frustrated,video9289010113,au24,4).
entry(00806,begin_of_activity,frustrated,video9289010113,au43,5).
entry(00900,end_of_activity,frustrated,video9289010113,au02,3).
entry(00901,begin_of_activity,frustrated,video9289010113,au04,5).
entry(00902,begin_of_activity,frustrated,video9289010113,au07,5).
entry(00903,begin_of_activity,frustrated,video9289010113,au10,3).
entry(00904,end_of_activity,frustrated,video9289010113,au11,3).
entry(00905,end_of_activity,frustrated,video9289010113,au17,5).
entry(00906,begin_of_activity,frustrated,video9289010113,au23,5).
entry(00907,begin_of_activity,frustrated,video9289010113,au24,5).
entry(00908,end_of_activity,frustrated,video9289010113,au43,5).
entry(01000,end_of_activity,frustrated,video9289010113,au04,5).
entry(01001,end_of_activity,frustrated,video9289010113,au07,5).
entry(01002,end_of_activity,frustrated,video9289010113,au10,3).
entry(01003,begin_of_activity,frustrated,video9289010113,au11,4).
entry(01004,begin_of_activity,frustrated,video9289010113,au17,6).
entry(01005,end_of_activity,frustrated,video9289010113,au23,5).
entry(01006,end_of_activity,frustrated,video9289010113,au24,5).
entry(01007,begin_of_activity,frustrated,video9289010113,au43,6).
entry(01100,begin_of_activity,frustrated,video9289010113,au02,4).
entry(01101,begin_of_activity,frustrated,video9289010113,au04,6).
entry(01102,end_of_activity,frustrated,video9289010113,au11,4).
entry(01103,end_of_activity,frustrated,video9289010113,au17,6).
entry(01104,begin_of_activity,frustrated,video9289010113,au23,6).
entry(01105,begin_of_activity,frustrated,video9289010113,au24,6).
entry(01106,end_of_activity,frustrated,video9289010113,au43,6).
entry(01200,end_of_activity,frustrated,video9289010113,au02,4).
entry(01201,end_of_activity,frustrated,video9289010113,au04,6).
entry(01202,begin_of_activity,frustrated,video9289010113,au10,4).
entry(01203,begin_of_activity,frustrated,video9289010113,au15,1).
entry(01204,begin_of_activity,frustrated,video9289010113,au17,7).
entry(01205,end_of_activity,frustrated,video9289010113,au23,6).
entry(01206,end_of_activity,frustrated,video9289010113,au24,6).
entry(01207,begin_of_activity,frustrated,video9289010113,au43,7).
entry(01300,begin_of_activity,frustrated,video9289010113,au04,7).
entry(01301,begin_of_activity,frustrated,video9289010113,au07,6).
entry(01302,end_of_activity,frustrated,video9289010113,au10,4).
entry(01303,end_of_activity,frustrated,video9289010113,au15,1).
