entry(00000,begin_of_process,engaged,video9289010216,start,1).
entry(00000,begin_of_activity,engaged,video9289010216,au04,0).
entry(00000,begin_of_activity,engaged,video9289010216,au24,0).
entry(00100,end_of_activity,engaged,video9289010216,au04,0).
entry(00100,begin_of_activity,engaged,video9289010216,au07,0).
entry(00100,begin_of_activity,engaged,video9289010216,au10,0).
entry(00100,end_of_activity,engaged,video9289010216,au24,0).
entry(00200,end_of_activity,engaged,video9289010216,au07,0).
entry(00200,end_of_activity,engaged,video9289010216,au10,0).
entry(00200,begin_of_activity,engaged,video9289010216,au17,0).
entry(00200,begin_of_activity,engaged,video9289010216,au23,0).
entry(00300,begin_of_activity,engaged,video9289010216,au04,0).
entry(00300,begin_of_activity,engaged,video9289010216,au10,0).
entry(00300,end_of_activity,engaged,video9289010216,au17,0).
entry(00300,end_of_activity,engaged,video9289010216,au23,0).
entry(00300,begin_of_activity,engaged,video9289010216,au24,0).
entry(00400,end_of_activity,engaged,video9289010216,au04,0).
entry(00400,end_of_activity,engaged,video9289010216,au10,0).
entry(00400,end_of_activity,engaged,video9289010216,au24,0).
entry(00500,begin_of_activity,engaged,video9289010216,au04,0).
entry(00500,begin_of_activity,engaged,video9289010216,au10,0).
entry(00500,begin_of_activity,engaged,video9289010216,au23,0).
entry(00500,begin_of_activity,engaged,video9289010216,au24,0).
entry(00500,begin_of_activity,engaged,video9289010216,au25,0).
entry(00600,end_of_activity,engaged,video9289010216,au04,0).
entry(00600,begin_of_activity,engaged,video9289010216,au07,0).
entry(00600,end_of_activity,engaged,video9289010216,au10,0).
entry(00600,end_of_activity,engaged,video9289010216,au23,0).
entry(00600,end_of_activity,engaged,video9289010216,au24,0).
entry(00600,end_of_activity,engaged,video9289010216,au25,0).
entry(00700,begin_of_activity,engaged,video9289010216,au04,0).
entry(00700,end_of_activity,engaged,video9289010216,au07,0).
entry(00700,begin_of_activity,engaged,video9289010216,au10,0).
entry(00800,end_of_activity,engaged,video9289010216,au04,0).
entry(00800,begin_of_activity,engaged,video9289010216,au07,0).
entry(00800,end_of_activity,engaged,video9289010216,au10,0).
entry(00900,begin_of_activity,engaged,video9289010216,au04,0).
entry(00900,end_of_activity,engaged,video9289010216,au07,0).
entry(00900,begin_of_activity,engaged,video9289010216,au10,0).
entry(01000,end_of_activity,engaged,video9289010216,au04,0).
entry(01000,begin_of_activity,engaged,video9289010216,au07,0).
entry(01000,end_of_activity,engaged,video9289010216,au10,0).
entry(01000,begin_of_activity,engaged,video9289010216,au23,0).
entry(01100,begin_of_activity,engaged,video9289010216,au04,0).
entry(01100,end_of_activity,engaged,video9289010216,au07,0).
entry(01100,begin_of_activity,engaged,video9289010216,au10,0).
entry(01100,end_of_activity,engaged,video9289010216,au23,0).
entry(01200,end_of_activity,engaged,video9289010216,au04,0).
entry(01200,end_of_activity,engaged,video9289010216,au10,0).
entry(01200,begin_of_activity,engaged,video9289010216,au14,0).
entry(01200,begin_of_activity,engaged,video9289010216,au25,0).
entry(01300,begin_of_activity,engaged,video9289010216,au04,0).
entry(01300,begin_of_activity,engaged,video9289010216,au10,0).
entry(01300,end_of_activity,engaged,video9289010216,au14,0).
entry(01300,end_of_activity,engaged,video9289010216,au25,0).
entry(01400,end_of_activity,engaged,video9289010216,au04,0).
entry(01400,begin_of_activity,engaged,video9289010216,au07,0).
entry(01400,end_of_activity,engaged,video9289010216,au10,0).
entry(01400,begin_of_activity,engaged,video9289010216,au14,0).
entry(01500,begin_of_activity,engaged,video9289010216,au04,0).
entry(01500,end_of_activity,engaged,video9289010216,au07,0).
entry(01500,end_of_activity,engaged,video9289010216,au14,0).
entry(01500,begin_of_activity,engaged,video9289010216,au24,0).
entry(01600,end_of_activity,engaged,video9289010216,au04,0).
entry(01600,begin_of_activity,engaged,video9289010216,au07,0).
entry(01600,begin_of_activity,engaged,video9289010216,au10,0).
entry(01600,begin_of_activity,engaged,video9289010216,au17,0).
entry(01600,begin_of_activity,engaged,video9289010216,au23,0).
entry(01600,end_of_activity,engaged,video9289010216,au24,0).
entry(01600,begin_of_activity,engaged,video9289010216,au25,0).
entry(01700,begin_of_activity,engaged,video9289010216,au04,0).
entry(01700,end_of_activity,engaged,video9289010216,au07,0).
entry(01700,end_of_activity,engaged,video9289010216,au10,0).
entry(01700,end_of_activity,engaged,video9289010216,au17,0).
entry(01700,end_of_activity,engaged,video9289010216,au23,0).
entry(01700,end_of_activity,engaged,video9289010216,au25,0).
entry(01800,end_of_activity,engaged,video9289010216,au04,0).
entry(01800,begin_of_activity,engaged,video9289010216,au07,0).
entry(01800,begin_of_activity,engaged,video9289010216,au10,0).
entry(01800,begin_of_activity,engaged,video9289010216,au25,0).
entry(01900,begin_of_activity,engaged,video9289010216,au04,0).
entry(01900,end_of_activity,engaged,video9289010216,au07,0).
entry(01900,end_of_activity,engaged,video9289010216,au10,0).
entry(01900,begin_of_activity,engaged,video9289010216,au24,0).
entry(01900,end_of_activity,engaged,video9289010216,au25,0).
entry(02000,end_of_activity,engaged,video9289010216,au04,0).
entry(02000,begin_of_activity,engaged,video9289010216,au10,0).
entry(02000,begin_of_activity,engaged,video9289010216,au17,0).
entry(02000,end_of_activity,engaged,video9289010216,au24,0).
entry(02100,begin_of_activity,engaged,video9289010216,au04,0).
entry(02100,end_of_activity,engaged,video9289010216,au10,0).
entry(02100,end_of_activity,engaged,video9289010216,au17,0).
entry(02200,end_of_activity,engaged,video9289010216,au04,0).
entry(02200,begin_of_activity,engaged,video9289010216,au10,0).
entry(02200,begin_of_activity,engaged,video9289010216,au17,0).
entry(02200,begin_of_activity,engaged,video9289010216,au23,0).
entry(02300,begin_of_activity,engaged,video9289010216,au04,0).
entry(02300,begin_of_activity,engaged,video9289010216,au07,0).
entry(02300,end_of_activity,engaged,video9289010216,au10,0).
entry(02300,end_of_activity,engaged,video9289010216,au17,0).
entry(02300,end_of_activity,engaged,video9289010216,au23,0).
entry(02300,begin_of_activity,engaged,video9289010216,au24,0).
entry(02400,end_of_activity,engaged,video9289010216,au04,0).
entry(02400,end_of_activity,engaged,video9289010216,au07,0).
entry(02400,end_of_activity,engaged,video9289010216,au24,0).
entry(02500,begin_of_activity,engaged,video9289010216,au04,0).
entry(02500,begin_of_activity,engaged,video9289010216,au10,0).
entry(02500,begin_of_activity,engaged,video9289010216,au25,0).
entry(02600,end_of_activity,engaged,video9289010216,au04,0).
entry(02600,begin_of_activity,engaged,video9289010216,au07,0).
entry(02600,end_of_activity,engaged,video9289010216,au10,0).
entry(02600,begin_of_activity,engaged,video9289010216,au23,0).
entry(02600,end_of_activity,engaged,video9289010216,au25,0).
entry(02700,begin_of_activity,engaged,video9289010216,au04,0).
entry(02700,end_of_activity,engaged,video9289010216,au07,0).
entry(02700,begin_of_activity,engaged,video9289010216,au10,0).
entry(02700,end_of_activity,engaged,video9289010216,au23,0).
entry(02800,end_of_activity,engaged,video9289010216,au04,0).
entry(02800,end_of_activity,engaged,video9289010216,au10,0).
entry(03000,begin_of_activity,engaged,video9289010216,au04,0).
entry(03000,begin_of_activity,engaged,video9289010216,au07,0).
entry(03000,begin_of_activity,engaged,video9289010216,au10,0).
entry(03000,begin_of_activity,engaged,video9289010216,au14,0).
entry(03100,end_of_activity,engaged,video9289010216,au04,0).
entry(03100,end_of_activity,engaged,video9289010216,au07,0).
entry(03100,end_of_activity,engaged,video9289010216,au10,0).
entry(03100,end_of_activity,engaged,video9289010216,au14,0).
entry(03100,begin_of_activity,engaged,video9289010216,au23,0).
entry(03100,begin_of_activity,engaged,video9289010216,au25,0).
entry(03200,begin_of_activity,engaged,video9289010216,au07,0).
entry(03200,end_of_activity,engaged,video9289010216,au23,0).
entry(03200,end_of_activity,engaged,video9289010216,au25,0).
entry(03300,end_of_activity,engaged,video9289010216,au07,0).
entry(03300,begin_of_activity,engaged,video9289010216,au10,0).
entry(03300,begin_of_activity,engaged,video9289010216,au14,0).
entry(03400,begin_of_activity,engaged,video9289010216,au07,0).
entry(03400,end_of_activity,engaged,video9289010216,au10,0).
entry(03400,end_of_activity,engaged,video9289010216,au14,0).
entry(03400,begin_of_activity,engaged,video9289010216,au23,0).
entry(03500,end_of_activity,engaged,video9289010216,au07,0).
entry(03500,begin_of_activity,engaged,video9289010216,au10,0).
entry(03500,end_of_activity,engaged,video9289010216,au23,0).
entry(03600,begin_of_activity,engaged,video9289010216,au04,0).
entry(03600,end_of_activity,engaged,video9289010216,au10,0).
entry(03700,end_of_activity,engaged,video9289010216,au04,0).
entry(03700,begin_of_activity,engaged,video9289010216,au10,0).
entry(03700,begin_of_activity,engaged,video9289010216,au24,0).
entry(03800,begin_of_activity,engaged,video9289010216,au04,0).
entry(03800,end_of_activity,engaged,video9289010216,au10,0).
entry(03800,begin_of_activity,engaged,video9289010216,au17,0).
entry(03800,end_of_activity,engaged,video9289010216,au24,0).
entry(03900,end_of_activity,engaged,video9289010216,au04,0).
entry(03900,begin_of_activity,engaged,video9289010216,au10,0).
entry(03900,end_of_activity,engaged,video9289010216,au17,0).
entry(04000,begin_of_activity,engaged,video9289010216,au04,0).
entry(04000,end_of_activity,engaged,video9289010216,au10,0).
entry(04100,end_of_activity,engaged,video9289010216,au04,0).
entry(04100,begin_of_activity,engaged,video9289010216,au10,0).
entry(04200,begin_of_activity,engaged,video9289010216,au04,0).
entry(04200,end_of_activity,engaged,video9289010216,au10,0).
entry(04200,begin_of_activity,engaged,video9289010216,au17,0).
entry(04300,end_of_activity,engaged,video9289010216,au04,0).
entry(04300,begin_of_activity,engaged,video9289010216,au07,0).
entry(04300,end_of_activity,engaged,video9289010216,au17,0).
entry(04400,begin_of_activity,engaged,video9289010216,au04,0).
entry(04400,end_of_activity,engaged,video9289010216,au07,0).
entry(04400,begin_of_activity,engaged,video9289010216,au10,0).
entry(04500,end_of_activity,engaged,video9289010216,au04,0).
entry(04500,end_of_activity,engaged,video9289010216,au10,0).
entry(04500,begin_of_activity,engaged,video9289010216,au23,0).
entry(04500,begin_of_activity,engaged,video9289010216,au25,0).
entry(04600,begin_of_activity,engaged,video9289010216,au10,0).
entry(04600,end_of_activity,engaged,video9289010216,au23,0).
entry(04600,end_of_activity,engaged,video9289010216,au25,0).
entry(04700,begin_of_activity,engaged,video9289010216,au07,0).
entry(04700,end_of_activity,engaged,video9289010216,au10,0).
entry(04700,begin_of_activity,engaged,video9289010216,au25,0).
entry(04800,end_of_activity,engaged,video9289010216,au07,0).
entry(04800,begin_of_activity,engaged,video9289010216,au10,0).
entry(04800,end_of_activity,engaged,video9289010216,au25,0).
entry(04900,begin_of_activity,engaged,video9289010216,au04,0).
entry(04900,end_of_activity,engaged,video9289010216,au10,0).
entry(05000,end_of_activity,engaged,video9289010216,au04,0).
entry(05000,begin_of_activity,engaged,video9289010216,au07,0).
entry(05000,begin_of_activity,engaged,video9289010216,au10,0).
entry(05000,begin_of_activity,engaged,video9289010216,au14,0).
entry(05000,begin_of_activity,engaged,video9289010216,au17,0).
entry(05100,begin_of_activity,engaged,video9289010216,au04,0).
entry(05100,end_of_activity,engaged,video9289010216,au07,0).
entry(05100,end_of_activity,engaged,video9289010216,au10,0).
entry(05100,end_of_activity,engaged,video9289010216,au14,0).
entry(05100,end_of_activity,engaged,video9289010216,au17,0).
entry(05100,begin_of_activity,engaged,video9289010216,au24,0).
entry(05100,begin_of_activity,engaged,video9289010216,au25,0).
entry(05200,end_of_activity,engaged,video9289010216,au04,0).
entry(05200,end_of_activity,engaged,video9289010216,au24,0).
entry(05200,end_of_activity,engaged,video9289010216,au25,0).
entry(05300,begin_of_activity,engaged,video9289010216,au04,0).
entry(05300,begin_of_activity,engaged,video9289010216,au07,0).
entry(05300,begin_of_activity,engaged,video9289010216,au10,0).
entry(05400,end_of_activity,engaged,video9289010216,au04,0).
entry(05400,end_of_activity,engaged,video9289010216,au07,0).
entry(05400,end_of_activity,engaged,video9289010216,au10,0).
entry(05500,begin_of_activity,engaged,video9289010216,au07,0).
entry(05500,begin_of_activity,engaged,video9289010216,au09,0).
entry(05500,begin_of_activity,engaged,video9289010216,au10,0).
entry(05500,begin_of_activity,engaged,video9289010216,au14,0).
entry(05500,begin_of_activity,engaged,video9289010216,au17,0).
entry(05500,begin_of_activity,engaged,video9289010216,au24,0).
entry(05600,begin_of_activity,engaged,video9289010216,au04,0).
entry(05600,end_of_activity,engaged,video9289010216,au07,0).
entry(05600,end_of_activity,engaged,video9289010216,au09,0).
entry(05600,end_of_activity,engaged,video9289010216,au10,0).
entry(05600,end_of_activity,engaged,video9289010216,au14,0).
entry(05600,end_of_activity,engaged,video9289010216,au17,0).
entry(05600,end_of_activity,engaged,video9289010216,au24,0).
entry(05700,end_of_activity,engaged,video9289010216,au04,0).
entry(05700,begin_of_activity,engaged,video9289010216,au10,0).
entry(05800,begin_of_activity,engaged,video9289010216,au04,0).
entry(05800,end_of_activity,engaged,video9289010216,au10,0).
entry(05800,begin_of_activity,engaged,video9289010216,au23,0).
entry(05800,begin_of_activity,engaged,video9289010216,au24,0).
entry(05900,end_of_activity,engaged,video9289010216,au04,0).
entry(05900,begin_of_activity,engaged,video9289010216,au10,0).
entry(05900,begin_of_activity,engaged,video9289010216,au17,0).
entry(05900,end_of_activity,engaged,video9289010216,au23,0).
entry(05900,end_of_activity,engaged,video9289010216,au24,0).
entry(06000,begin_of_activity,engaged,video9289010216,au04,0).
entry(06000,end_of_activity,engaged,video9289010216,au10,0).
entry(06000,end_of_activity,engaged,video9289010216,au17,0).
entry(06000,begin_of_activity,engaged,video9289010216,au23,0).
entry(06000,begin_of_activity,engaged,video9289010216,au24,0).
entry(06100,end_of_activity,engaged,video9289010216,au04,0).
entry(06100,begin_of_activity,engaged,video9289010216,au07,0).
