entry(00000,begin_of_process,confused,video987736015,start,1).
entry(00100,begin_of_activity,confused,video987736015,au02,1).
entry(00101,begin_of_activity,confused,video987736015,au24,1).
entry(00200,end_of_activity,confused,video987736015,au02,1).
entry(00201,begin_of_activity,confused,video987736015,au14,1).
entry(00202,begin_of_activity,confused,video987736015,au23,1).
entry(00203,end_of_activity,confused,video987736015,au24,1).
entry(00300,begin_of_activity,confused,video987736015,au07,1).
entry(00301,end_of_activity,confused,video987736015,au14,1).
entry(00302,end_of_activity,confused,video987736015,au23,1).
entry(00303,begin_of_activity,confused,video987736015,au24,2).
entry(00400,end_of_activity,confused,video987736015,au07,1).
entry(00401,begin_of_activity,confused,video987736015,au17,1).
entry(00402,begin_of_activity,confused,video987736015,au23,2).
entry(00403,end_of_activity,confused,video987736015,au24,2).
entry(00500,begin_of_activity,confused,video987736015,au04,1).
entry(00501,begin_of_activity,confused,video987736015,au07,2).
entry(00502,end_of_activity,confused,video987736015,au17,1).
entry(00503,end_of_activity,confused,video987736015,au23,2).
entry(00600,end_of_activity,confused,video987736015,au04,1).
entry(00601,end_of_activity,confused,video987736015,au07,2).
entry(00602,begin_of_activity,confused,video987736015,au14,2).
entry(00603,begin_of_activity,confused,video987736015,au23,3).
entry(00700,begin_of_activity,confused,video987736015,au07,3).
entry(00701,end_of_activity,confused,video987736015,au14,2).
entry(00702,begin_of_activity,confused,video987736015,au17,2).
entry(00703,end_of_activity,confused,video987736015,au23,3).
entry(00704,begin_of_activity,confused,video987736015,au24,3).
entry(00800,end_of_activity,confused,video987736015,au07,3).
entry(00801,end_of_activity,confused,video987736015,au17,2).
entry(00802,end_of_activity,confused,video987736015,au24,3).
entry(00900,begin_of_activity,confused,video987736015,au04,2).
entry(00901,begin_of_activity,confused,video987736015,au24,4).
entry(01000,end_of_activity,confused,video987736015,au04,2).
entry(01001,begin_of_activity,confused,video987736015,au23,4).
entry(01002,end_of_activity,confused,video987736015,au24,4).
entry(01100,begin_of_activity,confused,video987736015,au04,3).
entry(01101,begin_of_activity,confused,video987736015,au17,3).
entry(01102,end_of_activity,confused,video987736015,au23,4).
entry(01103,begin_of_activity,confused,video987736015,au24,5).
entry(01200,end_of_activity,confused,video987736015,au04,3).
entry(01201,end_of_activity,confused,video987736015,au17,3).
entry(01202,end_of_activity,confused,video987736015,au24,5).
