entry(00000,begin_of_process,bored,video2000502019,start,1).
entry(00001,begin_of_activity,bored,video2000502019,au01,1).
entry(00002,begin_of_activity,bored,video2000502019,au15,1).
entry(00003,begin_of_activity,bored,video2000502019,au17,1).
entry(00004,begin_of_activity,bored,video2000502019,au23,1).
entry(00005,begin_of_activity,bored,video2000502019,au25,1).
entry(00100,end_of_activity,bored,video2000502019,au01,1).
entry(00101,begin_of_activity,bored,video2000502019,au02,1).
entry(00102,begin_of_activity,bored,video2000502019,au04,1).
entry(00103,end_of_activity,bored,video2000502019,au15,1).
entry(00104,end_of_activity,bored,video2000502019,au17,1).
entry(00105,end_of_activity,bored,video2000502019,au23,1).
entry(00106,end_of_activity,bored,video2000502019,au25,1).
entry(00200,end_of_activity,bored,video2000502019,au02,1).
entry(00201,end_of_activity,bored,video2000502019,au04,1).
entry(00202,begin_of_activity,bored,video2000502019,au25,2).
entry(00300,begin_of_activity,bored,video2000502019,au02,2).
entry(00301,begin_of_activity,bored,video2000502019,au17,2).
entry(00302,end_of_activity,bored,video2000502019,au25,2).
entry(00400,end_of_activity,bored,video2000502019,au02,2).
entry(00401,begin_of_activity,bored,video2000502019,au10,1).
entry(00402,end_of_activity,bored,video2000502019,au17,2).
entry(00403,begin_of_activity,bored,video2000502019,au25,3).
entry(00500,end_of_activity,bored,video2000502019,au10,1).
entry(00501,begin_of_activity,bored,video2000502019,au17,3).
entry(00502,end_of_activity,bored,video2000502019,au25,3).
entry(00600,end_of_activity,bored,video2000502019,au17,3).
entry(00601,begin_of_activity,bored,video2000502019,au25,4).
entry(00700,begin_of_activity,bored,video2000502019,au02,3).
entry(00701,begin_of_activity,bored,video2000502019,au04,2).
entry(00702,end_of_activity,bored,video2000502019,au25,4).
entry(00800,end_of_activity,bored,video2000502019,au02,3).
entry(00801,end_of_activity,bored,video2000502019,au04,2).
entry(00802,begin_of_activity,bored,video2000502019,au07,1).
entry(00803,begin_of_activity,bored,video2000502019,au17,4).
entry(00804,begin_of_activity,bored,video2000502019,au24,1).
entry(00900,begin_of_activity,bored,video2000502019,au01,2).
entry(00901,begin_of_activity,bored,video2000502019,au02,4).
entry(00902,end_of_activity,bored,video2000502019,au07,1).
entry(00903,end_of_activity,bored,video2000502019,au17,4).
entry(00904,end_of_activity,bored,video2000502019,au24,1).
entry(00905,begin_of_activity,bored,video2000502019,au25,5).
entry(00906,begin_of_activity,bored,video2000502019,au43,1).
entry(01000,end_of_activity,bored,video2000502019,au01,2).
entry(01001,end_of_activity,bored,video2000502019,au02,4).
entry(01002,begin_of_activity,bored,video2000502019,au10,2).
entry(01003,begin_of_activity,bored,video2000502019,au17,5).
entry(01004,end_of_activity,bored,video2000502019,au25,5).
entry(01005,end_of_activity,bored,video2000502019,au43,1).
entry(01100,begin_of_activity,bored,video2000502019,au01,3).
entry(01101,begin_of_activity,bored,video2000502019,au02,5).
entry(01102,end_of_activity,bored,video2000502019,au10,2).
entry(01103,end_of_activity,bored,video2000502019,au17,5).
entry(01104,begin_of_activity,bored,video2000502019,au25,6).
entry(01105,begin_of_activity,bored,video2000502019,au43,2).
entry(01200,end_of_activity,bored,video2000502019,au01,3).
entry(01201,end_of_activity,bored,video2000502019,au02,5).
entry(01202,begin_of_activity,bored,video2000502019,au04,3).
entry(01203,begin_of_activity,bored,video2000502019,au24,2).
entry(01204,end_of_activity,bored,video2000502019,au25,6).
entry(01205,end_of_activity,bored,video2000502019,au43,2).
entry(01300,end_of_activity,bored,video2000502019,au04,3).
entry(01301,end_of_activity,bored,video2000502019,au24,2).
entry(01400,begin_of_activity,bored,video2000502019,au01,4).
entry(01401,begin_of_activity,bored,video2000502019,au02,6).
entry(01402,begin_of_activity,bored,video2000502019,au07,2).
entry(01403,begin_of_activity,bored,video2000502019,au24,3).
entry(01404,begin_of_activity,bored,video2000502019,au26,1).
entry(01500,end_of_activity,bored,video2000502019,au01,4).
entry(01501,end_of_activity,bored,video2000502019,au02,6).
entry(01502,end_of_activity,bored,video2000502019,au07,2).
entry(01503,begin_of_activity,bored,video2000502019,au10,3).
entry(01504,end_of_activity,bored,video2000502019,au24,3).
entry(01505,end_of_activity,bored,video2000502019,au26,1).
entry(01600,begin_of_activity,bored,video2000502019,au02,7).
entry(01601,begin_of_activity,bored,video2000502019,au04,4).
entry(01602,end_of_activity,bored,video2000502019,au10,3).
entry(01603,begin_of_activity,bored,video2000502019,au24,4).
entry(01700,begin_of_activity,bored,video2000502019,au01,5).
entry(01701,end_of_activity,bored,video2000502019,au02,7).
entry(01702,end_of_activity,bored,video2000502019,au04,4).
entry(01703,begin_of_activity,bored,video2000502019,au07,3).
entry(01704,end_of_activity,bored,video2000502019,au24,4).
entry(01800,end_of_activity,bored,video2000502019,au01,5).
entry(01801,end_of_activity,bored,video2000502019,au07,3).
entry(01802,begin_of_activity,bored,video2000502019,au25,7).
entry(01900,begin_of_activity,bored,video2000502019,au02,8).
entry(01901,begin_of_activity,bored,video2000502019,au23,2).
entry(01902,begin_of_activity,bored,video2000502019,au24,5).
entry(01903,end_of_activity,bored,video2000502019,au25,7).
entry(02000,end_of_activity,bored,video2000502019,au02,8).
entry(02001,begin_of_activity,bored,video2000502019,au04,5).
entry(02002,end_of_activity,bored,video2000502019,au23,2).
entry(02003,end_of_activity,bored,video2000502019,au24,5).
entry(02004,begin_of_activity,bored,video2000502019,au25,8).
entry(02100,begin_of_activity,bored,video2000502019,au01,6).
entry(02101,end_of_activity,bored,video2000502019,au04,5).
entry(02102,begin_of_activity,bored,video2000502019,au10,4).
entry(02103,begin_of_activity,bored,video2000502019,au17,6).
entry(02104,begin_of_activity,bored,video2000502019,au24,6).
entry(02105,end_of_activity,bored,video2000502019,au25,8).
entry(02200,end_of_activity,bored,video2000502019,au01,6).
entry(02201,begin_of_activity,bored,video2000502019,au02,9).
entry(02202,end_of_activity,bored,video2000502019,au10,4).
entry(02203,end_of_activity,bored,video2000502019,au17,6).
entry(02204,end_of_activity,bored,video2000502019,au24,6).
entry(02300,begin_of_activity,bored,video2000502019,au01,7).
entry(02301,end_of_activity,bored,video2000502019,au02,9).
entry(02302,begin_of_activity,bored,video2000502019,au04,6).
entry(02303,begin_of_activity,bored,video2000502019,au17,7).
entry(02304,begin_of_activity,bored,video2000502019,au24,7).
entry(02305,begin_of_activity,bored,video2000502019,au25,9).
entry(02400,end_of_activity,bored,video2000502019,au01,7).
entry(02401,end_of_activity,bored,video2000502019,au04,6).
entry(02402,begin_of_activity,bored,video2000502019,au10,5).
entry(02403,end_of_activity,bored,video2000502019,au17,7).
entry(02404,end_of_activity,bored,video2000502019,au24,7).
entry(02405,end_of_activity,bored,video2000502019,au25,9).
entry(02500,begin_of_activity,bored,video2000502019,au01,8).
entry(02501,begin_of_activity,bored,video2000502019,au02,10).
entry(02502,begin_of_activity,bored,video2000502019,au07,4).
entry(02503,end_of_activity,bored,video2000502019,au10,5).
entry(02504,begin_of_activity,bored,video2000502019,au25,10).
entry(02600,end_of_activity,bored,video2000502019,au01,8).
entry(02601,end_of_activity,bored,video2000502019,au02,10).
entry(02602,end_of_activity,bored,video2000502019,au07,4).
entry(02603,end_of_activity,bored,video2000502019,au25,10).
entry(02700,begin_of_activity,bored,video2000502019,au02,11).
entry(02701,begin_of_activity,bored,video2000502019,au10,6).
entry(02702,begin_of_activity,bored,video2000502019,au17,8).
entry(02703,begin_of_activity,bored,video2000502019,au25,11).
entry(02800,end_of_activity,bored,video2000502019,au02,11).
entry(02801,end_of_activity,bored,video2000502019,au10,6).
entry(02802,end_of_activity,bored,video2000502019,au17,8).
entry(02803,begin_of_activity,bored,video2000502019,au24,8).
entry(02804,end_of_activity,bored,video2000502019,au25,11).
entry(02900,begin_of_activity,bored,video2000502019,au10,7).
entry(02901,begin_of_activity,bored,video2000502019,au17,9).
entry(02902,end_of_activity,bored,video2000502019,au24,8).
entry(02903,begin_of_activity,bored,video2000502019,au25,12).
entry(03000,begin_of_activity,bored,video2000502019,au02,12).
entry(03001,end_of_activity,bored,video2000502019,au10,7).
entry(03002,end_of_activity,bored,video2000502019,au17,9).
entry(03003,end_of_activity,bored,video2000502019,au25,12).
entry(03004,begin_of_activity,bored,video2000502019,au26,2).
entry(03100,begin_of_activity,bored,video2000502019,au01,9).
entry(03101,end_of_activity,bored,video2000502019,au02,12).
entry(03102,begin_of_activity,bored,video2000502019,au07,5).
entry(03103,end_of_activity,bored,video2000502019,au26,2).
entry(03200,end_of_activity,bored,video2000502019,au01,9).
entry(03201,end_of_activity,bored,video2000502019,au07,5).
entry(03202,begin_of_activity,bored,video2000502019,au24,9).
