entry(00000,begin_of_process,confused,video4110211009,start,1).
entry(00001,begin_of_activity,confused,video4110211009,au10,1).
entry(00002,begin_of_activity,confused,video4110211009,au17,1).
entry(00003,begin_of_activity,confused,video4110211009,au24,1).
entry(00100,begin_of_activity,confused,video4110211009,au02,1).
entry(00101,end_of_activity,confused,video4110211009,au10,1).
entry(00102,end_of_activity,confused,video4110211009,au17,1).
entry(00103,end_of_activity,confused,video4110211009,au24,1).
entry(00200,end_of_activity,confused,video4110211009,au02,1).
entry(00201,begin_of_activity,confused,video4110211009,au04,1).
entry(00202,begin_of_activity,confused,video4110211009,au17,2).
entry(00203,begin_of_activity,confused,video4110211009,au23,1).
entry(00300,begin_of_activity,confused,video4110211009,au02,2).
entry(00301,end_of_activity,confused,video4110211009,au04,1).
entry(00302,begin_of_activity,confused,video4110211009,au10,2).
entry(00303,end_of_activity,confused,video4110211009,au17,2).
entry(00304,end_of_activity,confused,video4110211009,au23,1).
entry(00400,end_of_activity,confused,video4110211009,au02,2).
entry(00401,end_of_activity,confused,video4110211009,au10,2).
entry(00402,begin_of_activity,confused,video4110211009,au17,3).
entry(00403,begin_of_activity,confused,video4110211009,au23,2).
entry(00500,begin_of_activity,confused,video4110211009,au02,3).
entry(00501,end_of_activity,confused,video4110211009,au17,3).
entry(00502,end_of_activity,confused,video4110211009,au23,2).
entry(00600,end_of_activity,confused,video4110211009,au02,3).
entry(00601,begin_of_activity,confused,video4110211009,au17,4).
entry(00602,begin_of_activity,confused,video4110211009,au24,2).
entry(00700,begin_of_activity,confused,video4110211009,au02,4).
entry(00701,end_of_activity,confused,video4110211009,au17,4).
entry(00702,begin_of_activity,confused,video4110211009,au23,3).
entry(00703,end_of_activity,confused,video4110211009,au24,2).
entry(00800,end_of_activity,confused,video4110211009,au02,4).
entry(00801,begin_of_activity,confused,video4110211009,au17,5).
entry(00802,end_of_activity,confused,video4110211009,au23,3).
entry(00900,begin_of_activity,confused,video4110211009,au02,5).
entry(00901,end_of_activity,confused,video4110211009,au17,5).
entry(01000,end_of_activity,confused,video4110211009,au02,5).
entry(01001,begin_of_activity,confused,video4110211009,au04,2).
entry(01002,begin_of_activity,confused,video4110211009,au05,1).
entry(01003,begin_of_activity,confused,video4110211009,au10,3).
entry(01004,begin_of_activity,confused,video4110211009,au17,6).
entry(01100,begin_of_activity,confused,video4110211009,au02,6).
entry(01101,end_of_activity,confused,video4110211009,au04,2).
entry(01102,end_of_activity,confused,video4110211009,au05,1).
entry(01103,end_of_activity,confused,video4110211009,au10,3).
entry(01104,end_of_activity,confused,video4110211009,au17,6).
entry(01105,begin_of_activity,confused,video4110211009,au23,4).
entry(01106,begin_of_activity,confused,video4110211009,au24,3).
entry(01200,end_of_activity,confused,video4110211009,au02,6).
entry(01201,begin_of_activity,confused,video4110211009,au17,7).
entry(01202,end_of_activity,confused,video4110211009,au23,4).
entry(01203,end_of_activity,confused,video4110211009,au24,3).
entry(01300,begin_of_activity,confused,video4110211009,au05,2).
entry(01301,begin_of_activity,confused,video4110211009,au07,1).
entry(01302,end_of_activity,confused,video4110211009,au17,7).
entry(01303,begin_of_activity,confused,video4110211009,au23,5).
entry(01304,begin_of_activity,confused,video4110211009,au24,4).
entry(01400,begin_of_activity,confused,video4110211009,au02,7).
entry(01401,end_of_activity,confused,video4110211009,au05,2).
entry(01402,end_of_activity,confused,video4110211009,au07,1).
entry(01403,end_of_activity,confused,video4110211009,au23,5).
entry(01404,end_of_activity,confused,video4110211009,au24,4).
entry(01500,end_of_activity,confused,video4110211009,au02,7).
entry(01501,begin_of_activity,confused,video4110211009,au05,3).
entry(01502,begin_of_activity,confused,video4110211009,au10,4).
entry(01503,begin_of_activity,confused,video4110211009,au17,8).
entry(01504,begin_of_activity,confused,video4110211009,au24,5).
entry(01600,begin_of_activity,confused,video4110211009,au01,1).
entry(01601,begin_of_activity,confused,video4110211009,au02,8).
entry(01602,end_of_activity,confused,video4110211009,au05,3).
entry(01603,end_of_activity,confused,video4110211009,au10,4).
entry(01604,end_of_activity,confused,video4110211009,au17,8).
entry(01605,begin_of_activity,confused,video4110211009,au23,6).
entry(01606,end_of_activity,confused,video4110211009,au24,5).
entry(01700,end_of_activity,confused,video4110211009,au01,1).
entry(01701,end_of_activity,confused,video4110211009,au02,8).
entry(01702,begin_of_activity,confused,video4110211009,au05,4).
entry(01703,end_of_activity,confused,video4110211009,au23,6).
entry(01800,begin_of_activity,confused,video4110211009,au04,3).
entry(01801,end_of_activity,confused,video4110211009,au05,4).
entry(01802,begin_of_activity,confused,video4110211009,au10,5).
entry(01803,begin_of_activity,confused,video4110211009,au17,9).
