entry(00000,begin_of_process,engaged,video414081016,start,1).
entry(00001,begin_of_activity,engaged,video414081016,au02,1).
entry(00002,begin_of_activity,engaged,video414081016,au07,1).
entry(00003,begin_of_activity,engaged,video414081016,au17,1).
entry(00100,end_of_activity,engaged,video414081016,au02,1).
entry(00101,end_of_activity,engaged,video414081016,au07,1).
entry(00102,end_of_activity,engaged,video414081016,au17,1).
entry(00200,begin_of_activity,engaged,video414081016,au02,2).
entry(00201,begin_of_activity,engaged,video414081016,au04,1).
entry(00300,end_of_activity,engaged,video414081016,au02,2).
entry(00301,end_of_activity,engaged,video414081016,au04,1).
entry(00302,begin_of_activity,engaged,video414081016,au07,2).
entry(00303,begin_of_activity,engaged,video414081016,au17,2).
entry(00304,begin_of_activity,engaged,video414081016,au25,1).
entry(00400,begin_of_activity,engaged,video414081016,au02,3).
entry(00401,end_of_activity,engaged,video414081016,au07,2).
entry(00402,end_of_activity,engaged,video414081016,au17,2).
entry(00403,end_of_activity,engaged,video414081016,au25,1).
entry(00500,end_of_activity,engaged,video414081016,au02,3).
entry(00501,begin_of_activity,engaged,video414081016,au25,2).
entry(00600,begin_of_activity,engaged,video414081016,au02,4).
entry(00601,end_of_activity,engaged,video414081016,au25,2).
entry(00700,end_of_activity,engaged,video414081016,au02,4).
entry(00701,begin_of_activity,engaged,video414081016,au04,2).
entry(00702,begin_of_activity,engaged,video414081016,au07,3).
entry(00800,end_of_activity,engaged,video414081016,au04,2).
entry(00801,end_of_activity,engaged,video414081016,au07,3).
entry(00802,begin_of_activity,engaged,video414081016,au15,1).
entry(00803,begin_of_activity,engaged,video414081016,au28,1).
entry(00900,begin_of_activity,engaged,video414081016,au02,5).
entry(00901,end_of_activity,engaged,video414081016,au15,1).
entry(00902,end_of_activity,engaged,video414081016,au28,1).
entry(01000,end_of_activity,engaged,video414081016,au02,5).
entry(01100,begin_of_activity,engaged,video414081016,au02,6).
entry(01101,begin_of_activity,engaged,video414081016,au15,2).
entry(01200,end_of_activity,engaged,video414081016,au02,6).
entry(01201,begin_of_activity,engaged,video414081016,au07,4).
entry(01202,end_of_activity,engaged,video414081016,au15,2).
entry(01300,begin_of_activity,engaged,video414081016,au02,7).
entry(01301,end_of_activity,engaged,video414081016,au07,4).
entry(01400,end_of_activity,engaged,video414081016,au02,7).
entry(01401,begin_of_activity,engaged,video414081016,au05,1).
entry(01402,begin_of_activity,engaged,video414081016,au07,5).
entry(01500,begin_of_activity,engaged,video414081016,au04,3).
entry(01501,end_of_activity,engaged,video414081016,au05,1).
entry(01502,end_of_activity,engaged,video414081016,au07,5).
entry(01600,begin_of_activity,engaged,video414081016,au02,8).
entry(01601,end_of_activity,engaged,video414081016,au04,3).
entry(01700,end_of_activity,engaged,video414081016,au02,8).
entry(01701,begin_of_activity,engaged,video414081016,au05,2).
entry(01800,end_of_activity,engaged,video414081016,au05,2).
entry(01801,begin_of_activity,engaged,video414081016,au07,6).
entry(01900,begin_of_activity,engaged,video414081016,au02,9).
entry(01901,end_of_activity,engaged,video414081016,au07,6).
entry(01902,begin_of_activity,engaged,video414081016,au15,3).
entry(01903,begin_of_activity,engaged,video414081016,au25,3).
entry(02000,end_of_activity,engaged,video414081016,au02,9).
entry(02001,begin_of_activity,engaged,video414081016,au04,4).
entry(02002,begin_of_activity,engaged,video414081016,au10,1).
entry(02003,end_of_activity,engaged,video414081016,au15,3).
entry(02004,end_of_activity,engaged,video414081016,au25,3).
entry(02100,begin_of_activity,engaged,video414081016,au02,10).
entry(02101,end_of_activity,engaged,video414081016,au04,4).
entry(02102,begin_of_activity,engaged,video414081016,au05,3).
entry(02103,end_of_activity,engaged,video414081016,au10,1).
entry(02104,begin_of_activity,engaged,video414081016,au25,4).
entry(02200,end_of_activity,engaged,video414081016,au02,10).
entry(02201,end_of_activity,engaged,video414081016,au05,3).
