entry(00000,begin_of_process,frustrated,video4110211005,start,1).
entry(00001,begin_of_activity,frustrated,video4110211005,au05,1).
entry(00002,begin_of_activity,frustrated,video4110211005,au15,1).
entry(00003,begin_of_activity,frustrated,video4110211005,au17,1).
entry(00004,begin_of_activity,frustrated,video4110211005,au24,1).
entry(00100,begin_of_activity,frustrated,video4110211005,au02,1).
entry(00101,end_of_activity,frustrated,video4110211005,au05,1).
entry(00102,begin_of_activity,frustrated,video4110211005,au10,1).
entry(00103,end_of_activity,frustrated,video4110211005,au15,1).
entry(00104,end_of_activity,frustrated,video4110211005,au17,1).
entry(00105,end_of_activity,frustrated,video4110211005,au24,1).
entry(00200,end_of_activity,frustrated,video4110211005,au02,1).
entry(00201,end_of_activity,frustrated,video4110211005,au10,1).
entry(00202,begin_of_activity,frustrated,video4110211005,au17,2).
entry(00203,begin_of_activity,frustrated,video4110211005,au23,1).
entry(00300,begin_of_activity,frustrated,video4110211005,au15,2).
entry(00301,end_of_activity,frustrated,video4110211005,au17,2).
entry(00302,end_of_activity,frustrated,video4110211005,au23,1).
entry(00400,begin_of_activity,frustrated,video4110211005,au10,2).
entry(00401,end_of_activity,frustrated,video4110211005,au15,2).
entry(00402,begin_of_activity,frustrated,video4110211005,au17,3).
entry(00500,end_of_activity,frustrated,video4110211005,au10,2).
entry(00501,end_of_activity,frustrated,video4110211005,au17,3).
entry(00600,begin_of_activity,frustrated,video4110211005,au05,2).
entry(00601,begin_of_activity,frustrated,video4110211005,au10,3).
entry(00602,begin_of_activity,frustrated,video4110211005,au14,1).
entry(00603,begin_of_activity,frustrated,video4110211005,au15,3).
entry(00604,begin_of_activity,frustrated,video4110211005,au17,4).
entry(00700,end_of_activity,frustrated,video4110211005,au05,2).
entry(00701,end_of_activity,frustrated,video4110211005,au10,3).
entry(00702,end_of_activity,frustrated,video4110211005,au14,1).
entry(00703,end_of_activity,frustrated,video4110211005,au15,3).
entry(00704,end_of_activity,frustrated,video4110211005,au17,4).
entry(00800,begin_of_activity,frustrated,video4110211005,au05,3).
entry(00801,begin_of_activity,frustrated,video4110211005,au15,4).
entry(00802,begin_of_activity,frustrated,video4110211005,au17,5).
entry(00900,end_of_activity,frustrated,video4110211005,au05,3).
entry(00901,begin_of_activity,frustrated,video4110211005,au10,4).
entry(00902,end_of_activity,frustrated,video4110211005,au15,4).
entry(00903,end_of_activity,frustrated,video4110211005,au17,5).
entry(00904,begin_of_activity,frustrated,video4110211005,au23,2).
entry(01000,begin_of_activity,frustrated,video4110211005,au05,4).
entry(01001,end_of_activity,frustrated,video4110211005,au10,4).
entry(01002,begin_of_activity,frustrated,video4110211005,au17,6).
