entry(00000,begin_of_process,frustrated,video8264120141,start,1).
entry(00001,begin_of_activity,frustrated,video8264120141,au04,1).
entry(00100,end_of_activity,frustrated,video8264120141,au04,1).
entry(00101,begin_of_activity,frustrated,video8264120141,au10,1).
entry(00102,begin_of_activity,frustrated,video8264120141,au23,1).
entry(00200,begin_of_activity,frustrated,video8264120141,au07,1).
entry(00201,end_of_activity,frustrated,video8264120141,au10,1).
entry(00202,end_of_activity,frustrated,video8264120141,au23,1).
entry(00300,end_of_activity,frustrated,video8264120141,au07,1).
entry(00301,begin_of_activity,frustrated,video8264120141,au10,2).
entry(00400,end_of_activity,frustrated,video8264120141,au10,2).
entry(00500,begin_of_activity,frustrated,video8264120141,au04,2).
entry(00600,end_of_activity,frustrated,video8264120141,au04,2).
entry(00601,begin_of_activity,frustrated,video8264120141,au07,2).
entry(00700,end_of_activity,frustrated,video8264120141,au07,2).
entry(00701,begin_of_activity,frustrated,video8264120141,au10,3).
entry(00800,end_of_activity,frustrated,video8264120141,au10,3).
entry(00900,begin_of_activity,frustrated,video8264120141,au10,4).
entry(01000,end_of_activity,frustrated,video8264120141,au10,4).
entry(01100,begin_of_activity,frustrated,video8264120141,au07,3).
entry(01101,begin_of_activity,frustrated,video8264120141,au10,5).
entry(01200,begin_of_activity,frustrated,video8264120141,au04,3).
entry(01201,end_of_activity,frustrated,video8264120141,au07,3).
entry(01202,end_of_activity,frustrated,video8264120141,au10,5).
entry(01300,end_of_activity,frustrated,video8264120141,au04,3).
entry(01301,begin_of_activity,frustrated,video8264120141,au07,4).
entry(01302,begin_of_activity,frustrated,video8264120141,au10,6).
entry(01303,begin_of_activity,frustrated,video8264120141,au17,1).
entry(01304,begin_of_activity,frustrated,video8264120141,au25,1).
entry(01400,begin_of_activity,frustrated,video8264120141,au04,4).
entry(01401,end_of_activity,frustrated,video8264120141,au07,4).
entry(01402,end_of_activity,frustrated,video8264120141,au10,6).
entry(01403,end_of_activity,frustrated,video8264120141,au17,1).
entry(01404,begin_of_activity,frustrated,video8264120141,au23,2).
entry(01405,end_of_activity,frustrated,video8264120141,au25,1).
entry(01500,end_of_activity,frustrated,video8264120141,au04,4).
entry(01501,end_of_activity,frustrated,video8264120141,au23,2).
entry(01600,begin_of_activity,frustrated,video8264120141,au04,5).
entry(01601,begin_of_activity,frustrated,video8264120141,au07,5).
entry(01602,begin_of_activity,frustrated,video8264120141,au10,7).
entry(01700,end_of_activity,frustrated,video8264120141,au04,5).
entry(01701,end_of_activity,frustrated,video8264120141,au07,5).
entry(01702,end_of_activity,frustrated,video8264120141,au10,7).
entry(01900,begin_of_activity,frustrated,video8264120141,au10,8).
entry(02000,end_of_activity,frustrated,video8264120141,au10,8).
entry(02100,begin_of_activity,frustrated,video8264120141,au04,6).
entry(02101,begin_of_activity,frustrated,video8264120141,au10,9).
entry(02200,end_of_activity,frustrated,video8264120141,au04,6).
entry(02201,begin_of_activity,frustrated,video8264120141,au07,6).
entry(02202,end_of_activity,frustrated,video8264120141,au10,9).
entry(02300,end_of_activity,frustrated,video8264120141,au07,6).
entry(02400,begin_of_activity,frustrated,video8264120141,au07,7).
entry(02401,begin_of_activity,frustrated,video8264120141,au10,10).
entry(02500,end_of_activity,frustrated,video8264120141,au07,7).
entry(02501,end_of_activity,frustrated,video8264120141,au10,10).
entry(02502,begin_of_activity,frustrated,video8264120141,au17,2).
entry(02600,begin_of_activity,frustrated,video8264120141,au10,11).
entry(02601,end_of_activity,frustrated,video8264120141,au17,2).
entry(02700,end_of_activity,frustrated,video8264120141,au10,11).
entry(02701,begin_of_activity,frustrated,video8264120141,au17,3).
entry(02800,end_of_activity,frustrated,video8264120141,au17,3).
entry(03000,begin_of_activity,frustrated,video8264120141,au23,3).
entry(03100,begin_of_activity,frustrated,video8264120141,au04,7).
entry(03101,end_of_activity,frustrated,video8264120141,au23,3).
entry(03200,end_of_activity,frustrated,video8264120141,au04,7).
entry(03201,begin_of_activity,frustrated,video8264120141,au10,12).
entry(03300,end_of_activity,frustrated,video8264120141,au10,12).
entry(03400,begin_of_activity,frustrated,video8264120141,au07,8).
entry(03401,begin_of_activity,frustrated,video8264120141,au10,13).
entry(03402,begin_of_activity,frustrated,video8264120141,au23,4).
entry(03500,begin_of_activity,frustrated,video8264120141,au04,8).
entry(03501,end_of_activity,frustrated,video8264120141,au07,8).
entry(03502,end_of_activity,frustrated,video8264120141,au10,13).
entry(03503,end_of_activity,frustrated,video8264120141,au23,4).
entry(03600,end_of_activity,frustrated,video8264120141,au04,8).
entry(03700,begin_of_activity,frustrated,video8264120141,au04,9).
entry(03701,begin_of_activity,frustrated,video8264120141,au07,9).
entry(03702,begin_of_activity,frustrated,video8264120141,au10,14).
entry(03800,end_of_activity,frustrated,video8264120141,au04,9).
entry(03801,end_of_activity,frustrated,video8264120141,au07,9).
entry(03802,end_of_activity,frustrated,video8264120141,au10,14).
entry(03803,begin_of_activity,frustrated,video8264120141,au17,4).
entry(03804,begin_of_activity,frustrated,video8264120141,au43,1).
entry(03900,begin_of_activity,frustrated,video8264120141,au04,10).
entry(03901,begin_of_activity,frustrated,video8264120141,au09,1).
entry(03902,begin_of_activity,frustrated,video8264120141,au10,15).
entry(03903,end_of_activity,frustrated,video8264120141,au17,4).
entry(03904,end_of_activity,frustrated,video8264120141,au43,1).
entry(04000,end_of_activity,frustrated,video8264120141,au04,10).
entry(04001,end_of_activity,frustrated,video8264120141,au09,1).
entry(04002,end_of_activity,frustrated,video8264120141,au10,15).
entry(04003,begin_of_activity,frustrated,video8264120141,au43,2).
entry(04100,begin_of_activity,frustrated,video8264120141,au04,11).
entry(04101,begin_of_activity,frustrated,video8264120141,au07,10).
entry(04102,end_of_activity,frustrated,video8264120141,au43,2).
entry(04200,end_of_activity,frustrated,video8264120141,au04,11).
entry(04201,end_of_activity,frustrated,video8264120141,au07,10).
entry(04202,begin_of_activity,frustrated,video8264120141,au10,16).
entry(04300,end_of_activity,frustrated,video8264120141,au10,16).
entry(04400,begin_of_activity,frustrated,video8264120141,au07,11).
entry(04500,end_of_activity,frustrated,video8264120141,au07,11).
entry(04600,begin_of_activity,frustrated,video8264120141,au10,17).
entry(04700,begin_of_activity,frustrated,video8264120141,au07,12).
entry(04701,end_of_activity,frustrated,video8264120141,au10,17).
entry(04702,begin_of_activity,frustrated,video8264120141,au25,2).
entry(04800,begin_of_activity,frustrated,video8264120141,au04,12).
entry(04801,end_of_activity,frustrated,video8264120141,au07,12).
entry(04802,end_of_activity,frustrated,video8264120141,au25,2).
entry(04900,end_of_activity,frustrated,video8264120141,au04,12).
entry(05100,begin_of_activity,frustrated,video8264120141,au10,18).
entry(05200,end_of_activity,frustrated,video8264120141,au10,18).
entry(05201,begin_of_activity,frustrated,video8264120141,au14,1).
entry(05300,begin_of_activity,frustrated,video8264120141,au04,13).
entry(05301,end_of_activity,frustrated,video8264120141,au14,1).
